gml_id,local_id,year,raw_begin,current_use,n_dwellings,n_units,n_floors,condition,n_floors_nil_reason
ES.SDGC.BU.9886301VK3798F,9886301VK3798F,1995.0,1995-01-01T00:00:00,1_residential,53,81,,functional,other:unpopulated
ES.SDGC.BU.9886302VK3798F,9886302VK3798F,1988.0,1988-01-01T00:00:00,1_residential,14,14,,functional,other:unpopulated
ES.SDGC.BU.9886303VK3798F,9886303VK3798F,1995.0,1995-01-01T00:00:00,1_residential,35,35,,functional,other:unpopulated
ES.SDGC.BU.9886304VK3798F,9886304VK3798F,1986.0,1986-01-01T00:00:00,1_residential,8,9,,functional,other:unpopulated
ES.SDGC.BU.9886305VK3798F,9886305VK3798F,1984.0,1984-01-01T00:00:00,1_residential,7,8,,functional,other:unpopulated
ES.SDGC.BU.9886310VK3798F,9886310VK3798F,1956.0,1956-01-01T00:00:00,1_residential,9,10,,functional,other:unpopulated
ES.SDGC.BU.9986201VK3798F,9986201VK3798F,1977.0,1977-01-01T00:00:00,1_residential,20,21,,functional,other:unpopulated
ES.SDGC.BU.9986202VK3798F,9986202VK3798F,1977.0,1977-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.9986203VK3798F,9986203VK3798F,1967.0,1967-01-01T00:00:00,1_residential,30,34,,functional,other:unpopulated
ES.SDGC.BU.9986204VK3798F,9986204VK3798F,1967.0,1967-01-01T00:00:00,1_residential,30,34,,functional,other:unpopulated
ES.SDGC.BU.9986205VK3798F,9986205VK3798F,1967.0,1967-01-01T00:00:00,1_residential,30,37,,functional,other:unpopulated
ES.SDGC.BU.9986206VK3798F,9986206VK3798F,1967.0,1967-01-01T00:00:00,1_residential,30,37,,functional,other:unpopulated
ES.SDGC.BU.9986207VK3798F,9986207VK3798F,1967.0,1967-01-01T00:00:00,1_residential,30,52,,functional,other:unpopulated
ES.SDGC.BU.9987428VK3798H,9987428VK3798H,1975.0,1975-01-01T00:00:00,1_residential,143,199,,functional,other:unpopulated
ES.SDGC.BU.9987431VK3798H,9987431VK3798H,1978.0,1978-01-01T00:00:00,1_residential,14,28,,functional,other:unpopulated
ES.SDGC.BU.0087909VK4708E,0087909VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087910VK4708E,0087910VK4708E,1940.0,1940-01-01T00:00:00,1_residential,6,7,,functional,other:unpopulated
ES.SDGC.BU.0087911VK4708E,0087911VK4708E,1955.0,1955-01-01T00:00:00,1_residential,6,7,,functional,other:unpopulated
ES.SDGC.BU.0087921VK4708E,0087921VK4708E,1925.0,1925-01-01T00:00:00,1_residential,6,6,,functional,other:unpopulated
ES.SDGC.BU.0087922VK4708E,0087922VK4708E,1930.0,1930-01-01T00:00:00,1_residential,23,23,,functional,other:unpopulated
