osm_id,certificateNumber,registrationDate,construction_year,source_key
way/298850489,0807-3836-7527-9627-6035,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8607-7732-0010-3366-2922,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,2468-3006-7382-0137-5974,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,0501-3836-7327-9727-0755,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,0101-3836-7426-9627-4361,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,2268-6090-7372-0537-6990,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8009-2660-1339-6727-2273,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8209-6760-5339-9027-2273,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8957-7532-0230-8316-6922,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8927-7732-0390-3336-7926,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,2668-4053-7302-0837-6994,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,0500-3836-7022-9627-5241,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,2168-2091-7382-0137-6964,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,0808-3836-7027-9727-2285,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,0604-3836-7322-9527-3665,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,0605-3836-7421-9727-2761,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8657-7632-0560-0356-3926,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,2568-4012-7312-0537-6960,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8147-7632-0090-5326-2926,2013-02-26,2010,/sap_building_parts[0]/construction_year
way/298850489,8647-7739-0800-1395-5992,2013-01-15,2010,/sap_building_parts[0]/construction_year
