osm_id,uprn,certificateNumber,registrationDate,currentEnergyEfficiencyBand,postcode,schemaType,http_status,cert_http_status,age_band,year_key_used,property_type,built_form,floor_area_m2
way/395620822,000006005003,9190-8774-0422-2209-3923,2022-11-04,C,E14 7BP,RdSAP-Schema-20.0.0,200,200,J,/sap_building_parts[0]/construction_age_band,0,4,136
way/395620822,000006005003,0653-2870-7641-9598-6581,2018-04-20,E,E14 7BP,RdSAP-Schema-18.0,200,200,I,/sap_building_parts[0]/construction_age_band,0,4,139
way/395620824,000006005031,,,,,,404,,,,,,
way/395620827,000006005048,,,,,,404,,,,,,
way/395620829,000006005049,0749-2893-7893-9723-6165,2017-01-27,C,E14 7BP,RdSAP-Schema-17.0,200,200,J,/sap_building_parts[0]/construction_age_band,0,4,83
way/395620831,000006005050,9350-2237-9290-2702-8171,2022-11-03,C,E14 7BP,RdSAP-Schema-20.0.0,200,200,J,/sap_building_parts[0]/construction_age_band,0,4,84
way/395620831,000006005050,9408-4065-7224-5378-5930,2018-04-20,E,E14 7BP,RdSAP-Schema-18.0,200,200,I,/sap_building_parts[0]/construction_age_band,0,4,109
way/395620833,000006005051,7190-8771-0322-2208-3923,2022-11-03,C,E14 7BP,RdSAP-Schema-20.0.0,200,200,J,/sap_building_parts[0]/construction_age_band,0,4,84
way/395620833,000006005051,8506-9505-3729-8697-0483,2018-04-20,E,E14 7BP,RdSAP-Schema-18.0,200,200,I,/sap_building_parts[0]/construction_age_band,0,4,109
way/190837474,000006008504,9064-2885-6704-0791-2565,2009-10-15,B,E1 0NE,SAP-Schema-13.0,200,200,I,/sap_building_parts[0]/construction_age_band,2,3,"{'value': 49.66, 'quantity': 'sq m'}"
way/190837474,000006008978,8000-4089-0822-3697-0523,2022-05-19,C,E1 0NE,RdSAP-Schema-20.0.0,200,200,E,/sap_building_parts[0]/construction_age_band,2,4,65
way/190837474,000006008978,0679-2835-6144-9102-5851,2012-04-05,C,E1 0NE,SAP-Schema-16.0,200,200,H,/sap_building_parts[0]/construction_age_band,2,,66
way/190837474,000006008978,2248-6018-6242-7030-1994,2010-02-26,C,E1 0NE,SAP-Schema-14.0,200,200,H,/sap_building_parts[0]/construction_age_band,2,1,63
way/396622951,000006027593,,,,,,404,,,,,,
way/396622951,000006027594,,,,,,404,,,,,,
way/396622951,000006027595,8925-7620-3209-1988-5902,2015-10-08,E,E1 3NE,RdSAP-Schema-17.0,200,200,A,/sap_building_parts[0]/sap_room_in_roof/construction_age_band,2,4,103
way/396622951,000006027596,9900-2751-0222-7300-3343,2024-07-05,C,E1 3NE,RdSAP-Schema-20.0.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,4,64
way/396622951,000006027597,,,,,,404,,,,,,
way/396622951,000006027598,,,,,,404,,,,,,
way/396622951,000006027599,,,,,,404,,,,,,
way/396622951,000006027600,,,,,,404,,,,,,
way/396622951,000006027601,9488-1022-6222-5891-1044,2009-03-12,F,E1 3NE,SAP-Schema-12.0,200,200,A,/sap_building_parts[0]/sap_room_in_roof/construction_age_band,3,3,41.9
way/396622951,000006027602,4035-9129-5400-0433-6226,2025-01-29,D,E1 3NE,RdSAP-Schema-20.0.0,200,200,G,/sap_building_parts[0]/construction_age_band,0,1,94
way/360408497,000006027631,8502-8461-3429-2927-0173,2013-09-30,C,E1 0NQ,SAP-Schema-16.2,200,200,I,/sap_building_parts[0]/construction_age_band,0,4,51
way/360408500,000006027632,,,,,,404,,,,,,
way/360408507,000006027633,0619-2821-7386-9407-3855,2013-08-12,C,E1 0NQ,SAP-Schema-16.2,200,200,I,/sap_building_parts[0]/construction_age_band,0,4,50
way/360408509,000006027641,,,,,,404,,,,,,
way/396595551,000006027654,9439-8426-6000-0777-7226,2021-06-28,D,E1 3NE,RdSAP-Schema-20.0.0,200,200,G,/sap_building_parts[0]/construction_age_band,2,4,36
way/154194221,000006027655,6400-3711-0322-3697-3363,2026-07-21,C,E1 3NU,RdSAP-Schema-21.0.1,200,200,D,/sap_building_parts[0]/construction_age_band,2,NR,100
way/154194221,000006027656,0076-0200-7707-2906-6500,2023-03-02,C,E1 3NU,RdSAP-Schema-20.0.0,200,200,I,/sap_building_parts[0]/construction_age_band,2,4,108
way/154194221,000006027656,0906-2804-7237-9422-3371,2012-07-27,C,E1 3NU,SAP-Schema-16.0,200,200,G,/sap_building_parts[0]/construction_age_band,2,3,88
way/154194221,000006027657,3100-5965-0722-6496-3143,2024-09-16,B,E1 3NU,RdSAP-Schema-20.0.0,200,200,I,/sap_building_parts[0]/construction_age_band,2,3,92
way/154194221,000006027657,8132-7521-0630-9153-9996,2012-09-18,D,E1 3NU,SAP-Schema-16.0,200,200,B,/sap_building_parts[0]/construction_age_band,2,3,107
way/154194221,000006027658,8203-8074-3329-1607-4763,2016-03-03,D,E1 3NU,RdSAP-Schema-17.0,200,200,C,/sap_building_parts[0]/construction_age_band,2,3,108
way/154194221,000006027659,8899-6224-8210-3693-2922,2011-04-27,C,E1 3NU,SAP-Schema-15.0,200,200,H,/sap_building_parts[0]/construction_age_band,2,4,53
way/154194221,000006027660,,,,,,404,,,,,,
way/154194221,000006027661,0478-4081-6211-4261-7960,2019-09-04,D,E1 3NU,RdSAP-Schema-18.0,200,200,H,/sap_building_parts[0]/construction_age_band,2,2,75
way/154194221,000006027661,8441-6725-4810-6645-1002,2009-05-06,D,E1 3NU,SAP-Schema-12.0,200,200,C,/sap_building_parts[0]/construction_age_band,2,1,67.6
way/154194221,000006027662,6102-7639-2002-0009-0696,2021-11-09,C,E1 3NU,RdSAP-Schema-20.0.0,200,200,I,/sap_building_parts[0]/construction_age_band,2,4,59
way/154194221,000006027662,9272-2867-6105-9594-7165,2014-10-16,C,E1 3NU,SAP-Schema-16.3,200,200,H,/sap_building_parts[0]/construction_age_band,2,4,57
way/154194221,000006027662,0698-2011-6256-7660-5924,2010-06-01,C,E1 3NU,SAP-Schema-14.2,200,200,I,/sap_building_parts[0]/construction_age_band,2,4,54
way/154194221,000006027663,0360-2508-2650-2326-2205,2026-05-29,D,E1 3NU,RdSAP-Schema-21.0.1,200,200,D,/sap_building_parts[0]/construction_age_band,2,NR,136
way/154194221,000006027663,9588-9012-6248-5515-8974,2015-08-19,D,E1 3NU,RdSAP-Schema-17.0,200,200,D,/sap_building_parts[0]/construction_age_band,2,3,136
way/154194221,000006027663,8899-6823-5140-7136-2922,2011-07-26,C,E1 3NU,SAP-Schema-15.0,200,200,I,/sap_building_parts[0]/construction_age_band,3,5,135
way/154194221,000006027663,8498-6820-5149-7175-2002,2008-10-05,D,E1 3NU,SAP-Schema-12.0,200,200,A,/sap_building_parts[0]/construction_age_band,0,5,"{'value': 103.95, 'quantity': 'sq m'}"
way/154194221,000006027664,8761-6820-6009-6811-1902,2019-10-10,D,E1 3NU,RdSAP-Schema-19.0,200,200,B,/sap_building_parts[0]/construction_age_band,2,3,85
way/154194221,000006027664,8196-5816-0820-4096-6013,2009-10-19,D,E1 3NU,SAP-Schema-14.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,3,86
way/154194221,000006027665,5636-8629-0200-0918-2206,2026-08-20,F,E1 3NU,RdSAP-Schema-21.0.1,200,200,B,/sap_building_parts[0]/construction_age_band,2,NR,82
way/154194221,000006027665,0300-2598-8280-2695-8211,2025-10-22,F,E1 3NU,RdSAP-Schema-21.0.1,200,200,B,/sap_building_parts[0]/construction_age_band,2,NR,82
way/154194221,000006027665,5337-8622-0200-0945-2296,2023-02-16,E,E1 3NU,RdSAP-Schema-20.0.0,200,200,G,/sap_building_parts[0]/construction_age_band,2,5,99
way/154194221,000006027665,5132-8622-0209-0982-2292,2022-12-13,F,E1 3NU,RdSAP-Schema-20.0.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,6,98
way/154194221,000006027665,8468-6129-5919-8469-3092,2008-11-11,G,E1 3NU,SAP-Schema-12.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,1,50.22
way/154194221,000006027666,0344-2846-6591-9003-3651,2017-01-06,C,E1 3NU,RdSAP-Schema-17.0,200,200,G,/sap_building_parts[0]/construction_age_band,2,2,79
way/154194221,000006027666,9968-3056-6217-4641-0044,2009-03-16,D,E1 3NU,SAP-Schema-12.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,4,51.7
way/154194221,000006027667,,,,,,404,,,,,,
way/154194221,000006027668,,,,,,404,,,,,,
way/154194221,000006027669,9632-6926-6100-0038-7222,2022-06-30,D,E1 3NU,RdSAP-Schema-20.0.0,200,200,C,/sap_building_parts[0]/construction_age_band,2,6,86
way/154194221,000006027669,8991-9920-0329-0427-2223,2012-12-22,D,E1 3NU,SAP-Schema-16.1,200,200,B,/sap_building_parts[0]/construction_age_band,3,2,93
way/154194221,000006027670,9636-2927-7500-0730-9292,2026-03-11,D,E1 3NU,RdSAP-Schema-21.0.1,200,200,A,/sap_building_parts[0]/construction_age_band,3,NR,73
way/154194221,000006027670,0155-2884-6379-0801-8005,2009-03-06,F,E1 3NU,SAP-Schema-12.0,200,200,A,/sap_building_parts[0]/construction_age_band,3,1,52
way/154194221,000006027671,6000-6612-0022-5097-0493,2021-04-19,D,E1 3NU,RdSAP-Schema-20.0.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,3,42
way/154194221,000006027671,0478-4002-6262-5139-2900,2011-02-03,E,E1 3NU,SAP-Schema-14.2,200,200,B,/sap_building_parts[0]/construction_age_band,2,1,48
way/154194221,000006027671,9450-2831-6006-0228-8225,2008-10-29,D,E1 3NU,SAP-Schema-12.0,200,200,B,/sap_building_parts[0]/construction_age_band,2,5,41.49
way/154194221,000006027672,8100-3697-9122-3326-2903,2020-01-21,E,E1 3NU,RdSAP-Schema-19.0,200,200,B,/sap_building_parts[0]/construction_age_band,3,3,56
way/154194221,000006027672,8220-6629-7390-0181-1996,2010-01-20,E,E1 3NU,SAP-Schema-14.0,200,200,B,/sap_building_parts[0]/construction_age_band,2,1,55
way/154194221,000006027673,8500-6728-6529-3796-5493,2011-04-14,E,E1 3NU,SAP-Schema-14.2,200,200,A,/sap_building_parts[0]/construction_age_band,2,4,67
