case,u_roof,variant,eui_kwh_m2,pct_delta_vs_baseline,run_dir
u0182,0.182,today,153.63055555555556,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_eui_u0182_today
u0182,0.182,c2,153.71388888888887,0.05424268175817379,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_eui_u0182_c2
u05,0.5,today,154.7,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_eui_u05_today
u05,0.5,c2,154.7,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_eui_u05_c2
u0097,0.097,thermal_mass_false,156.79166666666669,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_eui_u0097_nomass
u0097,0.097,c2,153.25833333333333,-2.2535211267605804,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_eui_u0097_c2
