timestep,N,u_roof_w_m2k,total_thickness_m,layer_thickness_m,result,ctf_severe_present,verbatim_severe_line,verbatim_end_line,run_dir,elapsed_s
2,6,0.097,1.237113,0.206186,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.12sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N6,0.32
2,7,0.097,1.237113,0.17673,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.12sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N7,0.32
2,8,0.097,1.237113,0.154639,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.13sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N8,0.32
2,9,0.097,1.237113,0.137457,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.15sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N9,0.35
2,10,0.097,1.237113,0.123711,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.17sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N10,0.38
6,1,0.097,1.237113,1.237113,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N1,0.28
6,2,0.097,1.237113,0.618557,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.12sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N2,0.3
6,3,0.097,1.237113,0.412371,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.29sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N3,0.47
6,4,0.097,1.237113,0.309278,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.72sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N4,0.91
6,5,0.097,1.237113,0.247423,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  1.32sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N5,1.5
