osm_id,cell,u_roof,total_t,engaged,timestep_used,result,ctf_severe_present,verbatim_severe_line,end_line,annual_site_eui_kwh_m2,thermal_mass_false_eui_ref,pct_delta_vs_thermal_mass_false,run_dir,elapsed_s
way/772626992,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 173802 Warning; 4 Severe Errors; Elapsed Time=00hr 00min  7.42sec,83.46388888888889,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626992,7.61
way/772626993,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 162926 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  7.07sec,103.31944444444444,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626993,7.25
way/772626994,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 173722 Warning; 5 Severe Errors; Elapsed Time=00hr 00min  6.83sec,83.81944444444444,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626994,7.02
way/772626995,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 169092 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  6.72sec,92.57222222222222,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626995,6.9
way/772626996,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 171527 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  6.92sec,87.78333333333333,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626996,7.1
way/772626997,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 170888 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.69sec,88.81111111111112,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626997,6.87
way/772626999,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 173458 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.00sec,84.12222222222222,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772626999,7.18
way/772627000,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 172020 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.06sec,87.04444444444445,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627000,7.25
way/772627001,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 175365 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  6.88sec,77.60833333333333,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627001,7.07
way/772627004,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 174453 Warning; 4 Severe Errors; Elapsed Time=00hr 00min  6.86sec,80.60833333333333,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627004,7.04
