case,u_roof,variant,eui_kwh_m2,pct_delta_vs_baseline,run_dir
u0182,0.182,today,153.63055555555556,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_eui_u0182_today
u0182,0.182,rule,153.63055555555556,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_eui_u0182_rule
u05,0.5,today,154.7,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_eui_u05_today
u05,0.5,rule,154.7,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_eui_u05_rule
u0097,0.097,thermal_mass_false,156.79166666666669,0.0,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_eui_u0097_nomass
u0097,0.097,rule,153.44444444444443,-2.1348215076623482,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_eui_u0097_rule
