u_roof,timestep,total_t,engaged,t_mass,r_residual,result,ctf_severe_present,verbatim_severe_line,run_dir
0.097,2,1.237113,True,0.35,7.392612,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u000_0097_ts2
0.097,4,1.237113,True,0.35,7.392612,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u000_0097_ts4
0.097,6,1.237113,True,0.35,7.392612,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u000_0097_ts6
0.119,2,1.008403,True,0.35,5.486695,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u001_0119_ts2
0.119,4,1.008403,True,0.35,5.486695,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u001_0119_ts4
0.119,6,1.008403,True,0.35,5.486695,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u001_0119_ts6
0.127,2,0.944882,True,0.35,4.957349,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u002_0127_ts2
0.127,4,0.944882,True,0.35,4.957349,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u002_0127_ts4
0.127,6,0.944882,True,0.35,4.957349,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u002_0127_ts6
0.148,2,0.810811,False,0.810811,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u003_0148_ts2
0.148,4,0.810811,False,0.810811,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u003_0148_ts4
0.148,6,0.810811,False,0.810811,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u003_0148_ts6
0.153,2,0.784314,False,0.784314,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u004_0153_ts2
0.153,4,0.784314,False,0.784314,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u004_0153_ts4
0.153,6,0.784314,False,0.784314,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u004_0153_ts6
0.154,2,0.779221,False,0.779221,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u005_0154_ts2
0.154,4,0.779221,False,0.779221,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u005_0154_ts4
0.154,6,0.779221,False,0.779221,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u005_0154_ts6
0.155,2,0.774194,False,0.774194,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u006_0155_ts2
0.155,4,0.774194,False,0.774194,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u006_0155_ts4
0.155,6,0.774194,False,0.774194,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u006_0155_ts6
0.156,2,0.769231,False,0.769231,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u007_0156_ts2
0.156,4,0.769231,False,0.769231,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u007_0156_ts4
0.156,6,0.769231,False,0.769231,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u007_0156_ts6
0.159,2,0.754717,False,0.754717,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u008_0159_ts2
0.159,4,0.754717,False,0.754717,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u008_0159_ts4
0.159,6,0.754717,False,0.754717,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u008_0159_ts6
0.165,2,0.727273,False,0.727273,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u009_0165_ts2
0.165,4,0.727273,False,0.727273,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u009_0165_ts4
0.165,6,0.727273,False,0.727273,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u009_0165_ts6
0.176,2,0.681818,False,0.681818,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u010_0176_ts2
0.176,4,0.681818,False,0.681818,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u010_0176_ts4
0.176,6,0.681818,False,0.681818,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u010_0176_ts6
0.182,2,0.659341,False,0.659341,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u011_0182_ts2
0.182,4,0.659341,False,0.659341,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u011_0182_ts4
0.182,6,0.659341,False,0.659341,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u011_0182_ts6
0.188,2,0.638298,False,0.638298,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u012_0188_ts2
0.188,4,0.638298,False,0.638298,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u012_0188_ts4
0.188,6,0.638298,False,0.638298,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u012_0188_ts6
0.19,2,0.631579,False,0.631579,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u013_019_ts2
0.19,4,0.631579,False,0.631579,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u013_019_ts4
0.19,6,0.631579,False,0.631579,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u013_019_ts6
0.194,2,0.618557,False,0.618557,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u014_0194_ts2
0.194,4,0.618557,False,0.618557,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u014_0194_ts4
0.194,6,0.618557,False,0.618557,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u014_0194_ts6
0.2,2,0.6,False,0.6,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u015_02_ts2
0.2,4,0.6,False,0.6,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u015_02_ts4
0.2,6,0.6,False,0.6,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u015_02_ts6
0.208,2,0.576923,False,0.576923,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u016_0208_ts2
0.208,4,0.576923,False,0.576923,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u016_0208_ts4
0.208,6,0.576923,False,0.576923,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u016_0208_ts6
0.21,2,0.571429,False,0.571429,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u017_021_ts2
0.21,4,0.571429,False,0.571429,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u017_021_ts4
0.21,6,0.571429,False,0.571429,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u017_021_ts6
0.216,2,0.555556,False,0.555556,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u018_0216_ts2
0.216,4,0.555556,False,0.555556,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u018_0216_ts4
0.216,6,0.555556,False,0.555556,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u018_0216_ts6
0.221,2,0.542986,False,0.542986,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u019_0221_ts2
0.221,4,0.542986,False,0.542986,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u019_0221_ts4
0.221,6,0.542986,False,0.542986,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u019_0221_ts6
0.23,2,0.521739,False,0.521739,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u020_023_ts2
0.23,4,0.521739,False,0.521739,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u020_023_ts4
0.23,6,0.521739,False,0.521739,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u020_023_ts6
