timestep,dt_s,predicted_L_crit_m,measured_L_crit_pass_m,measured_L_crit_fatal_m,measured_L_crit_bracket,relative_error_pct,verbatim_fatal_err_line,verbatim_fatal_end_line,verbatim_pass_end_line
2,1800,1.22988,0.946062,0.950059,"[0.9461m, 0.9501m]",29.726,**  Fatal  ** Program terminated for reasons listed (InitConductionTransferFunctions),EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec
4,900,0.869657,0.868294,0.869653,"[0.8683m, 0.8697m]",0.079,**  Fatal  ** Program terminated for reasons listed (InitConductionTransferFunctions),EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,EnergyPlus Completed Successfully-- 153268 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.11sec
6,600,0.710072,0.871422,0.877308,"[0.8714m, 0.8773m]",-18.79,**  Fatal  ** Program terminated for reasons listed (InitConductionTransferFunctions),EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,EnergyPlus Completed Successfully-- 213159 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.19sec
