series,u_roof,total_thickness_m,c_fraction,t_mass_m,r_residual,engaged,timestep,result,ctf_severe_present,verbatim_severe_line,run_dir,elapsed_s
control_no_cap_worst,0.097,1.237113,,1.237113,0.0,,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_control_nocap_u0097,0.31
control_no_cap_u05,0.5,0.24,,0.24,0.0,,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_control_nocap_u05,5.06
engagement_control,0.182,0.659341,0.35,0.659341,0.0,False,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_engage_u0182,5.08
fraction_sweep_u0097,0.097,1.237113,0.55,0.680412,4.639175,True,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c055,0.28
fraction_sweep_u0097,0.097,1.237113,0.5,0.618557,5.154639,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c05,5.12
fraction_sweep_u0097,0.097,1.237113,0.45,0.556701,5.670103,True,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c045,0.28
fraction_sweep_u0097,0.097,1.237113,0.4,0.494845,6.185567,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c04,5.11
fraction_sweep_u0097,0.097,1.237113,0.35,0.43299,6.701031,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c035,5.01
fraction_sweep_u0097,0.097,1.237113,0.25,0.309278,7.731959,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c025,4.99
fraction_sweep_u0097,0.097,1.237113,0.15,0.185567,8.762887,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0097_c015,4.98
fraction_sweep_u0119,0.119,1.008403,0.55,0.554622,3.781513,True,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c055,0.28
fraction_sweep_u0119,0.119,1.008403,0.5,0.504202,4.201681,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c05,5.17
fraction_sweep_u0119,0.119,1.008403,0.45,0.453782,4.621849,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c045,5.12
fraction_sweep_u0119,0.119,1.008403,0.4,0.403361,5.042017,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c04,5.05
fraction_sweep_u0119,0.119,1.008403,0.35,0.352941,5.462185,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c035,5.02
fraction_sweep_u0119,0.119,1.008403,0.25,0.252101,6.302521,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c025,4.96
fraction_sweep_u0119,0.119,1.008403,0.15,0.151261,7.142857,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0119_c015,4.99
fraction_sweep_u0138,0.138,0.869565,0.55,0.478261,3.26087,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c055,5.03
fraction_sweep_u0138,0.138,0.869565,0.5,0.434783,3.623188,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c05,5.0
fraction_sweep_u0138,0.138,0.869565,0.45,0.391304,3.985507,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c045,5.14
fraction_sweep_u0138,0.138,0.869565,0.4,0.347826,4.347826,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c04,5.11
fraction_sweep_u0138,0.138,0.869565,0.35,0.304348,4.710145,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c035,5.09
fraction_sweep_u0138,0.138,0.869565,0.25,0.217391,5.434783,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c025,5.05
fraction_sweep_u0138,0.138,0.869565,0.15,0.130435,6.15942,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t2_work\runs\f03t2_sweep_u0138_c015,5.05
