osm_id,cell,u_roof,total_t,engaged,timestep_used,result,any_fatal_present,ctf_severe_present,severe_count,warmup_convergence_severe_count,verbatim_severe_line,end_line,eui_false_thermal_mass,eui_true_thermal_mass,pct_delta_true_vs_false,run_dir,elapsed_s
way/270445754,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 268214 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.34sec,75.83055555555556,74.98333333333333,-1.117257042382513,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_270445754,7.58
way/270445755,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 269245 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.37sec,74.0111111111111,73.275,-0.9945954060951661,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_270445755,7.55
way/270445756,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 259412 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.23sec,95.00277777777778,93.28055555555557,-1.8128124908628318,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_270445756,7.41
way/270445757,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 262689 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.30sec,86.475,85.14722222222221,-1.5354469821078727,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_270445757,7.48
way/270445759,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 263199 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.34sec,85.35833333333333,84.08888888888889,-1.4871945068176655,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_270445759,7.52
way/304840787,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 269312 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.34sec,74.46388888888889,73.70833333333334,-1.0146603499085929,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_304840787,7.52
way/304842005,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 260050 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.28sec,93.84444444444443,92.18611111111112,-1.7671086905043638,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_304842005,7.46
way/304843764,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 264313 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.42sec,83.10000000000001,81.91388888888888,-1.4273298569327693,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_304843764,7.61
way/304844050,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 264401 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.41sec,83.0111111111111,81.825,-1.4288582519073654,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_304844050,7.59
way/304844576,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 267570 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.50sec,77.0,76.08333333333333,-1.1904761904761967,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_304844576,7.68
way/304845359,nyc_rural,0.119,1.008403,True,4,PASS,False,False,0,0,,EnergyPlus Completed Successfully-- 265665 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.37sec,81.15277777777777,80.05555555555556,-1.3520451822693726,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11nb_work\runs\way_304845359,7.56
