building_id,eui_kwh_m2,geometry_outcome
BATIMENT0000000013365727_part0,67.1,dwelling layout (imputed)
BATIMENT0000000240877101_part0,62.14,dwelling layout (imputed)
BATIMENT0000000240877122_part0,162.49,dwelling layout (imputed)
BATIMENT0000000240877130_part0,56.8,dwelling layout (imputed)
BATIMENT0000000240877151_part0,79.94,dwelling layout (imputed)
BATIMENT0000000240877159_part0,68.15,dwelling layout (imputed)
BATIMENT0000000240877169_part0,52.19,dwelling layout (imputed)
BATIMENT0000000240877179_part0,69.02,dwelling layout (imputed)
BATIMENT0000000240877182_part0,232.76,dwelling layout (imputed)
BATIMENT0000000240877183_part0,39.21,dwelling layout (imputed)
BATIMENT0000000240877518_part0,30.92,dwelling layout (imputed)
BATIMENT0000000240877519_part0,42.88,dwelling layout (imputed)
BATIMENT0000000240877522_part0,65.69,dwelling layout (imputed)
BATIMENT0000000240877523_part0,87.7,dwelling layout (imputed)
BATIMENT0000000240877524_part0,40.77,dwelling layout (imputed)
BATIMENT0000000240877527_part0,65.63,dwelling layout (imputed)
BATIMENT0000000240877538_part0,62.05,dwelling layout (imputed)
BATIMENT0000000240878030_part0,59.44,dwelling layout (imputed)
BATIMENT0000000240878034_part0,82.1,dwelling layout (imputed)
BATIMENT0000000240879409_part0,64.57,geometry-limited massing box
BATIMENT0000000240879419_part0,25.56,geometry-limited massing box
BATIMENT0000000240879449_part0,46.64,geometry-limited massing box
BATIMENT0000000240879451_part0,135.07,dwelling layout (imputed)
BATIMENT0000000240879459_part0,49.37,geometry-limited massing box
BATIMENT0000000240879467_part0,225.47,dwelling layout (imputed)
BATIMENT0000000240879470_part0,74.3,dwelling layout (imputed)
BATIMENT0000000240879486_part0,44.95,dwelling layout (imputed)
BATIMENT0000000240879492_part0,64.13,geometry-limited massing box
BATIMENT0000000240879510_part0,92.04,dwelling layout (imputed)
BATIMENT0000000240879511_part0,75.71,dwelling layout (imputed)
BATIMENT0000000240879534_part0,67.89,geometry-limited massing box
BATIMENT0000000240879546_part0,45.12,geometry-limited massing box
BATIMENT0000000240879558_part0,184.55,dwelling layout (imputed)
BATIMENT0000000240879564_part0,65.64,dwelling layout (imputed)
BATIMENT0000000240879572_part0,32.68,geometry-limited massing box
BATIMENT0000000240879577_part0,42.99,dwelling layout (imputed)
BATIMENT0000000240879604_part0,42.73,dwelling layout (imputed)
BATIMENT0000000240879614_part0,50.75,dwelling layout (imputed)
BATIMENT0000000240879618_part0,193.96,dwelling layout (imputed)
BATIMENT0000000240879627_part0,65.98,dwelling layout (imputed)
BATIMENT0000000240879632_part0,40.77,dwelling layout (imputed)
BATIMENT0000000240879635_part0,69.99,dwelling layout (imputed)
BATIMENT0000000240879644_part0,47.49,geometry-limited massing box
BATIMENT0000000240879650_part0,61.43,dwelling layout (imputed)
BATIMENT0000000240879660_part0,61.56,dwelling layout (imputed)
BATIMENT0000000240879669_part0,55.85,geometry-limited massing box
BATIMENT0000000240879681_part0,79.71,dwelling layout (imputed)
BATIMENT0000000240879754_part0,324.08,dwelling layout (imputed)
BATIMENT0000000240879755_part0,85.29,dwelling layout (imputed)
BATIMENT0000000240879756_part0,37.78,dwelling layout (imputed)
BATIMENT0000000240879758_part0,41.22,dwelling layout (imputed)
BATIMENT0000000240879759_part0,45.57,dwelling layout (imputed)
BATIMENT0000000240879761_part0,79.87,dwelling layout (imputed)
BATIMENT0000000240879768_part0,68.7,dwelling layout (imputed)
BATIMENT0000000240879789_part0,44.05,geometry-limited massing box
BATIMENT0000000240879897_part0,51.96,dwelling layout (imputed)
BATIMENT0000000240879902_part0,68.27,dwelling layout (imputed)
BATIMENT0000000240879934_part0,344.25,dwelling layout (imputed)
BATIMENT0000000240879957_part0,78.3,dwelling layout (imputed)
BATIMENT0000000240879959_part0,57.91,dwelling layout (imputed)
BATIMENT0000000240879966_part0,182.98,dwelling layout (imputed)
BATIMENT0000000240879968_part0,94.45,dwelling layout (imputed)
BATIMENT0000000240879972_part0,66.68,geometry-limited massing box
BATIMENT0000000240879975_part0,66.5,geometry-limited massing box
BATIMENT0000000240879977_part0,146.41,dwelling layout (imputed)
BATIMENT0000000240879979_part0,137.11,dwelling layout (imputed)
