building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
BATIMENT0000000013365727_part0,residential,Résidentiel,49.0,3.0,2.3,measured (source),1998.0,massing_box,3,0,147.1,147.1,0.0
BATIMENT0000000240877101_part0,residential,Résidentiel,222.0,4.0,21.9,measured (source),1860.0,ruled,4,4,888.0,888.0,0.0
BATIMENT0000000240877110_part0,residential,Résidentiel,147.6,5.0,18.1,measured (source),1850.0,ruled,4,4,590.4,590.4,0.0
BATIMENT0000000240877122_part0,residential,Résidentiel,36.5,1.0,5.2,measured (source),1800.0,ruled,1,1,36.5,36.5,0.0
BATIMENT0000000240877130_part0,residential,Résidentiel,87.0,4.0,17.8,measured (source),1900.0,ruled,4,4,348.0,348.0,0.0
BATIMENT0000000240877151_part0,residential,Résidentiel,271.7,6.0,23.9,measured (source),1900.0,massing_box,6,0,1630.5,1630.5,0.0
BATIMENT0000000240877159_part0,residential,Résidentiel,98.9,3.0,15.9,measured (source),1850.0,ruled,3,4,197.7,197.7,0.0
BATIMENT0000000240877160_part0,residential,Résidentiel,129.4,6.0,21.7,measured (source),1870.0,ruled,4,4,517.4,517.4,0.0
BATIMENT0000000240877169_part0,residential,Résidentiel,66.9,4.0,14.5,measured (source),1850.0,ruled,4,4,267.7,267.7,0.0
BATIMENT0000000240877179_part0,residential,Résidentiel,128.0,3.0,15.4,measured (source),1900.0,ruled,3,4,255.9,255.9,0.0
BATIMENT0000000240877182_part0,residential,Résidentiel,107.9,2.0,9.1,measured (source),1860.0,ruled,2,1,107.9,107.9,0.0
BATIMENT0000000240877183_part0,residential,Résidentiel,132.1,4.0,17.3,measured (source),1890.0,ruled,4,4,528.6,528.6,0.0
BATIMENT0000000240877184_part0,residential,Résidentiel,192.7,5.0,18.4,measured (source),1870.0,ruled,4,4,770.7,770.7,0.0
BATIMENT0000000240877518_part0,residential,Commercial et services,2543.7,3.0,22.1,measured (source),1910.0,massing_box,3,0,7940.5,7940.5,0.0
BATIMENT0000000240877519_part0,residential,Résidentiel,219.2,4.0,18.2,measured (source),1880.0,ruled,4,4,876.8,876.8,0.0
BATIMENT0000000240877522_part0,residential,Résidentiel,159.6,3.0,16.1,measured (source),1900.0,ruled,3,4,215.8,215.8,0.0
BATIMENT0000000240877523_part0,residential,Résidentiel,158.5,2.0,15.4,measured (source),1882.0,ruled,2,4,316.9,316.9,0.0
BATIMENT0000000240877524_part0,residential,Résidentiel,110.9,4.0,15.4,measured (source),1906.0,ruled,4,4,443.4,443.4,0.0
BATIMENT0000000240877525_part0,residential,Résidentiel,124.4,5.0,17.3,measured (source),1820.0,ruled,4,4,497.4,497.4,0.0
BATIMENT0000000240877526_part0,residential,Résidentiel,125.8,7.0,23.2,measured (source),1900.0,ruled,4,4,503.0,503.0,0.0
BATIMENT0000000240877527_part0,residential,Résidentiel,276.1,5.0,19.6,measured (source),1860.0,massing_box,5,0,1380.3,1380.3,0.0
BATIMENT0000000240877528_part0,residential,Résidentiel,104.6,5.0,21.1,measured (source),1860.0,ruled,4,4,418.3,418.3,0.0
BATIMENT0000000240877529_part0,residential,Résidentiel,212.2,6.0,21.1,measured (source),1914.0,ruled,4,4,848.7,848.7,0.0
BATIMENT0000000240877530_part0,residential,Résidentiel,114.3,5.0,24.4,measured (source),1850.0,ruled,4,4,457.2,457.2,0.0
BATIMENT0000000240877531_part0,residential,Résidentiel,163.8,7.0,24.6,measured (source),1830.0,massing_box,7,0,655.1,655.1,0.0
BATIMENT0000000240877534_part0,residential,Résidentiel,243.6,7.0,25.0,measured (source),1900.0,massing_box,7,0,1705.0,1705.0,0.0
BATIMENT0000000240877536_part0,residential,Résidentiel,288.7,4.0,17.8,measured (source),1870.0,no_idf,,,,,
BATIMENT0000000240877537_part0,residential,Résidentiel,111.7,6.0,22.0,measured (source),1850.0,ruled,4,4,446.8,446.8,0.0
BATIMENT0000000240877538_part0,residential,Résidentiel,96.7,4.0,17.7,measured (source),1914.0,ruled,4,4,386.7,386.7,0.0
BATIMENT0000000240878030_part0,residential,Résidentiel,156.9,3.0,15.6,measured (source),1720.0,massing_box,3,0,470.6,470.6,0.0
BATIMENT0000000240878034_part0,residential,Résidentiel,60.5,3.0,13.9,measured (source),1880.0,ruled,3,4,124.3,124.3,0.0
