Date/Time,BATIMENT0000000013365727_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000013365727_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000013365727_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,642771.0064038166,553633.3731736118,1097221.0534628504 
 01/01  02:00:00,777664.5867246643,687856.1634893771,1288169.7382495378 
 01/01  03:00:00,855685.1141426235,765689.1700351727,1388822.355061665 
 01/01  04:00:00,910262.6954443174,820359.4837672918,1462576.0453727918 
 01/01  05:00:00,950488.6762902498,860132.5006108421,1512209.1941937564 
 01/01  06:00:00,1005221.3386465787,915411.5332927097,1582626.319550993 
 01/01  07:00:00,1035770.8099141258,946832.1139202816,1624900.008119192 
 01/01  08:00:00,1071977.596498467,983917.8160464898,1675595.4698898387 
 01/01  09:00:00,1134263.7370700324,1047926.4765232146,1758246.718521903 
 01/01  10:00:00,1112153.7460747948,1039360.0890772025,1718645.5936344466 
 01/01  11:00:00,649915.7805744447,627177.7144172044,1096796.9276206435 
 01/01  12:00:00,74954.9075336945,84409.13743163619,247244.059881552 
 01/01  13:00:00,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0 
 01/01  18:00:00,27833.19465321511,0.0,283870.07284461474 
 01/01  19:00:00,189804.2364350713,112046.49156751439,516998.79290984245 
 01/01  20:00:00,306136.989544359,227793.9091553384,647311.417156857 
 01/01  21:00:00,377920.534441929,302139.97531793144,734884.244582967 
 01/01  22:00:00,422148.7631315333,342753.68694354506,789930.8575374507 
 01/01  23:00:00,475445.1068449598,390667.80797515565,865977.7609863 
 01/01  24:00:00,513910.0004508514,426630.8168015388,915685.893083425 
 01/02  01:00:00,544375.7632945402,457197.5247411534,939411.2460576158 
 01/02  02:00:00,563638.1558933096,477305.0885281289,948156.6094983522 
 01/02  03:00:00,607852.9631129095,522056.24195263843,992875.8564000353 
 01/02  04:00:00,676259.2872464488,592319.5054914271,1068836.3483975446 
 01/02  05:00:00,743244.0414253495,661197.849191178,1144669.5543704294 
 01/02  06:00:00,796652.1324045832,715665.8809414,1210030.8584417223 
 01/02  07:00:00,813007.4366301788,732880.5063399181,1226821.3616395944 
 01/02  08:00:00,841494.7121117692,762203.1783756076,1258995.266812943 
