Date/Time,RELATION_12765478_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/01  01:00:00,32767317.63081893,32309088.625216715,32410505.2890679,32724989.590562537,34890648.03835862,60652056.12613824 
 01/01  02:00:00,34105099.586124524,33697825.86550329,33795244.440907136,34108697.201686926,36339533.556075476,63143560.28470372 
 01/01  03:00:00,34212460.0565285,33829462.34064736,33925052.26795051,34237068.0533801,36484654.151743,63385131.1596691 
 01/01  04:00:00,34741790.52163641,34390708.30796893,34485815.95455397,34797930.6388003,37075343.085230954,64320140.00483886 
 01/01  05:00:00,35251496.837233745,34937525.42589921,35035944.52488706,35349928.641725704,37650569.2542022,65133858.75460547 
 01/01  06:00:00,35070257.76841236,34767646.89157991,34861959.128918886,35172874.81127529,37481949.25042775,64950210.349952735 
 01/01  07:00:00,34935103.64113722,34639301.238591075,34730930.969973594,35039565.831422694,37348754.75334897,64714220.7282038 
 01/01  08:00:00,35074808.08327589,34797628.89557557,34891296.01635605,35200600.257448375,37515410.66223775,64892747.470541194 
 01/01  09:00:00,35197164.7259927,34941100.45053091,35038968.300225645,35350180.01988617,37666842.759917445,64937820.575566776 
 01/01  10:00:00,34457805.87465506,34231264.91591541,34347085.23193446,34665794.208698004,36931860.384614185,63092373.26490341 
 01/01  11:00:00,32514048.419666853,32387954.85024837,32580999.988433566,32937480.636465266,35041936.10480883,57729320.13349192 
 01/01  12:00:00,29015082.83129053,28959715.81307734,29232690.018364348,29625338.7651115,31511325.514471993,49967348.317931704 
