building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct,eplus_return_code,heating_kwh,eui_kwh_m2,run_seconds
way/100704656,residential,apartments,313.3,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1252.2,1252.2,0.0,0.0,106486.1,85.04,96
way/100704671,residential,residential,2166.2,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,,,,,
way/100704677,residential,apartments,221.6,7.0,21.0,storeys x 3.0 m,,massing_box,7,0,1550.8,1550.8,0.0,0.0,127845.1,82.44,58
way/100704682,residential,apartments,687.8,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,2063.4,2063.4,0.0,0.0,84588.0,41.0,39
way/100704705,residential,apartments,1449.5,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,5799.1,5799.1,0.0,0.0,201725.4,34.79,54
way/100704712,residential,apartments,80.6,4.0,12.0,storeys x 3.0 m,,ruled,3,3,241.7,241.7,0.0,0.0,16534.7,68.4,146
way/100704723,residential,apartments,306.9,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1228.3,1228.3,0.0,0.0,133446.3,108.64,982
way/100704738,residential,apartments,170.8,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,683.1,683.1,0.0,0.0,33362.6,48.84,298
way/100704741,residential,apartments,362.9,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,1088.7,1088.7,0.0,0.0,49813.7,45.76,59
way/133979799,residential,apartments,306.4,6.0,18.0,storeys x 3.0 m,,massing_box,6,0,1837.6,1837.6,0.0,0.0,162753.5,88.57,163
way/195286070,residential,apartments,2102.8,,9.0,assumed 9.0 m,,no_idf,,,,,,,,,
way/195286075,residential,apartments,75.7,3.0,9.0,storeys x 3.0 m,,ruled,2,2,151.4,151.4,0.0,0.0,10845.7,71.63,55
way/198082036,residential,apartments,205.7,5.0,15.0,storeys x 3.0 m,,massing_box,5,0,1029.3,1029.3,0.0,0.0,95257.7,92.55,51
way/198082054,residential,apartments,483.8,7.0,21.0,storeys x 3.0 m,,ruled,7,32,3023.8,3023.8,0.0,0.0,254705.6,75.21,207
way/198082056,residential,apartments,283.5,2.0,6.0,storeys x 3.0 m,,massing_box,2,0,567.0,567.0,0.0,0.0,78673.7,138.76,210
way/224012143,residential,house,244.2,5.0,15.0,storeys x 3.0 m,,no_idf,,,,,,,,,
way/232618736,residential,apartments,331.3,7.0,21.0,storeys x 3.0 m,,massing_box,7,0,2318.9,2318.9,0.0,0.0,186627.0,80.48,570
way/277649994,residential,apartments,189.3,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,757.3,757.3,0.0,0.0,30963.9,40.89,77
way/277649996,residential,apartments,185.8,4.0,12.0,storeys x 3.0 m,,ruled,4,16,743.3,743.3,0.0,0.0,95015.7,127.83,456
way/286376565,residential,apartments,69.9,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,209.6,209.6,0.0,0.0,35883.8,171.19,255
way/286376566,residential,apartments,95.0,3.0,9.0,storeys x 3.0 m,,ruled,3,8,261.2,261.2,0.0,0.0,17774.6,62.39,1365
way/286376568,residential,apartments,103.0,4.0,12.0,storeys x 3.0 m,,ruled,4,8,412.1,412.1,0.0,0.0,17964.4,43.6,677
way/286376569,residential,apartments,111.7,3.0,9.0,storeys x 3.0 m,,ruled,3,1,111.8,111.8,0.0,0.0,37220.3,333.07,576
way/286376571,residential,apartments,101.8,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,305.2,305.2,0.0,0.0,15929.4,52.2,809
way/286376572,residential,house,76.1,1.0,3.0,storeys x 3.0 m,,no_idf,,,,,,,,,
way/286376573,residential,house,71.8,1.0,3.0,storeys x 3.0 m,,no_idf,,,,,,,,,
way/286376574,residential,apartments,129.2,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,517.0,517.0,0.0,0.0,24378.4,47.15,637
way/286376575,residential,apartments,143.5,4.0,12.0,storeys x 3.0 m,,ruled,4,1,143.5,143.5,0.0,0.0,28441.2,198.25,288
way/286417117,residential,apartments,529.5,3.0,9.0,storeys x 3.0 m,,ruled,3,32,1535.4,1535.4,0.0,0.0,215810.9,135.87,1396
way/286564856,residential,apartments,90.9,2.0,6.0,storeys x 3.0 m,,ruled,2,4,181.7,181.7,0.0,0.0,31205.4,171.72,273
way/286685213,residential,apartments,119.9,3.0,9.0,storeys x 3.0 m,,ruled,3,5,299.6,299.6,0.0,0.0,16530.8,45.97,612
way/286685214,residential,apartments,91.4,2.0,6.0,storeys x 3.0 m,,ruled,2,3,119.0,119.0,0.0,0.0,21889.1,119.78,279
way/286685215,residential,apartments,63.5,4.0,12.0,storeys x 3.0 m,,ruled,4,4,254.0,254.0,0.0,0.0,10975.5,43.22,259
way/286685216,residential,apartments,68.9,3.0,9.0,storeys x 3.0 m,,ruled,3,3,206.7,206.7,0.0,0.0,25905.5,125.34,588
way/286685217,residential,apartments,138.9,4.0,12.0,storeys x 3.0 m,,ruled,4,8,555.4,555.4,0.0,0.0,30554.0,55.01,1525
way/286685218,residential,apartments,85.3,2.0,6.0,storeys x 3.0 m,,ruled,2,2,170.7,170.7,0.0,0.0,24720.1,144.83,288
way/286685219,residential,apartments,84.0,3.0,9.0,storeys x 3.0 m,,ruled,3,3,251.9,251.9,0.0,0.0,11998.6,47.63,500
way/286685222,residential,apartments,491.0,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1964.0,1964.0,0.0,0.0,169256.5,86.18,751
way/286754285,residential,apartments,83.2,3.0,9.0,storeys x 3.0 m,,ruled,3,3,249.7,249.7,0.0,0.0,27681.5,110.86,492
way/286754286,residential,apartments,88.8,3.0,9.0,storeys x 3.0 m,,ruled,3,1,88.8,88.8,0.0,0.0,33857.5,381.18,258
way/286754288,residential,apartments,58.1,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,174.0,174.0,0.0,0.0,8930.2,51.33,75
way/286754289,residential,apartments,66.1,3.0,9.0,storeys x 3.0 m,,ruled,3,1,66.1,66.1,0.0,0.0,24121.9,364.82,187
way/286754290,residential,apartments,94.9,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,379.6,379.6,0.0,0.0,15981.7,42.1,736
way/286754292,residential,house,89.0,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,,,,,
way/286783497,residential,apartments,78.2,3.0,9.0,storeys x 3.0 m,,ruled,3,3,234.7,234.7,0.0,0.0,24267.9,103.38,1272
way/287225519,residential,apartments,403.2,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1613.4,1613.4,0.0,0.0,73987.9,45.86,971
way/287225521,residential,apartments,80.6,,9.0,assumed 9.0 m,,no_idf,,,,,,,,,
way/287225523,residential,apartments,73.7,2.0,6.0,storeys x 3.0 m,,ruled,2,2,147.4,147.4,0.0,0.0,25410.1,172.33,378
way/287225524,residential,apartments,105.9,2.0,6.0,storeys x 3.0 m,,ruled,2,3,147.2,147.2,0.0,0.0,26492.6,125.11,955
way/287356953,residential,apartments,1057.8,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,4230.9,4230.9,0.0,0.0,173816.0,41.08,429
way/287496586,residential,apartments,177.7,4.0,12.0,storeys x 3.0 m,,ruled,4,12,710.9,710.9,0.0,0.0,88706.8,124.79,2101
way/287496588,residential,apartments,121.7,,9.0,assumed 9.0 m,,no_idf,,,,,,,,,
way/287496591,residential,apartments,236.6,,9.0,assumed 9.0 m,,no_idf,,,,,,,,,
way/287496598,residential,apartments,203.5,,9.0,assumed 9.0 m,,no_idf,,,,,,,,,
way/287696580,residential,apartments,136.2,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,408.5,408.5,0.0,0.0,21497.8,52.63,633
way/287696581,residential,apartments,98.3,4.0,12.0,storeys x 3.0 m,,ruled,4,7,344.1,344.1,0.0,0.0,34886.1,88.7,480
way/287696583,residential,apartments,355.6,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1424.1,1424.1,0.0,0.0,123150.4,86.47,916
way/287696584,residential,apartments,151.6,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,606.6,606.6,0.0,0.0,25646.7,42.28,181
way/287696585,residential,apartments,62.3,3.0,9.0,storeys x 3.0 m,,ruled,3,1,62.3,62.3,0.0,0.0,26779.2,429.61,548
way/287696586,residential,apartments,45.5,1.0,3.0,storeys x 3.0 m,,ruled,1,1,45.5,45.5,0.0,0.0,7392.7,162.31,308
way/287696587,residential,apartments,62.7,3.0,9.0,storeys x 3.0 m,,ruled,3,3,188.1,188.1,0.0,0.0,13722.5,72.95,385
way/287696588,residential,apartments,74.1,1.0,3.0,storeys x 3.0 m,,ruled,1,1,74.1,74.1,0.0,0.0,14198.4,191.53,342
way/287696589,residential,apartments,61.1,3.0,9.0,storeys x 3.0 m,,ruled,3,1,61.1,61.1,0.0,0.0,24161.2,395.57,312
way/287696590,residential,apartments,76.7,5.0,15.0,storeys x 3.0 m,,massing_box,5,0,383.4,383.4,0.0,0.0,17630.3,45.99,745
way/287696591,residential,house,67.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,,,,,
way/287696594,residential,apartments,48.8,2.0,6.0,storeys x 3.0 m,,ruled,2,2,97.5,97.5,0.0,0.0,16075.0,164.82,394
way/287696595,residential,apartments,49.9,2.0,6.0,storeys x 3.0 m,,ruled,2,1,49.9,49.9,0.0,0.0,16673.3,334.21,358
