osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,elevators_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_elevators_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/42496314,5958.9613496970205,51.0,178.5,SuperTallBuilding,one_zone_per_floor,no_height,4.537504711266026,15.73521717222238,26.46509966212154,44.06327453374504,21.123335301503296,5.63567487273315,31.61748953201003,0.0,31.61748953201003,0.0,0.0,0.0,149.17759578560145,0.8212883527391507,3.5069393216075464,5.898329691896351,9.820470121884822,4.707799985316642,1.2560341302357825,5.722765605293815,0.0,0.0,0.0,31.733627208974113,0.009249398330759103,success,,-79.48865304009524,-2.7244041117078846e-05
way/42496352,2814.5294135285308,1.0,3.5,LargeOffice,single_zone,"no_floors,no_height",23.554170462822665,6.2809042231720795,26.465100073992843,44.06327521949278,4.610985016111644,0.0,3.6492317098869953,0.0,3.6492317098869953,0.0,0.0,6.862929424065115,115.48659612954411,4.263304853770902,1.3998376860268076,5.898329783690933,9.820470274718794,1.0276594525108342,0.0,0.6605109394895461,0.0,0.0,1.5295548066002402,24.59966779680806,0.0,success,,-79.48869380440023,-2.3305688849352364e-05
way/42500728,1633.0022917991948,1.0,3.5,LargeOffice,single_zone,"no_floors,no_height",28.76541507404866,6.397709995067729,26.46510073591363,44.06327632156386,4.8241466450833865,0.0,4.46272585163821,0.0,4.46272585163821,0.0,0.0,6.859354952685465,121.83772957600095,5.206540128402808,1.425870422020735,5.898329931214542,9.82047052033958,1.0751672110830244,0.0,0.8077533791465159,0.0,0.0,1.528758157014915,25.762889749222122,0.0,success,,-79.48870844146906,-1.933410895866849e-05
way/86121620,4626.279203848195,1.0,3.5,LargeOffice,single_zone,"generic_tag,no_floors,no_function,no_height",16.2846112840751,6.338374575701763,26.46510071220688,44.06327628209257,4.757038508818176,0.0,3.2107428631793224,0.0,3.2107428631793224,0.0,0.0,6.8718608880235585,107.99100511409738,2.9475146424175933,1.412646218435803,5.898329925930971,9.820470511542535,1.0602106865373244,0.0,0.5811444582354574,0.0,0.0,1.5315453798355865,23.25186182293527,0.0,success,,-79.48887606770018,2.0518123354971785e-05
way/86121621,8006.855999201618,105.0,367.5,SuperTallBuilding,one_zone_per_floor,no_floors,3.24598437087283,15.817293294500343,26.465100598403147,44.0632760926144,19.56831555920681,5.583370249491287,11.429824599212704,0.0,11.429824599212704,0.0,0.0,0.0,126.17316476430152,0.5875231711279822,3.5252317911318802,5.8983299005673056,9.820470469313156,4.361229625311539,1.244376894244622,2.0687982524574995,0.0,0.0,0.0,27.505960104153985,0.015689701122013053,success,,-79.48874387617293,1.0553751679529086e-08
way/86216914,2765.5355231290946,40.0,140.0,SuperTallBuilding,one_zone_per_floor,,6.513049544755692,15.680600260519109,26.465100687335852,44.06327624068361,22.431736458072862,5.706513057183029,45.82281389797228,0.0,45.82281389797228,0.0,0.0,0.0,166.68309014652243,1.17886196760078,3.4947667412624144,5.898329920387916,9.820470502313636,4.9994059678836145,1.271821978080496,8.293929315532983,0.0,0.0,0.0,34.95758639306184,0.005410934101898339,success,,-79.48874388915667,-3.1801868356854875e-08
way/91200880,1301.287936545484,1.0,3.5,LargeOffice,single_zone,"no_floors,no_height",30.287945715632983,8.065939438523385,26.465098136253616,44.06327199324227,7.648981327664591,0.0,4.959024494000665,0.0,4.959024494000665,0.0,0.0,6.863512182942569,128.35377328826007,5.482118174529569,1.7976720545425837,5.898329351823116,9.82046955567789,1.7047437664592626,0.0,0.8975834334141203,0.0,0.0,1.529684687236776,27.13060102368332,0.0,success,,-79.48874388571859,-3.0054167287632796e-09
way/91200920,1324.0168280864827,1.0,3.5,LargeOffice,single_zone,"no_floors,no_height,no_year|HOTDECK_NEIGHBOR_MED",32.086202790287025,7.778892646214969,26.465101564068522,44.06327770040758,6.127330381772489,0.0,4.897120000159847,0.0,4.897120000159847,0.0,0.0,6.801331108467168,128.2192561913776,5.807602705041951,1.7336973618472225,5.898330115787079,9.820470827645238,1.365610376846398,0.0,0.8863787200289324,0.0,0.0,1.5158262668062945,27.027916374003116,0.0,success,,-79.48874384418099,-2.5934550074892657e-08
way/109284804,2452.727707087475,1.0,3.5,LargeOffice,single_zone,"no_floors,no_height",21.151780038702018,6.739107257727315,26.46510089272592,44.06327658265207,5.263605401770231,0.0,3.731821318630842,0.0,3.731821318630842,0.0,0.0,6.643183566569614,114.05787505877801,3.8284721870050653,1.501958312744202,5.898329966163611,9.820470578528832,1.173110263103335,0.0,0.6754596586721824,0.0,0.0,1.480579607848503,24.378380574065734,0.0,success,,-79.48874388437268,5.737233397272763e-10
way/109284807,5104.004675028921,39.0,136.5,TallBuilding,one_zone_per_floor,no_height,4.695864551904848,15.931846641601004,26.46510057522184,44.0632760540185,21.77911907051637,5.729224198090424,47.240765878556545,0.0,47.240765878556545,0.0,0.0,0.0,165.90519696990953,0.8499514838947775,3.5507625247068986,5.898329895400842,9.820470460711212,4.853955825484124,1.276883655476809,8.550578624018735,0.0,0.0,0.0,34.8009324696934,0.006049042681111784,success,,-79.48873512861208,-6.481600550988978e-05
