district,building_id,stem,storeys,dwellings_total,observed_max_per_floor,morphology_route,reflex_count,hull_deficit_fraction,min_rotated_width_m,failing_dwelling_count,recorded_fallback_reason,true_fallback_reason,masked,gates_evaluated,wing_failure_detail
ES-MAD-BERRUGUETE,relation/12582232,c0469f277749f93e,4,18,5,courtyard_secondary,0,0.103929,17.3829,5,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12582234,a776387b1281ccea,5,21,5,courtyard_secondary,0,0.247786,15.6983,5,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12628570,19f9bca61b89709d,4,21,6,courtyard_secondary,0,0.075024,21.6923,6,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12628571,185b31a856fe0fac,6,39,7,courtyard_secondary,0,0.051752,16.6322,7,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12638103,81c43893177d0d80,5,27,6,courtyard_secondary,0,0.199321,23.8763,6,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12700585,446f5434568f28e3,6,24,4,courtyard_secondary,0,0.059597,19.7359,4,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12700645,c71e82e57d99bed1,7,39,6,courtyard_secondary,0,0.167116,13.1257,6,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, 1 failed""]]","[{""wing_index"": 3, ""true_reason"": ""L_SHAPE_DECOMPOSITION_FAILED"", ""route"": ""l_shape_decomposition""}]"
ES-MAD-BERRUGUETE,relation/12702625,19353088b38e9293,3,9,3,courtyard_secondary,0,0.114471,14.3294,3,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_ALLOCATE_WING_COUNTS"", ""RAISED""]]",
ES-MAD-BERRUGUETE,relation/12702626,8912451f8d1d6584,4,16,4,courtyard_secondary,0,0.151461,11.2614,4,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12702627,17fbaa5f295509bc,4,16,4,courtyard_secondary,0,0.165107,11.0467,4,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12702628,8d717b848f17f68d,3,15,5,courtyard_secondary,0,0.248619,11.6869,5,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12702630,cfd38851e11bd9f2,7,16,3,courtyard_secondary,0,0.205602,17.5135,3,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_ALLOCATE_WING_COUNTS"", ""RAISED""]]",
ES-MAD-BERRUGUETE,relation/12702631,c2e07c6ddc86dc8e,4,12,3,courtyard_secondary,0,0.172139,12.0091,3,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_ALLOCATE_WING_COUNTS"", ""RAISED""]]",
ES-MAD-BERRUGUETE,relation/12704090,3bc130c6f2491edc,5,30,6,courtyard_secondary,0,0.05978,25.8596,6,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
ES-MAD-BERRUGUETE,relation/12706920,9f5c50f79a7d4f15,3,12,4,courtyard_secondary,0,0.19491,13.8227,4,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,INTERIOR_RING_COURTYARD_UNFOLD_FAILED,False,"[[""MORPHOLOGY_CLASSIFY"", ""courtyard_secondary""], [""COURTYARD_WINGS"", ""4 wings, all emitted""], [""COURTYARD_COMBINE"", ""FAILED""]]",
