building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
relation/12582232,c0469f277749f93e,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,8579f6b29756385ab3ac92b0932d333c5a933495d253b4efbf104683bcd04f5e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1089.3143,1089.3143,1089.3143,1089.3143,9,near_duplicate_vertex_tolerated_box
relation/12582233,c6e90803c98dba87,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,62761d4581c65283d4a1ff61750f2dcd611e5352d134674b4d3d2b1022c30de0,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1445.2265,1445.2265,1445.2265,1445.2265,11,near_duplicate_vertex_tolerated_box
relation/12582234,a776387b1281ccea,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,7cddee6591d5b38e90ad73c6d54fc1a294443e0f9fd29bbc9e52996d71eb0980,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1696.2497,1696.2497,1696.2497,1696.2497,15,near_duplicate_vertex_tolerated_box
relation/12586384,f37e1223ce23033c,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,8fcfa27696a457a17267f81b30e6d9bdfcbb664ece6c9fbdfc7a8b2d7fa78b6c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2208.1458,2208.1458,2208.1458,2208.1458,9,near_duplicate_vertex_tolerated_box
relation/12628571,185b31a856fe0fac,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,37449ef3c0f6c03f869cee4e8684db411e5a104ecba368e4bd435eea70e60bd8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1785.3612,1785.3612,1785.3612,1785.3612,5,near_duplicate_vertex_tolerated_box
relation/12638102,c618dfeb21e06f07,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,eb9db8d0fe42975b6033674f886dd4d7cead67e6d18666938958ba3f392f6156,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,293.3104,293.3104,293.3104,293.3104,6,
relation/12638103,81c43893177d0d80,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,826d9442209af8db7a0f477781f8463b3337b0fe2ebd16952d25f335321b9857,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1959.5629,1959.5629,1959.5629,1959.5629,6,near_duplicate_vertex_tolerated_box
relation/12700585,446f5434568f28e3,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,91bf5f36d06f6384e008f9ddaf9805699eec620e7c56476c1a07d2c454722f34,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2740.6914,2740.6914,2740.6914,2740.6914,13,near_duplicate_vertex_tolerated_box
relation/12700645,c71e82e57d99bed1,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,918fb59168c405fceb17a68a8c1eb44bcccd00e024b5e49ed9953fc84459fba8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1954.8024,1954.8024,1954.8024,1954.8024,8,near_duplicate_vertex_tolerated_box
relation/12702624,1d78cf9122f19e7a,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,505a5b04a66ab49a005035f9df15a85ceaef771903681ebb90aa7ebe8e703bf0,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,986.5181,986.5181,986.5181,986.5181,8,near_duplicate_vertex_tolerated_box
