cell_id,archetype_id,survey_fold,sensitivity_f,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.05.Gen.ReEx.001.001__f015,ES.ME.AB.05.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,118575.4246478599,1.982,True,False,False,3d13151362908362b156626450010b1f8fb8db0b8330d375e800f89c19c62d81,
es__ES.ME.AB.05.Gen.ReEx.001.001__f030,ES.ME.AB.05.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,118561.51872423611,2.086,True,False,False,2b9951bd63ca4e591067b79a5d3385e76ad9d08b5b145294c601b4489f1d7d50,
es__ES.ME.AB.05.Gen.ReEx.001.001__f050,ES.ME.AB.05.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,118548.2171566168,1.974,True,False,False,57a04850df57c23fcf5f3065afbe872c156b64a58d3f9ef958982e9a54c975db,
es__ES.ME.AB.05.Gen.ReEx.001.001__f100,ES.ME.AB.05.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,118542.0987968494,1.987,True,False,False,2741433d819c97322276c037ba818d6f0aa5485ea65c1a0f05576931cc06ddd4,
es__ES.ME.AB.06.Gen.ReEx.001.001__f000,ES.ME.AB.06.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,1760042.8120370756,2.407,True,False,False,d12e902f7dc8ad1daf57f09fd6a7f5a8bab550cd88a047d72b41a24c2ba20ac7,
es__ES.ME.AB.06.Gen.ReEx.001.001__f015,ES.ME.AB.06.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,1759489.7028921032,2.335,True,False,False,3063a61e04db87ba92447e2e237078903a3d8e9ed9b5b0d0f3a772f131f9b6b8,
es__ES.ME.AB.06.Gen.ReEx.001.001__f030,ES.ME.AB.06.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,1759510.068522736,2.303,True,False,False,7171e97f96c6c3168e1a8d35bb360716c4060776a143da6448a1a66b702f34aa,
es__ES.ME.AB.06.Gen.ReEx.001.001__f050,ES.ME.AB.06.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,1759194.0845231286,2.344,True,False,False,8e2b603ecb980be7d5b708d4677917864db524a2a45c090e9c1bcc67795cd74d,
es__ES.ME.AB.06.Gen.ReEx.001.001__f100,ES.ME.AB.06.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,1758558.7828316449,2.34,True,False,False,55551abaa8026507b5e4ebe47360280032678456c73f955e22f6869cd145cac9,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f000,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.0,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.579,False,False,False,91cabb16555f4971f33db7ae06df6af5e1113b44acc3eca86c1f0e988b7efa39,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f015,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,99470.18613846539,2.282,True,False,False,d4a67a7a4c66023737b337d8312a96278e01e8c8bada092aa6e08fc375c93755,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f030,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,98588.04622344502,2.258,True,False,False,51859fdacb482418fffd367c51a17a3c3e1848e94c73ff1488fbf320b5e9a8f6,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f050,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,99391.3312855827,2.29,True,False,False,87bdff0c5ad5f2b9e151eea3c453341226f78c35c0645d890a2dc4607cb40987,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f100,ES.ME.MFH.01.Gen.ReEx.001.001,es,1.0,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.414,False,False,False,60bcd68bd13cf41aec34cb758353eb43f85fc618c77732aa74ae3119772df400,
es__ES.ME.MFH.02.Gen.ReEx.001.001__f000,ES.ME.MFH.02.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,104055.44806615902,1.933,True,False,False,7c13404e100c8cc482717e8abf0ef049c79a026e47a2e7070a91d47bf73b7ae5,
es__ES.ME.MFH.02.Gen.ReEx.001.001__f015,ES.ME.MFH.02.Gen.ReEx.001.001,es,0.15,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.416,False,False,False,8d6d27db06e78b1ce8f714753c3f2358962edfe14ee11ede1bf145cfd29f6866,
es__ES.ME.MFH.02.Gen.ReEx.001.001__f030,ES.ME.MFH.02.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,103977.38341198124,1.942,True,False,False,6b442bf6e0e45c59ea4d77b6d699fcefc0e5492c195211eeb81cb36f6d5de357,
es__ES.ME.MFH.02.Gen.ReEx.001.001__f050,ES.ME.MFH.02.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,103937.3469063374,1.933,True,False,False,7782f83ac8b6a14ab5c9f565f78ade21045da38c41f75f82e6fc72ed022ff655,
es__ES.ME.MFH.02.Gen.ReEx.001.001__f100,ES.ME.MFH.02.Gen.ReEx.001.001,es,1.0,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.438,False,False,False,db78c5514fde74f5d098727eae3b46fafa05ee870608099a1d319bb930a19f5e,
es__ES.ME.MFH.03.Gen.ReEx.001.001__f000,ES.ME.MFH.03.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,229811.0703954997,1.989,True,False,False,a7975593a554f43e43022be30745e8cb98c09317deef9d109167558bea40e7b1,
es__ES.ME.MFH.03.Gen.ReEx.001.001__f015,ES.ME.MFH.03.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,229848.05421723527,1.88,True,False,False,04ff2a7cb415166085153c192d881c7705f355fbbf2655abaed418389b5af061,
es__ES.ME.MFH.03.Gen.ReEx.001.001__f030,ES.ME.MFH.03.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,231517.86198123105,2.045,True,False,False,eb08f0b42624025029629a284ffb8dae2d57a4d4566d9b1cb13414cbf3dcedd1,
es__ES.ME.MFH.03.Gen.ReEx.001.001__f050,ES.ME.MFH.03.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,231603.02271220527,2.026,True,False,False,5de4b4739f8ddb937fec5cf4f0ddd9e746593d8f26a47501e15cd02dc01bf01b,
es__ES.ME.MFH.03.Gen.ReEx.001.001__f100,ES.ME.MFH.03.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,230287.8262959671,2.021,True,False,False,149f1c7b1dae662282e1d2531e19cc3afbdc0503fb5ff673979d0a2a04af7991,
