cell_id,archetype_id,survey_fold,sensitivity_f,note
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,ok_4_distinct_f_levels
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,ok_4_distinct_f_levels
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,ok_4_distinct_f_levels
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,ok_4_distinct_f_levels
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,ok_4_distinct_f_levels
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,ok_4_distinct_f_levels
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,ok_4_distinct_f_levels
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,ok_4_distinct_f_levels
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,ok_4_distinct_f_levels
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,ok_4_distinct_f_levels
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,ok_4_distinct_f_levels
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,ok_4_distinct_f_levels
