cell_id,survey_fold,arm,replicate,applied,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,1,True,False,ENGINE_FAILED,1,1,1,None,0.533,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,2,True,True,COMPLETED,0,0,0,432915.0504708593,3.295,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,3,True,True,COMPLETED,0,0,0,432915.0504708593,3.812,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,4,True,True,COMPLETED,0,0,0,432915.0504708593,3.33,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,5,True,False,ENGINE_FAILED,1,1,1,None,0.499,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,6,True,True,COMPLETED,0,0,0,432915.0504708593,3.339,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,7,True,True,COMPLETED,0,0,0,432915.0504708593,3.619,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,8,True,True,COMPLETED,0,0,0,432915.0504708593,3.199,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,9,True,True,COMPLETED,0,0,0,432915.0504708593,3.557,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E0,10,True,True,COMPLETED,0,0,0,432915.0504708593,3.238,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,1,True,True,COMPLETED,0,0,0,11263.179301953025,3.032,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,2,True,True,COMPLETED,0,0,0,11263.179301953025,2.884,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,3,True,True,COMPLETED,0,0,0,14924.60956663375,2.973,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,4,True,True,COMPLETED,0,0,0,12823.863541141567,2.862,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,5,True,True,COMPLETED,0,0,0,11263.179301953025,2.968,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,6,True,False,ENGINE_FAILED,1,1,1,None,0.491,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,7,True,True,COMPLETED,0,0,0,14924.60956663375,2.983,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,8,True,True,COMPLETED,0,0,0,12002.09671996312,2.963,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,9,True,True,COMPLETED,0,0,0,12002.09671996312,2.825,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E0,10,True,True,COMPLETED,0,0,0,14924.60956663375,3.306,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,1,True,True,COMPLETED,0,0,0,15336.17787681938,3.449,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,2,True,False,ENGINE_FAILED,1,1,1,None,0.439,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,3,True,True,COMPLETED,0,0,0,15336.17787681938,3.187,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,4,True,True,COMPLETED,0,0,0,13267.626412532973,2.857,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,5,True,True,COMPLETED,0,0,0,13267.626412532973,2.885,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,6,True,False,ENGINE_FAILED,1,1,1,None,0.443,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,7,True,False,ENGINE_FAILED,1,1,1,None,0.425,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,8,True,True,COMPLETED,0,0,0,11709.661873294688,2.939,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,9,True,True,COMPLETED,0,0,0,12281.330132700994,2.914,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E0,10,True,False,ENGINE_FAILED,1,33,1,None,1.861,False,True,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,1,True,True,COMPLETED,0,28,0,89797.19053931667,2.472,False,True,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,2,True,False,ENGINE_FAILED,1,1,1,None,0.468,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,3,True,True,COMPLETED,0,0,0,432915.0504708593,2.002,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,4,True,True,COMPLETED,0,0,0,432915.0504708593,1.834,False,False,False,
