cell_id,survey_fold,probe,replicate,applied,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P0,1,True,True,COMPLETED,0,0,0,429401.8978237175,1.553,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P0,2,True,True,COMPLETED,0,0,0,429401.8978237175,1.598,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P0,3,True,False,ENGINE_FAILED,1,1,1,None,0.382,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P1,1,True,True,COMPLETED,0,0,0,429473.85527543706,2.427,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P1,2,True,True,COMPLETED,0,0,0,429473.85527543706,2.437,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P1,3,True,True,COMPLETED,0,0,0,429473.85527543706,2.481,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P2,1,True,True,COMPLETED,0,0,0,472600.4967953329,1.491,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P2,2,True,True,COMPLETED,0,0,0,472600.4967953329,1.525,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P2,3,True,False,ENGINE_FAILED,1,1,1,None,0.376,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P3,1,True,True,COMPLETED,0,0,0,431310.2315933156,1.651,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P3,2,True,True,COMPLETED,0,0,0,431310.2315933156,1.566,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P3,3,True,True,COMPLETED,0,0,0,431310.2315933156,1.547,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P4,1,True,True,COMPLETED,0,0,0,448875.2320256269,1.581,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P4,2,True,True,COMPLETED,0,0,0,448875.2320256269,1.592,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P4,3,True,True,COMPLETED,0,0,0,448875.2320256269,1.556,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,uk,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P0,1,True,True,COMPLETED,0,0,0,429161.0117617531,1.582,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P0,2,True,True,COMPLETED,0,0,0,429161.0117617531,1.613,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P0,3,True,True,COMPLETED,0,0,0,429161.0117617531,1.574,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P1,1,True,True,COMPLETED,0,0,0,429228.3912597699,2.466,False,False,False,
