cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.02.Gen.ReEx.001.001__f030,ES.ME.AB.02.Gen.ReEx.001.001,es,0.3,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.576,False,False,False,e7eb14c98a405794c885fcb775a6b696febe5b4fb48dd8d41b5b9b15bc5a29fc,
es__ES.ME.AB.02.Gen.ReEx.001.001__f030,ES.ME.AB.02.Gen.ReEx.001.001,es,0.3,3,ATTEMPTED,False,ENGINE_FAILED,1,23,1,None,2.699,True,True,False,2e1dba092bc9dcaec5660d3fdf4a64b93f3c509cc7c9ba895aac95da842295c8,
es__ES.ME.AB.02.Gen.ReEx.001.001__f050,ES.ME.AB.02.Gen.ReEx.001.001,es,0.5,1,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.637,False,False,False,6f917d126376bd53689b1fc187c838a14f51b0cc030709dd6a177cc5c8ed61ed,
es__ES.ME.AB.02.Gen.ReEx.001.001__f050,ES.ME.AB.02.Gen.ReEx.001.001,es,0.5,2,ATTEMPTED,True,COMPLETED,0,0,0,210947.0925702523,4.05,True,False,False,4b00d1225a8ae524538576d414c63c21bf0cf94d51970c3416bf6b9584e6f0b9,
es__ES.ME.AB.02.Gen.ReEx.001.001__f050,ES.ME.AB.02.Gen.ReEx.001.001,es,0.5,3,ATTEMPTED,True,COMPLETED,0,0,0,208638.7356512499,4.037,True,False,False,909d3ac371a2eab099a523f899c73be5520d238d55fc8e3494ddf865f5899283,
es__ES.ME.AB.02.Gen.ReEx.001.001__f100,ES.ME.AB.02.Gen.ReEx.001.001,es,1.0,1,ATTEMPTED,True,COMPLETED,0,0,0,206083.66191018463,4.04,True,False,False,2bedfab286efecfdfd8615f1767a168edb7b44d7aec63b78ff01c9d30637e00b,
es__ES.ME.AB.02.Gen.ReEx.001.001__f100,ES.ME.AB.02.Gen.ReEx.001.001,es,1.0,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.614,False,False,False,a170f5906dfa3a1814ecface5ca607eb6083b750d5401682373cfeb1433eadf1,
es__ES.ME.AB.02.Gen.ReEx.001.001__f100,ES.ME.AB.02.Gen.ReEx.001.001,es,1.0,3,ATTEMPTED,True,COMPLETED,0,0,0,209044.87772346888,3.958,True,False,False,c69824d5b17ee468109107ab0bc30f6787ecbc4dc5cd751ab91d74472b6200b1,
es__ES.ME.AB.03.Gen.ReEx.001.001__f000,ES.ME.AB.03.Gen.ReEx.001.001,es,0.0,1,ATTEMPTED,True,COMPLETED,0,0,0,110965.89276036432,3.929,True,False,False,9fb351f01340ecb638a3bda8814c3941a9d06d09964d5bc55dcd7ac1c9b51d68,
es__ES.ME.AB.03.Gen.ReEx.001.001__f000,ES.ME.AB.03.Gen.ReEx.001.001,es,0.0,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.523,False,False,False,bf95466a0642e0e05f251b02d0a3d4a2140b954a7c74679dd24acd064f6ca36d,
