archetype_id,survey_fold,attempted,build_refused,completed,clean,n_f_levels_completed,n_f_levels_clean,marker_psy_n,marker_inside_hb_n,marker_calchb_n
ES.ME.AB.01.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.AB.02.Gen.ReEx.001.001,es,5,0,2,0,2,0,2,0,0
ES.ME.AB.03.Gen.ReEx.001.001,es,5,0,4,0,4,0,4,0,0
ES.ME.AB.04.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.AB.05.Gen.ReEx.001.001,es,5,0,4,0,4,0,4,0,0
ES.ME.AB.06.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.MFH.01.Gen.ReEx.001.001,es,5,0,3,0,3,0,3,0,0
ES.ME.MFH.02.Gen.ReEx.001.001,es,5,0,3,0,3,0,3,0,0
ES.ME.MFH.03.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.MFH.04.Gen.ReEx.001.001,es,5,0,3,0,3,0,3,0,0
ES.ME.MFH.05.Gen.ReEx.001.001,es,0,5,0,0,0,0,0,0,0
ES.ME.MFH.06.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.SFH.01.Gen.ReEx.001.001,es,5,0,4,0,4,0,4,0,0
ES.ME.SFH.02.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.SFH.03.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.SFH.04.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.SFH.05.Gen.ReEx.001.001,es,5,0,4,0,4,0,4,0,0
ES.ME.SFH.06.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.TH.01.Gen.ReEx.001.001,es,0,5,0,0,0,0,0,0,0
ES.ME.TH.02.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.TH.03.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.TH.04.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.TH.05.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
ES.ME.TH.06.Gen.ReEx.001.001,es,5,0,5,0,5,0,5,0,0
GB.ENG.AB.01.ApartmentBuildings.SyAv.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.AB.02-03.ApartmentBuildings.SyAv.002.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.AB.03.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.AB.04.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.AB.07.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.01.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.02.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.03.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.04.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.05.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.06.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.07.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.MFH.08.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.SFH.01.Detached.SyAv.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.01.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.02-03.Detached.SyAv.002.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.02.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.03.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.04-08.Detached.SyAv.005.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.04.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.05.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.06.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.07.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.SFH.08.Gen.ReEx.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.TH.01.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.TH.01.Terraced.SyAv.001.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.TH.02-03.Terraced.SyAv.002.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.TH.02.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.TH.03.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.TH.04-08.Terraced.SyAv.005.001,uk,0,5,0,0,0,0,0,0,0
GB.ENG.TH.04.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.TH.05.Gen.ReEx.001.001,uk,5,0,4,4,4,4,0,1,0
GB.ENG.TH.06.Gen.ReEx.001.001,uk,5,0,5,5,5,5,0,0,0
GB.ENG.TH.07.Gen.ReEx.001.001,uk,5,0,4,4,4,4,0,0,0
GB.ENG.TH.08.Gen.ReEx.001.001,uk,5,0,4,4,4,4,0,1,0
IT.MidClim.AB.01.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,1,0
IT.MidClim.AB.02.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.AB.03.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.AB.04.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.AB.05.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.AB.06.Gen.ReEx.001.001,it,5,0,2,2,2,2,0,0,1
IT.MidClim.AB.07.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.AB.08.Gen.ReEx.001.001,it,5,0,3,3,3,3,0,0,0
IT.MidClim.MFH-AB.01-03.Gen.ReEx.001.001,it,0,5,0,0,0,0,0,0,0
IT.MidClim.MFH-AB.04-05.Gen.ReEx.001.001,it,0,5,0,0,0,0,0,0,0
IT.MidClim.MFH-AB.06.Gen.ReEx.001.001,it,5,0,2,2,2,2,0,0,0
IT.MidClim.MFH-AB.07.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.MFH-AB.08.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.MFH.01.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
IT.MidClim.MFH.02.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.MFH.03.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
IT.MidClim.MFH.04.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.MFH.05.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
IT.MidClim.MFH.06.Gen.ReEx.001.001,it,5,0,1,1,1,1,0,0,0
IT.MidClim.MFH.07.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.MFH.08.Gen.ReEx.001.001,it,5,0,3,3,3,3,0,0,0
IT.MidClim.SFH-TH.01-03.Gen.ReEx.001.001,it,0,5,0,0,0,0,0,0,0
IT.MidClim.SFH-TH.04-05.Gen.ReEx.001.001,it,0,5,0,0,0,0,0,0,0
IT.MidClim.SFH-TH.06.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,1,0
IT.MidClim.SFH-TH.07.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.SFH-TH.08.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.SFH.01.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.SFH.02.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
IT.MidClim.SFH.03.Gen.ReEx.001.001,it,5,0,3,3,3,3,0,0,0
IT.MidClim.SFH.04.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.SFH.05.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,1,0
IT.MidClim.SFH.06.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
IT.MidClim.SFH.07.Gen.ReEx.001.001,it,5,0,3,3,3,3,0,1,0
IT.MidClim.SFH.08.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.TH.01.Gen.ReEx.001.001,it,5,0,3,3,3,3,0,1,0
IT.MidClim.TH.02.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.TH.03.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.TH.04.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
IT.MidClim.TH.05.Gen.ReEx.001.001,it,5,0,5,5,5,5,0,0,0
IT.MidClim.TH.06.Gen.ReEx.001.001,it,5,0,3,3,3,3,0,1,0
IT.MidClim.TH.07.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,1,0
IT.MidClim.TH.08.Gen.ReEx.001.001,it,5,0,4,4,4,4,0,0,0
