cell_id,archetype_id,survey_fold,sensitivity_f,class,n_replicates,heating_kwh,bitwise_identical,severe_max,fatal_max,certified,reason
es__ES.ME.MFH.05.Gen.ReEx.001.001__f100,ES.ME.MFH.05.Gen.ReEx.001.001,es,1.0,BUILD_REFUSED,3,,False,0,0,False,build_refused
es__ES.ME.MFH.06.Gen.ReEx.001.001__f000,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.MFH.06.Gen.ReEx.001.001__f015,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.MFH.06.Gen.ReEx.001.001__f030,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.MFH.06.Gen.ReEx.001.001__f050,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.MFH.06.Gen.ReEx.001.001__f100,ES.ME.MFH.06.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.SFH.01.Gen.ReEx.001.001__f000,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.SFH.01.Gen.ReEx.001.001__f015,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.01.Gen.ReEx.001.001__f030,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.01.Gen.ReEx.001.001__f050,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.SFH.01.Gen.ReEx.001.001__f100,ES.ME.SFH.01.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.02.Gen.ReEx.001.001__f000,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,45498.557536483604,True,0,0,True,certified
es__ES.ME.SFH.02.Gen.ReEx.001.001__f015,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,35,1,False,not_all_completed
es__ES.ME.SFH.02.Gen.ReEx.001.001__f030,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,45492.08235596586,True,0,0,True,certified
es__ES.ME.SFH.02.Gen.ReEx.001.001__f050,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,45488.55749219891,True,0,0,True,certified
es__ES.ME.SFH.02.Gen.ReEx.001.001__f100,ES.ME.SFH.02.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.03.Gen.ReEx.001.001__f000,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.03.Gen.ReEx.001.001__f015,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,27,1,False,not_all_completed
es__ES.ME.SFH.03.Gen.ReEx.001.001__f030,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,89572.76422319448,True,0,0,True,certified
es__ES.ME.SFH.03.Gen.ReEx.001.001__f050,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,89554.55859636387,True,0,0,True,certified
es__ES.ME.SFH.03.Gen.ReEx.001.001__f100,ES.ME.SFH.03.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,89529.76411397291,True,0,0,True,certified
es__ES.ME.SFH.04.Gen.ReEx.001.001__f000,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,33656.81781208779,True,0,0,True,certified
es__ES.ME.SFH.04.Gen.ReEx.001.001__f015,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.SFH.04.Gen.ReEx.001.001__f030,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,33628.16426581136,True,0,0,True,certified
es__ES.ME.SFH.04.Gen.ReEx.001.001__f050,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,33610.12778548643,True,0,0,True,certified
es__ES.ME.SFH.04.Gen.ReEx.001.001__f100,ES.ME.SFH.04.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,33569.025129600224,True,0,0,True,certified
es__ES.ME.SFH.05.Gen.ReEx.001.001__f000,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.05.Gen.ReEx.001.001__f015,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.SFH.05.Gen.ReEx.001.001__f030,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,,False,1,1,False,not_all_completed
