building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
way/435822225,d792b92b5a72d00c,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,840db9142331d7f2692a31ed939124bec05f272e2e6ebcf31a6b2bc9db4d0083,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,141.3229,141.3229,141.3229,141.3229,15,
way/435822228,3af7f5c31fa7ff6f,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,bc6018de29444b32dd4c477438de2fdd8d20adcb6c7eb2d17df1b0aecd7722f1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,667.7184,667.7184,667.7184,667.7184,5,
way/435822229,e9620bf06739ccd6,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,9472f019fc16aba2ad6342845aa2de010bdb6a438f196c4e4d7bd4a5f91d525d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1289.0137,1289.0137,1146.7456,1146.7456,11,
way/435822364,bc90dd5a18b3d9b6,ES.ME.AB.06.Gen.ReEx.001.001,AB,ES.06,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,0e21853994e48ecab33f4073c339e349a3785ae82a0f0cdb7f0f27f0a8a36c99,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2348.8136,2348.8136,2348.8136,2348.8136,12,
way/435822365,7728d5de239363d1,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,90baae082af2726cffde47952036e5313e7b5ed683dac7b7927b66e014eaef8e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,595.439,595.439,595.439,595.439,7,
way/435822366,f9a9607c1c66ef2e,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,30fd8670cbe2255ca06d803eb34e869b8d725339f49c41bcdb990ce996357ed8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,673.9186,673.9186,673.9186,673.9186,6,
way/435822367,d44553cf916181ea,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,675b7ada8c8a056d6ad559a58387c8c9c288c389a90b755267f9f40f0cd2736a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2251.9849,2251.9849,2251.9849,2251.9849,11,near_duplicate_vertex_tolerated_box
way/435823567,9125a77a5f59796f,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,57ec6e1f9fd851641f5f5b3ad02f757e47bd289c7220fcd0ae2bd0d20c115369,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1435.2704,1435.2704,1435.2704,1435.2704,11,
way/435823568,0b98bc03d401ec80,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,b7e89c7ff83bd7cde76a750749009b43632d58d0d942dac1f60c1eff9f378be1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,376.0867,376.0867,376.0867,376.0867,8,
way/435823569,b7e7e1f36509cb34,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,297c39e26ef4ab19e01978aaa461c646cbb6516abec6e440529ccb0499b05875,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,794.7475,794.7475,794.7475,794.7475,15,near_duplicate_vertex_tolerated_box
