Time,WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],WAY_432412733_F0_WHOLE::Des Latent Heat Load [W],WAY_432412733_F0_WHOLE::Des Latent Cool Load [W],WAY_432412733_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],WAY_432412733_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],WAY_432412733_F0_WHOLE::Des Heat Load No DOAS [W],WAY_432412733_F0_WHOLE::Des Sens Cool Load No DOAS [W],WAY_432412733_F0_WHOLE::Des Latent Heat Load No DOAS [W],WAY_432412733_F0_WHOLE::Des Latent Cool Load No DOAS [W],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],WAY_432412733_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,3.758866E+03,0.000000E+00,1.228522E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999447E+01,3.936570E+01,3.012390E+01,1.652485E+01
00:20:00,3.784691E+03,0.000000E+00,1.236959E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999449E+01,3.947373E+01,3.002234E+01,1.655708E+01
00:30:00,3.802041E+03,0.000000E+00,1.242627E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999452E+01,3.956765E+01,2.992386E+01,1.659258E+01
00:40:00,3.810806E+03,0.000000E+00,1.245490E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,3.964818E+01,2.982730E+01,1.663087E+01
00:50:00,3.810899E+03,0.000000E+00,1.245518E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999455E+01,3.971783E+01,2.973159E+01,1.667248E+01
01:00:00,3.802235E+03,0.000000E+00,1.242685E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,3.977908E+01,2.963579E+01,1.671815E+01
01:10:00,3.822992E+03,0.000000E+00,1.249470E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999457E+01,3.983380E+01,2.954052E+01,1.676707E+01
01:20:00,3.844064E+03,0.000000E+00,1.256357E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,3.988205E+01,2.942079E+01,1.685729E+01
01:30:00,3.865291E+03,0.000000E+00,1.263295E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,3.992435E+01,2.927269E+01,1.699929E+01
01:40:00,3.886706E+03,0.000000E+00,1.270294E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,3.996159E+01,2.910608E+01,1.718297E+01
