Date/Time,BATIMENT0000000240879546_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,4498279.888412517,3695166.892848211,3697212.2055110843,3740081.4271668904,3924794.3280968694,8068795.578944035 
 01/01  02:00:00,5100072.980076823,4296512.4692152105,4302674.28883375,4353038.674995583,4572545.29138936,9070944.30565529 
 01/01  03:00:00,5386915.155595181,4583820.327681554,4591393.18107148,4646599.710699902,4890569.3891741745,9535315.221006628 
 01/01  04:00:00,5526467.13390968,4724544.976178406,4733889.825556032,4793716.956616537,5059710.959311728,9832776.32655655 
 01/01  05:00:00,5626381.846297869,4825778.17336272,4836165.096308248,4899651.297564011,5183455.323411539,10032411.821904758 
 01/01  06:00:00,5852224.934534479,5053270.590998843,5064909.972101122,5132122.160026921,5434087.847710287,10397352.767229002 
 01/01  07:00:00,5911355.538259644,5114545.505691771,5127558.814717413,5198079.574852117,5515316.546338847,10562473.256907135 
 01/01  08:00:00,6026292.645386721,5231486.8368218355,5246163.306334801,5320265.595948769,5652993.334882028,10803706.909360647 
 01/01  09:00:00,6372821.118880568,5580361.0208020955,5596225.041401392,5673183.579458782,6020692.485820991,11332678.18998157 
 01/01  10:00:00,6661836.257746474,5875878.579104008,5887813.8291506795,5961770.487465561,6308784.778395375,11664592.910448592 
 01/01  11:00:00,5830904.392023598,5065487.2369614495,5067944.218966141,5126621.778320329,5307060.0624388335,10088737.102276312 
 01/01  12:00:00,4143567.1503173187,3402121.9245959567,3409472.057787559,3448033.8371159574,3077086.514685117,7267464.5301028425 
 01/01  13:00:00,2748142.1911994866,2023579.940273805,2037008.7836419318,2038937.0818580154,1111685.9395140114,4993844.519572804 
 01/01  14:00:00,1826550.1251755254,1109061.883677158,1123309.568372334,970414.4796396664,105781.27980970312,3457146.333643666 
 01/01  15:00:00,1347110.542387655,624579.8537976634,635063.8585202774,454062.2096394334,0.0,2661459.5945091485 
 01/01  16:00:00,1546384.6504333315,807073.4825140215,813027.907304687,745849.3827333965,201950.78723359038,2970416.7466354673 
 01/01  17:00:00,2102212.621541743,1338587.4512457114,1332901.267024322,1315818.6779929646,1144028.4675676348,4140018.1328004114 
 01/01  18:00:00,2858711.8792303465,2071438.162089375,2071383.383738951,2071747.0419257649,2013048.9091546712,5472246.955223638 
 01/01  19:00:00,3469758.2099269615,2677334.6113965935,2676673.4456020147,2684098.127212,2671982.6862022774,6288969.156423054 
 01/01  20:00:00,3839233.6321509383,3043295.188716564,3042133.595898806,3055675.9013453065,3083337.679459277,6799079.881361951 
 01/01  21:00:00,4033933.693160551,3235571.21174947,3232928.2509850366,3251197.4016372613,3311675.3163096844,7032501.0340575185 
 01/01  22:00:00,4034245.3173851473,3234559.503207569,3230879.2901435546,3253401.6726768073,3341244.1707139984,7038828.973625905 
 01/01  23:00:00,4003786.323315528,3202853.7703596344,3200898.8225963814,3230520.517553401,3352386.3367951363,7145254.673608637 
 01/01  24:00:00,3948218.0036149626,3146801.464648079,3145774.9539876273,3180773.6114942795,3329788.0092201554,7161150.46737865 
 01/02  01:00:00,3970494.9569954863,3168299.0482174237,3165557.045918228,3202706.0021845014,3367077.275400106,7119268.131304184 
 01/02  02:00:00,3957580.294698692,3155109.5176085485,3150198.4108954845,3188891.4338987144,3366049.5795917874,7013498.424520651 
 01/02  03:00:00,4124256.34095833,3320924.0683772983,3314694.7206180366,3355414.3385452656,3545215.6390305175,7173349.041351029 
 01/02  04:00:00,4503332.879881918,3699319.15877735,3691747.3785557784,3733890.7822626936,3935883.157279738,7593173.415069234 
 01/02  05:00:00,4891118.581151892,4087004.5745768994,4078077.816289844,4121303.542396307,4333696.64101645,8031430.14630678 
