cell,variant,n_manifest,n_success,html_path,content_hash,n_buildings,n_context,size_bytes,has_basemap,has_utci_layer
nyc_suburban,after_B08b,1589,1589,C:\Users\o_iseri\AppData\Local\Temp\ubem_b08b_work\viewer_html\nyc_suburban_layout_assign_after_B08b_viewer.html,edaaa2cc20c0a9ceb2d804b526e6fd65cf12acb1c581eea2538388617b6f816b,1589,0,21857933,False,False
la_suburban,after_B08b,1343,1343,C:\Users\o_iseri\AppData\Local\Temp\ubem_b08b_work\viewer_html\la_suburban_layout_assign_after_B08b_viewer.html,2c61ebe72bbfaec8f581cefc5c74469e363379e332ddb7dc8d1ef72217dfe1c2,1343,0,25087635,False,False
