building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,context_building_count
way/420411324,ec8b39f2e957a247,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,ce14d73572e5bf04fa735a1ce52f75962f574207764b473035dcacc2f09a6a3e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,125.3766,125.3766,125.3766,16
way/428475104,11f8033fce8c8155,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,2370000d3b6d561345ae9742c42cd8b4c90a1bc725e99a5213919467422f9425,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,865.8269,865.8269,865.8269,7
way/428475105,4621df50f63dc1ab,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,45840a63b2b3e49521009cf860973e694a0bcf4d2ad1604d4736953769ed50c8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1107.6907,1107.6907,1107.6907,9
way/428478237,dc429dd7e68c15dc,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,48cf5bfab51207ee516f839fc109bff55ca84b09560380085c0259af8248e64d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,905.6926,905.6926,905.6926,13
way/428478238,83c2a7fb65c1b1cc,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,1faf1f97864fd89d4df81b91643380ba855ca68bbf0b19e853026e42845d37bd,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1908.0426,1908.0426,1908.0426,13
way/428478241,b200cae1f7f9a509,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,a44a3675bf6dde68b732766a45e8e938f5ae6bb6988277b89ed3e6cdeafea75c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,66.1962,66.1962,66.1962,11
way/428478590,82ce9329f99c0880,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,09df091a131d706c0ef6cec48af8404a22e281be22807e588a02b0d5637b448f,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,860.3345,860.3345,860.3345,8
way/432405443,500cfae201c659e5,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,983e8c1524bafa77f4d1864d5b4ded661e1e995b5370e3420c38247cf3688a14,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,380.003,380.003,354.3542,14
way/432405444,6a7ce95cbff08593,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,6aa06d830c8f23a5f2634d66006384eb2e1250f89180fcfe3d76c43cc0c02c89,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,184.229,184.229,167.6484,14
way/432405449,d962341a07e8f951,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,e073467a5a4efd7310ec9283f658f9f70e430054041c66dcbb2d90860c7fc991,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,538.3019,538.3019,489.8547,15
way/432405451,17de00fc337e557b,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,87893fe9cab8a44811f91a4bb50dbd78e37aa1fd82a36d8e27d15b0c0bc445ea,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,533.9752,533.9752,533.9752,13
way/432405458,d002390d40a7112a,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,cd6dbb29d6aaeaab3a0e8dbab41c82b5bdfbc0db2ac85db45fb86e30e9aa5c5d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,82.0802,82.0802,82.0802,11
way/432405459,2b673dd66e50307c,ES.ME.AB.06.Gen.ReEx.001.001,AB,ES.06,DWELLING_LAYOUT_EMITTED,81949de9dd1fe9f171054e864161bfbffd527458f7943fc82eacd32df333777b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,680.9504,680.9504,680.9504,12
way/432405737,55bb78129ce9131b,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,2969d990ee2854abc540f8b2003821c076ad5121aa8b850e5a7f4af7d0e295da,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,6158.1001,6158.1001,6158.1001,17
way/432411451,e62bd0afa4c076fa,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,c27f7955d6e1e8a064431edabcdc8bc9a8632795797c2ca56c8c8c5a8d4ddee6,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,929.5208,929.5208,929.5208,17
