Time,BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Heat Load [W],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0::Des Latent Heat Load [W],BLOCK SUPERMARKET STOREY 0::Des Latent Cool Load [W],BLOCK SUPERMARKET STOREY 0::Des Latent Heat Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0::Des Latent Cool Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0::Des Heat Load No DOAS [W],BLOCK SUPERMARKET STOREY 0::Des Sens Cool Load No DOAS [W],BLOCK SUPERMARKET STOREY 0::Des Latent Heat Load No DOAS [W],BLOCK SUPERMARKET STOREY 0::Des Latent Cool Load No DOAS [W],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,7.147864E+03,7.846698E+03,2.416763E-01,6.869832E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099422E+01,3.521932E+01,2.400151E+01,3.603961E+01
00:20:00,7.551210E+03,7.394396E+03,2.553113E-01,6.473919E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099351E+01,3.465413E+01,2.400185E+01,3.560551E+01
00:30:00,7.963726E+03,6.948636E+03,2.692548E-01,6.083632E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099319E+01,3.463789E+01,2.400197E+01,3.553752E+01
00:40:00,8.385361E+03,6.509618E+03,2.835050E-01,5.699122E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099311E+01,3.481036E+01,2.400195E+01,3.556490E+01
00:50:00,8.815012E+03,6.076439E+03,2.980261E-01,5.319729E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099313E+01,3.496840E+01,2.400189E+01,3.556228E+01
01:00:00,9.252617E+03,5.649344E+03,3.128168E-01,4.945744E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099314E+01,3.505589E+01,2.400185E+01,3.551015E+01
01:10:00,9.342840E+03,5.506060E+03,3.158652E-01,4.820281E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099313E+01,3.509152E+01,2.400182E+01,3.543039E+01
01:20:00,9.431448E+03,5.366486E+03,3.188601E-01,4.698094E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099310E+01,3.510987E+01,2.400179E+01,3.534652E+01
01:30:00,9.518648E+03,5.230637E+03,3.218079E-01,4.579178E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099305E+01,3.513245E+01,2.400177E+01,3.526952E+01
01:40:00,9.604552E+03,5.098308E+03,3.247120E-01,4.463344E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099301E+01,3.516490E+01,2.400175E+01,3.520019E+01
