building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,floor_area_m2
way/1054785374,2e6162aa24059905,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,90caef08a1136a4ffa8c78e5e10937659826829f3e5758c588f8df9499e06a02,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,448.9519
way/1054785381,96664f92acdf04e8,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,7864f27c5811514c6e13b8ee520e7c42b12c74c945dcdeec17bff00389a437f7,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,203.7356
way/1054785382,816e388cc0fdaa78,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,56d6191fda2bf3e4715838b4a8443149ecdd332039c63277db7041a39d4084bf,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,209.211
way/1057093131,acd9800057059025,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,e8fd3189fb262432ebdfd080b0b8caa7c3ef164ab98b72b9e9d012769a2a27fc,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,205.7248
way/1057093136,d0865da1e602d3c4,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,fec7d070b5671a11b455034f174a302040163336beadea63470c78e38d07ff63,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,506.3866
way/1057529442,460d1fcdef25a219,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,25183a2047a7b6cd705f67babf0c64593865de72dca86dd900a217d6d28974e3,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,243.1615
way/1057529443,022036db01ca1caa,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,5d8315630a24c016e2211ccad2ccbacded05d3a2f36f941d9a335eaf4528ec8f,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,213.9742
way/1057823423,854365cba7843f0e,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,d897c17405318b3499639caa2744423f84817bed0774a8568ad5aa9dadcb2f64,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,412.3368
way/1058252118,399d7dc617815dd5,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,70f4ff7175a3849b9627789d1b0885caddd87415991b0d91a9c2e47a48fbb97e,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,510.3218
way/1058252123,2e05b77ecc5bc3aa,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,b8e16d9a68709accecc91e7a2589aee47ad8e16536d4810a766375371051b2b3,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,498.2866
way/14325891,b9ac271856d7e364,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,039399c27a3872370630aeced6710159a6fa8689a2cfc535ebb50c0f30ae980a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,2557.0208
way/190348384,4f8921bb4d40e47e,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,5c8887a1e68f6e806829dfb4f8832252b389ee71b27c2c9bc9abd25d4d533740,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,5283.4328
way/190837474,e43dee894485492c,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,8694416a309eff2f5b4df0b0f2eace7c6827b63b905f5acf16cf8c5a9e406bdb,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,1323.0143
way/195649308,7bc66d8e08026be8,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,302627de836a7ecd158552f3c40a04cc70c53b7788850519cca49de0da55d821,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,2200.652
way/29093543,50fd9320aab0b118,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,6b673c27da21232683620eac25fa588ea4072ab39a8215bef8c63ff2c603931b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,2628.8959
way/298782430,6e806ec067d0fc74,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,87c91e6f7ff18e0016276059f92a5fd99bf7cc9d7f31817e9901a340a6fc1ccc,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,1872.5247
way/298782432,a01beac10d4f56ef,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,dfd779d4d75be121829d0d8f2469acd86e63ecf73513ddfed29843b9621cd3f7,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,861.3921
way/298850491,38af7df582b30cb7,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,L,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,47479a2304feeab89062b61e2ec79c64d3020cf3ab234b5dbceb33387f0b94f7,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,982.4341
way/298850492,c93c0fb81b79acb2,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,L,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,dad1f01aff621f78ca41f6cb0bef8a75ac463fd3a23a80ad21c226dab09b494b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,982.6565
way/298850494,aa5d5416d8568bfa,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,L,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,1e2d6f29922ef479e9343b48061ee49ea4b8a74e3c04d36fee26b8c7f1fc2bfe,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,1363.5903
way/328227197,238fcd55b6d90187,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,be0e00bba6038c3b1b2867dc2f98697f44f7c245cf920e3e4695719162ee4b3a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,504.297
way/328227198,0d5d6992925ccad5,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,4e5070b04fcce8e4dfd3fc91333e182de954062adfb1cd44b9086d73900ca991,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,215.8912
way/328227199,6aa541121fa9ffb1,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,65e376bee02ba123a3b67c926dc4840f57342ecd35fb24bb302a4eafbd2e73f4,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,611.284
