Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W]
00:10:00,3.975630E-01,1.906306E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.084284E+03,2.904702E-01,2.854893E+03,6.484608E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.150336E+04,2.371128E+00,2.330469E+04,5.293430E+04,3.497440E-01,1.574238E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.910771E+03,2.734581E-01,3.032458E+03,6.169744E+03,3.493076E-01,1.573166E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.910771E+03,2.234262E-01,2.195950E+03,4.987883E+03
00:20:00,4.138253E-01,1.946246E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.111429E+03,2.904702E-01,2.827748E+03,6.456673E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.172494E+04,2.371128E+00,2.308310E+04,5.270626E+04,3.563753E-01,1.590525E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.931650E+03,2.763447E-01,3.059836E+03,6.226082E+03,3.559338E-01,1.589441E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.931650E+03,2.234262E-01,2.175070E+03,4.966396E+03
00:30:00,4.290127E-01,1.983546E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.138574E+03,2.904702E-01,2.800603E+03,6.428737E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.194653E+04,2.371128E+00,2.286151E+04,5.247822E+04,3.627475E-01,1.606176E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.952530E+03,2.788886E-01,3.081485E+03,6.274506E+03,3.623016E-01,1.605081E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.952530E+03,2.234262E-01,2.154190E+03,4.944908E+03
00:40:00,4.432515E-01,2.018517E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.165719E+03,2.904702E-01,2.773458E+03,6.400802E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.216812E+04,2.371128E+00,2.263993E+04,5.225018E+04,3.688724E-01,1.621220E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.973409E+03,2.811369E-01,3.098192E+03,6.315928E+03,3.684226E-01,1.620115E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.973409E+03,2.234262E-01,2.133311E+03,4.923420E+03
00:50:00,4.567034E-01,2.051555E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.192864E+03,2.904702E-01,2.746313E+03,6.372870E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.238970E+04,2.371128E+00,2.241834E+04,5.202218E+04,3.747895E-01,1.635753E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.994289E+03,2.831439E-01,3.110863E+03,6.351502E+03,3.743362E-01,1.634639E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,3.994289E+03,2.234262E-01,2.112431E+03,4.901936E+03
01:00:00,4.694689E-01,2.082907E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.220009E+03,2.904702E-01,2.719168E+03,6.344935E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.261129E+04,2.371128E+00,2.219676E+04,5.179414E+04,3.805216E-01,1.649832E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.015169E+03,2.849472E-01,3.120131E+03,6.382020E+03,3.800651E-01,1.648710E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.015169E+03,2.234262E-01,2.091552E+03,4.880448E+03
01:10:00,4.819215E-01,2.113491E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.238106E+03,2.904702E-01,2.701072E+03,6.326308E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.275901E+04,2.371128E+00,2.204903E+04,5.164208E+04,3.861897E-01,1.663753E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.029088E+03,2.868002E-01,3.137187E+03,6.420758E+03,3.857306E-01,1.662626E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.029088E+03,2.234262E-01,2.077632E+03,4.866120E+03
01:20:00,4.937828E-01,2.142623E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.256202E+03,2.904702E-01,2.682975E+03,6.307685E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.290674E+04,2.371128E+00,2.190131E+04,5.149007E+04,3.916882E-01,1.677258E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.043008E+03,2.885102E-01,3.151854E+03,6.455818E+03,3.912267E-01,1.676125E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.043008E+03,2.234262E-01,2.063712E+03,4.851796E+03
01:30:00,5.051089E-01,2.170441E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.274299E+03,2.904702E-01,2.664878E+03,6.289064E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.305446E+04,2.371128E+00,2.175358E+04,5.133806E+04,3.970330E-01,1.690386E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.056928E+03,2.901030E-01,3.164562E+03,6.487778E+03,3.965695E-01,1.689248E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.056928E+03,2.234262E-01,2.049792E+03,4.837473E+03
01:40:00,5.159324E-01,2.197024E+04,2.904702E-01,0.000000E+00,0.000000E+00,2.904702E-01,5.292396E+03,2.904702E-01,2.646782E+03,6.270441E+03,2.371128E+00,1.341431E+05,2.371128E+00,0.000000E+00,0.000000E+00,2.371128E+00,4.320219E+04,2.371128E+00,2.160586E+04,5.118604E+04,4.022320E-01,1.703155E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.070847E+03,2.916072E-01,3.175786E+03,6.517305E+03,4.017668E-01,1.702013E+04,2.234262E-01,0.000000E+00,0.000000E+00,2.234262E-01,4.070847E+03,2.234262E-01,2.035873E+03,4.823149E+03
