Date/Time,BATIMENT0000000240877130_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1129169.9855555918,1074147.251104738,1257377.231494686 
 01/01  02:00:00,1277312.3902424043,1187781.039402847,1385083.3018913243 
 01/01  03:00:00,1350340.1597493894,1236247.769311635,1440065.416834828 
 01/01  04:00:00,1405373.6198948526,1273954.4246944236,1480727.8935773436 
 01/01  05:00:00,1440029.5372110407,1294701.6754847474,1502760.99819106 
 01/01  06:00:00,1487149.061269727,1327035.3784416148,1539693.7703793752 
 01/01  07:00:00,1517412.3175567575,1348412.9228645472,1561746.7563218959 
 01/01  08:00:00,1552215.389303041,1374729.0218287825,1589335.6082693334 
 01/01  09:00:00,1609046.4609215562,1419588.681947045,1640506.2327690688 
 01/01  10:00:00,1583772.2005941267,1413575.9275086029,1635542.1003701447 
 01/01  11:00:00,1049463.3697852269,1157970.2483888792,1390085.3533585602 
 01/01  12:00:00,209499.85177525616,859287.2827681102,1096685.8638474294 
 01/01  13:00:00,0.0,734117.8188224847,916891.1325568431 
 01/01  14:00:00,0.0,696222.1167171389,831591.360327829 
 01/01  15:00:00,0.0,510611.5778461674,721327.1241880953 
 01/01  16:00:00,0.0,473810.396913707,717472.31252187 
 01/01  17:00:00,121710.64014679896,637074.7519144693,813768.8363866811 
 01/01  18:00:00,542279.8786769994,818577.6698204225,986847.1537195008 
 01/01  19:00:00,672659.4277133916,879033.3355081694,1056511.4094552135 
 01/01  20:00:00,774124.0414901683,916761.7441312985,1098657.9765431767 
 01/01  21:00:00,833241.1230540257,922091.678002025,1104664.659021384 
 01/01  22:00:00,873063.1540147295,918746.9792835397,1098138.0111557734 
 01/01  23:00:00,946242.3564889976,956370.3647540961,1132872.1382239813 
 01/01  24:00:00,987786.8251398602,970095.3568433807,1142582.0917080636 
 01/02  01:00:00,988260.3761369021,946088.7401530643,1116314.4814248413 
 01/02  02:00:00,978257.0873412302,914904.5356173147,1082622.1389147984 
 01/02  03:00:00,997437.2684164081,913149.8762091729,1083173.0573896903 
 01/02  04:00:00,1032833.8493999689,926003.077471943,1103673.3822111548 
 01/02  05:00:00,1071158.9288467003,942336.6573123236,1129019.4279205957 
 01/02  06:00:00,1112847.7130205801,968019.705914302,1160992.744660585 
 01/02  07:00:00,1123150.9105143703,969831.8670519684,1163048.107955405 
 01/02  08:00:00,1141559.7031272522,978900.9789101639,1174517.1115565978 
 01/02  09:00:00,1177981.1100814184,1004385.1782761707,1205460.092989012 
 01/02  10:00:00,1172209.4188324152,1004752.3672061126,1196222.404379661 
 01/02  11:00:00,981941.3292547999,909665.5663278511,1066915.1999387036 
 01/02  12:00:00,559670.8187499372,750941.0882224578,887665.679248075 
 01/02  13:00:00,262563.3268404783,665732.982634191,761144.4655729063 
 01/02  14:00:00,640972.9365423103,746964.1453103233,822034.8480090628 
 01/02  15:00:00,911735.5792906748,872570.0385285417,992802.2060194206 
 01/02  16:00:00,1110840.28611096,1000737.9879807027,1166733.624414971 
 01/02  17:00:00,1260792.3825372576,1107357.2352598736,1310878.149558203 
 01/02  18:00:00,1628272.0605882157,1346487.991473061,1664983.855712512 
 01/02  19:00:00,1722807.2776103588,1408042.547154441,1753199.946407009 
 01/02  20:00:00,1750451.373570778,1426437.3960005334,1775993.919817253 
 01/02  21:00:00,1771575.8295886922,1440136.2791214215,1793006.8416764296 
 01/02  22:00:00,1810358.0301763848,1468547.706964514,1828333.8382411827 
 01/02  23:00:00,1863326.916026507,1508661.531259854,1878613.301257355 
 01/02  24:00:00,1961219.8525393205,1584097.0470949588,1974375.7593033537 
 01/03  01:00:00,2083725.1421127552,1679397.3530439762,2095255.2811543324 
 01/03  02:00:00,2150934.3004366104,1768755.2702625955,2160493.0471285055 
 01/03  03:00:00,2221985.449445511,1835694.359082914,2230238.805642128 
 01/03  04:00:00,2279628.0491589047,1884114.2577830488,2286888.701511873 
 01/03  05:00:00,2319164.4626627094,1918171.4668885346,2325647.31042958 
 01/03  06:00:00,2343133.5591926724,1940730.7774888426,2349002.797646551 
 01/03  07:00:00,2366271.0214473493,1962776.7035765292,2371713.6026936676 
 01/03  08:00:00,2386424.3973602615,1981551.7567344033,2391536.741939569 
 01/03  09:00:00,2403767.9861084074,1996768.858415672,2408574.1264250055 
 01/03  10:00:00,2386853.726340884,1987204.9600101928,2390763.5059363674 
 01/03  11:00:00,2280672.4051134386,1918555.4598070527,2281511.776852431 
 01/03  12:00:00,2068215.8236437782,1790728.7686874715,2078746.9147828498 
 01/03  13:00:00,1802758.022135719,1689503.159865519,1907755.4370654563 
 01/03  14:00:00,1557087.5561825442,1641550.8730895168,1835131.3201017505 
 01/03  15:00:00,1285507.7356054387,1588542.9326219228,1810019.7563583709 
 01/03  16:00:00,1071244.1413344634,1552179.1420593895,1847082.9970278665 
 01/03  17:00:00,1621033.7787836296,1715225.503414935,2028410.852526396 
 01/03  18:00:00,2328738.7349610305,2066902.9249809766,2422520.505473326 
 01/03  19:00:00,2576933.884748957,2256137.1104961964,2654413.776768254 
 01/03  20:00:00,2658041.2994804187,2315388.608022061,2723382.899898436 
 01/03  21:00:00,2769235.9492825177,2399238.907458294,2824373.1078214264 
 01/03  22:00:00,2902403.1687626312,2502248.509982887,2949504.0475388016 
 01/03  23:00:00,2976399.294828546,2565872.698917105,3017355.9388237204 
 01/03  24:00:00,3142558.478779297,2710533.11848433,3179232.882294951 
 01/04  01:00:00,3283695.96713088,2820075.068706645,3315174.9412302203 
 01/04  02:00:00,3345443.2377862176,2856576.061472757,3371691.449708974 
 01/04  03:00:00,3270672.2911261716,2759689.989377065,3291759.37736091 
 01/04  04:00:00,3202343.835198656,2678999.738383401,3223927.778591953 
 01/04  05:00:00,3234857.011813645,2702429.9674161063,3254407.0167398546 
 01/04  06:00:00,3274831.748614719,2730997.7805018593,3293942.9070376977 
 01/04  07:00:00,3314374.8042841526,2759779.0437914105,3333143.2050366215 
 01/04  08:00:00,3318855.4121307484,2762492.241923492,3336616.9222989674 
 01/04  09:00:00,3313004.1765223597,2756989.043030039,3330354.214324536 
 01/04  10:00:00,3266434.319510905,2728060.95337594,3284987.250740015 
 01/04  11:00:00,2988820.532068465,2541040.268138739,3016129.078576994 
 01/04  12:00:00,2507833.533499776,2268732.4173897123,2653486.8348914743 
 01/04  13:00:00,1798432.1457550297,1976596.2637704776,2279826.714491731 
 01/04  14:00:00,1429877.2388005825,1798989.844820916,2029261.406103078 
 01/04  15:00:00,1201917.1285245088,1632439.6426920616,1872084.6620513038 
 01/04  16:00:00,1069560.403698248,1522067.2454466056,1812630.046300381 
 01/04  17:00:00,1390013.124558934,1554250.879240733,1881933.900996226 
 01/04  18:00:00,1997893.2943803733,1773963.0435005245,2114280.37693597 
 01/04  19:00:00,2107982.746394356,1841712.5354552018,2204003.9679031763 
 01/04  20:00:00,2181902.2384050195,1885335.5999949414,2261796.7878411463 
 01/04  21:00:00,2189438.9421409294,1881540.3978119479,2255973.2336637923 
 01/04  22:00:00,2209858.2221342963,1890010.65680065,2265203.4191968907 
 01/04  23:00:00,2209227.1405719947,1883347.4406988584,2255810.6924210363 
 01/04  24:00:00,2187131.8003161913,1859313.770242146,2226636.2562189237 
 01/05  01:00:00,2236806.1132574435,1894426.0760528066,2270365.9307745025 
