building_id,eui_kwh_m2,geometry_outcome
way/14325891,88.3,geometry-limited massing box
way/29093543,77.48,geometry-limited massing box
way/51781396,124.43,dwelling layout (imputed)
way/51781397,79.39,dwelling layout (imputed)
way/51781407,76.58,geometry-limited massing box
way/190348384,45.31,dwelling layout (imputed)
way/190837474,47.47,geometry-limited massing box
way/195649308,88.82,geometry-limited massing box
way/298782430,95.6,geometry-limited massing box
way/298782432,83.48,geometry-limited massing box
way/298850491,36.8,dwelling layout (imputed)
way/298850492,23.33,dwelling layout (imputed)
way/298850494,53.53,dwelling layout (imputed)
way/328227197,62.08,geometry-limited massing box
way/328227198,64.88,geometry-limited massing box
way/328227199,101.55,dwelling layout (imputed)
way/381441241,45.87,geometry-limited massing box
way/381466697,47.57,geometry-limited massing box
way/384337387,72.93,geometry-limited massing box
way/387107361,42.89,geometry-limited massing box
way/388460383,71.51,geometry-limited massing box
way/388460386,85.7,dwelling layout (imputed)
way/388460387,69.28,dwelling layout (imputed)
way/388460388,153.28,dwelling layout (imputed)
way/393505346,138.77,dwelling layout (imputed)
way/393510994,145.53,dwelling layout (imputed)
way/393604893,100.98,geometry-limited massing box
way/394093228,107.91,dwelling layout (imputed)
way/394093232,45.24,dwelling layout (imputed)
way/394093233,79.46,dwelling layout (imputed)
way/394093240,60.35,dwelling layout (imputed)
way/394682356,60.38,geometry-limited massing box
way/394902414,103.56,dwelling layout (imputed)
way/395533898,78.2,dwelling layout (imputed)
way/395632068,154.12,dwelling layout (imputed)
way/395632424,68.28,geometry-limited massing box
way/395878238,71.55,dwelling layout (imputed)
way/396524027,56.42,dwelling layout (imputed)
way/396595549,62.98,geometry-limited massing box
way/396595551,63.86,dwelling layout (imputed)
way/396619819,63.71,geometry-limited massing box
way/396622952,99.46,geometry-limited massing box
way/396929140,80.04,geometry-limited massing box
way/397131470,72.41,geometry-limited massing box
way/398158944,211.8,dwelling layout (imputed)
way/398158947,134.05,dwelling layout (imputed)
way/398158948,149.55,dwelling layout (imputed)
way/398158951,112.73,geometry-limited massing box
way/398158956,140.45,dwelling layout (imputed)
way/398158958,84.62,geometry-limited massing box
way/398158959,167.15,dwelling layout (imputed)
way/398158963,63.93,dwelling layout (imputed)
way/398158965,60.0,dwelling layout (imputed)
way/398158967,64.63,dwelling layout (imputed)
way/398158969,191.15,dwelling layout (imputed)
way/409624877,87.23,geometry-limited massing box
way/409624878,87.88,geometry-limited massing box
way/419435179,222.35,dwelling layout (imputed)
way/419435181,62.46,geometry-limited massing box
way/419435184,178.49,dwelling layout (imputed)
way/419435188,126.12,dwelling layout (imputed)
way/442591154,94.06,geometry-limited massing box
way/554859553,76.67,dwelling layout (imputed)
way/554859554,51.58,dwelling layout (imputed)
way/554859555,46.09,dwelling layout (imputed)
way/554859556,59.67,dwelling layout (imputed)
way/554859561,61.3,geometry-limited massing box
way/656952078,25.54,dwelling layout (imputed)
way/701972626,71.76,geometry-limited massing box
way/952012484,62.0,geometry-limited massing box
way/952012485,112.13,geometry-limited massing box
way/952012486,67.54,geometry-limited massing box
way/1054785374,114.58,dwelling layout (imputed)
way/1054785381,74.01,geometry-limited massing box
way/1054785382,69.89,geometry-limited massing box
way/1057093131,68.21,geometry-limited massing box
way/1057093136,63.82,geometry-limited massing box
way/1057529442,67.71,geometry-limited massing box
way/1057529443,71.07,geometry-limited massing box
way/1057823423,48.1,geometry-limited massing box
way/1058252118,61.25,geometry-limited massing box
way/1058252123,62.73,geometry-limited massing box
