cell,region,n_success,cv_rmse_ne,cv_rmse_r6,cv_rmse_delta,cv_rmse_r6_pass,nmbe_ne,nmbe_r6,nmbe_delta,nmbe_r6_pass,r2_ne,r2_r6,r2_delta,r2_r6_pass,ks_d_ne,ks_d_r6,ks_d_delta,ks_d_r6_pass,plaus_generic_pct,plaus_archetype_pct,n_excluded_all_gates,gwp_r5_state_kgco2e,gwp_r6_subregion_kgco2e,gwp_delta_pct
nyc_centre,middle_atlantic,738,89.508,72.139,-17.369,False,-34.912,-39.419,-4.507,False,0.7811,0.7416,-0.0395,True,0.287,0.2983,0.0113,False,99.73,99.86,4,332809487,563458559,69.3
nyc_urban,middle_atlantic,1779,95.564,77.621,-17.943,False,-20.334,-25.85,-5.516,False,0.8645,0.5645,-0.3,False,0.3427,0.2161,-0.1266,False,100.0,100.0,31,40317055,62229412,54.35
nyc_suburban,middle_atlantic,1589,94.001,72.329,-21.672,False,65.955,54.464,-11.491,False,0.9957,0.9941,-0.0016,True,0.5608,0.4981,-0.0627,False,99.94,100.0,979,8464410,13552680,60.11
nyc_rural,middle_atlantic,198,56.639,39.449,-17.19,False,23.746,15.178,-8.568,False,0.8373,0.8844,0.0471,True,0.5661,0.521,-0.0451,False,98.48,100.0,22,2567219,4215981,64.22
la_centre,pacific,226,65.214,53.205,-12.009,False,-13.561,1.375,14.936,True,0.7744,0.7522,-0.0222,True,0.2647,0.3059,0.0412,False,99.12,99.56,26,119015264,129460032,8.78
la_urban,pacific,614,79.995,62.535,-17.46,False,-21.081,-7.445,13.636,True,0.8467,0.7988,-0.0479,True,0.2209,0.2212,0.0003,False,99.67,99.84,456,101280696,110190324,8.8
la_suburban,pacific,1343,87.613,59.66,-27.953,False,-26.95,-14.328,12.622,False,0.6874,0.3201,-0.3673,False,0.2633,0.2553,-0.008,False,99.93,99.93,1283,14052830,15184865,8.06
la_rural,pacific,149,79.996,67.811,-12.185,False,-11.52,3.768,15.288,True,0.9943,0.129,-0.8653,False,0.2305,0.2996,0.0691,False,100.0,100.0,10,4488260,4833940,7.7
austin_centre,west_south_central,413,47.578,35.809,-11.769,False,12.534,11.588,-0.946,False,0.9072,0.9147,0.0075,True,0.3929,0.3661,-0.0268,False,95.4,100.0,8,242610785,228867877,-5.66
austin_urban,west_south_central,417,80.134,73.99,-6.144,False,-19.071,-19.751,-0.68,False,0.8744,0.5878,-0.2866,False,0.3321,0.3001,-0.032,False,99.76,100.0,11,64368469,60803461,-5.54
austin_suburban,west_south_central,437,49.4,46.366,-3.034,False,-10.393,-11.146,-0.753,False,0.8999,0.9013,0.0014,True,0.3261,0.3034,-0.0227,False,98.63,100.0,2,17946122,16975614,-5.41
austin_rural,west_south_central,245,51.447,43.587,-7.86,False,4.583,3.704,-0.879,True,0.8446,0.6286,-0.216,True,0.5177,0.4818,-0.0359,False,97.14,100.0,18,10891760,10287322,-5.55
