building_id,stem,reason
way/1057778452,88fdc0936e6a1986,NET_NEW
way/1058042181,eb44439e9283c372,NET_NEW
way/1058042182,934d1225a7a54568,NET_NEW
way/1058042186,15e7262c27e01d70,NET_NEW
way/1058042187,eb4fa0885a0db238,NET_NEW
way/1058042188,1870f10e710b50c4,NET_NEW
way/1058042189,487d8f3199a2dac9,NET_NEW
way/1058042190,ab974992208005bd,NET_NEW
way/1058042191,8f3abe613d25ff99,NET_NEW
way/1058057716,df59350c0f1d10de,NET_NEW
way/1058057717,ff1cbad5ee3af904,NET_NEW
way/1058057718,bd5595f929ae34b3,NET_NEW
way/1058057719,0f25bc298d11c6bf,NET_NEW
way/1058057720,8e3b0996ae49333e,NET_NEW
way/1058057721,4f0e7ce337ec7c2e,NET_NEW
way/1058057722,bd90d2b2ee9c4e91,NET_NEW
way/1058147231,338e37185d820f4d,NET_NEW
way/1058147232,5df8474ed0806fa6,NET_NEW
way/1058147238,f87d5d3b99caa77e,NET_NEW
way/1058252099,eb78fb32ebb190df,NET_NEW
way/1058252103,f5368a886cdf2469,NET_NEW
way/1058252104,72fc83ce8a627a9e,NET_NEW
way/1058252105,e2563d23b6023cf7,NET_NEW
way/1058252106,93641f3abce22960,NET_NEW
way/1058252107,50d5f22eb48a5bf4,NET_NEW
way/1058252108,9911b0de945b8cff,NET_NEW
way/1058252109,b8ed242c208aadf7,NET_NEW
way/1058252119,1ada9159912f61f7,NET_NEW
way/1058252120,617df15a9bd2a435,NET_NEW
way/1058252121,1f98dd9a75f174ba,NET_NEW
way/1058252123,2e05b77ecc5bc3aa,NET_NEW
way/1058252125,f5af701829a35b54,NET_NEW
way/1058252126,9b0a4c22af805f19,NET_NEW
way/1058438117,87accfb4a5b59646,NET_NEW
way/1058438119,ad98c93964beb299,NET_NEW
way/1058438120,15e495c47c14bb36,NET_NEW
way/1058438125,c143c1d03e392e4f,NET_NEW
way/1060201727,e49db80f127a5e88,NET_NEW
way/1060201728,cc950b77d9ea0675,NET_NEW
way/1060201729,ee33e82037244b88,NET_NEW
way/1060201730,a557d1e187a54003,NET_NEW
way/1060201731,e0bd56780a240974,NET_NEW
way/1060522014,95b73c0b2d68d4cb,NET_NEW
way/1060522015,23812d0b1157b550,NET_NEW
way/1060522016,828efc648dea5384,NET_NEW
way/1060522017,38769a7c2b56c757,NET_NEW
way/1060522018,553c16eb8b7579d0,NET_NEW
way/1061147003,c58558137069193e,NET_NEW
way/1061203032,6b5d3a3583080b19,NET_NEW
way/1330242236,61290e82e4077029,NET_NEW
way/1430302432,11d0415e8328942d,NET_NEW
way/1430302433,b7afe5007af8b253,NET_NEW
way/1430302434,b90b1a781dbebfab,NET_NEW
way/1430302435,7d14549ffe330d08,NET_NEW
way/1430302438,508528568498b5ad,NET_NEW
way/1430302439,0316216a838ab533,NET_NEW
way/1430302465,37509c8d5567e476,NET_NEW
way/1430302466,d1bdf48c03f735f4,NET_NEW
way/1430302467,a8e568b9cf7040c5,NET_NEW
way/1430302468,40fb3a63d467a16e,NET_NEW
way/1430302469,f09885a92a896e81,NET_NEW
way/1430302477,514458183f007575,NET_NEW
way/1430302478,e908ea274febec87,NET_NEW
way/1430536816,46c08d5f0f061a81,NET_NEW
way/1430536817,8003792c786b1ab4,NET_NEW
way/1430536818,ed9f556a446f5dd8,NET_NEW
way/1430536819,83791d9ffd76f7bf,NET_NEW
way/1430536823,f637d88be5b92315,NET_NEW
way/1430536836,c9cf07a73571cabc,NET_NEW
way/1430536840,46932ccd0186eb29,NET_NEW
way/1430536876,7098ff919e4c1aa3,NET_NEW
way/1430536882,a744b0bef0957303,NET_NEW
way/1430536883,6a3f370b263bde15,NET_NEW
way/1430536884,5b61ff0e6a91b071,NET_NEW
way/1430536891,ad94b5b3eda748e3,NET_NEW
way/1430536892,df860349375020a0,NET_NEW
way/1430549425,6629ae7526d2fd46,NET_NEW
way/1430549436,4f0ea78f4974b136,NET_NEW
way/1430549460,608273be6d55c975,NET_NEW
way/1430549469,2928561879e16975,NET_NEW
way/1430549470,80d2ea597bab53e3,NET_NEW
way/1430549478,608543157199ae85,NET_NEW
way/1430549488,61749f905991c228,NET_NEW
way/1430549490,d7918fb2bc345902,NET_NEW
way/1432575674,5082b78a73962285,NET_NEW
way/1432575678,0b8991554fe7e45c,NET_NEW
way/1432575679,9c1e78f8ba08adfb,NET_NEW
way/1432575692,0f9ff56d1fdb5161,NET_NEW
way/1432575709,e3e3af77ed33fe9b,NET_NEW
way/1432575710,853eea84a3f6fadb,NET_NEW
way/1432575711,909f28d57b46acf5,NET_NEW
way/1432575712,47b3ab50eb36ee5f,NET_NEW
way/1432575725,4e49081f1d8e200e,NET_NEW
way/1432575726,e352b0d9bca8cb23,NET_NEW
way/1432575727,8bc06b597114c5db,NET_NEW
way/1432575739,af74826a0a5285eb,NET_NEW
way/1432575740,176c39567ab460b0,NET_NEW
way/1432575741,7f87b7f053b26c85,NET_NEW
way/14325891,b9ac271856d7e364,NET_NEW
way/1433131820,b94521193449a53b,NET_NEW
way/1433131824,37723e33ef304a88,NET_NEW
way/1433131825,2818472e14cb8c02,NET_NEW
way/1433576711,a4253072274ee8cb,NET_NEW
way/1433576712,23607acc3ee4027f,NET_NEW
way/1433576713,b57439d25739007d,NET_NEW
way/1433576714,d60ae59eb768779f,NET_NEW
way/1433576715,427d8ca41121a24c,NET_NEW
way/1433576716,5c77ac1b621644fe,NET_NEW
way/1433576717,b4ba937e13893557,NET_NEW
way/1433576718,6911397c6fafe497,NET_NEW
way/1433576721,af85ffb05a1e1698,NET_NEW
way/1433576723,f3c9607f5b71ea7c,NET_NEW
way/1433576724,7449d19b04e43243,NET_NEW
way/1433576725,b9155080b0c9340e,NET_NEW
way/1433576726,7d9b10a19bbd5875,NET_NEW
way/1433576728,40cafdd0bb0b097a,NET_NEW
way/1433576729,9ada561e5b64461a,NET_NEW
way/1433576730,0c33ee2bf5a359d5,NET_NEW
way/1433576731,2c7e97e96184f17a,NET_NEW
way/1433576732,206d8888956a0ce1,NET_NEW
way/1433576733,3587aa934160266a,NET_NEW
way/1452468886,05f18b6224f8fb08,NET_NEW
way/1452468887,c03d947df5470012,NET_NEW
way/1452468888,e2532d6b5a02079a,NET_NEW
way/1452468889,2f84cb5db99012ec,NET_NEW
way/1474894630,3d4e775dd861f5d5,NET_NEW
way/1475004676,9f90d9bf4d4a9aa4,NET_NEW
way/1475004677,4a0bbee2250b281e,NET_NEW
way/1475004679,6bc484163ed85dee,NET_NEW
way/1475004680,38fe86b93297e506,NET_NEW
way/1475004681,353ba4e594fd3b06,NET_NEW
way/1475004682,ae24c9f1d883a187,NET_NEW
way/1475004683,a3013ed2c1170bed,NET_NEW
way/1475004684,da1433267d02cae2,NET_NEW
way/154194221,ed60c0c88dea4672,NET_NEW
way/182927520,a68978b0f2d6264f,NET_NEW
way/182927523,315bcb8757c2a869,NET_NEW
way/182927525,4e95065c8baf53a0,NET_NEW
way/190348376,46ad1731605b6dea,NET_NEW
way/190348378,a4e32c3f6cd02c21,NET_NEW
way/190348379,5d7400b8c71c3979,NET_NEW
way/190348384,4f8921bb4d40e47e,NET_NEW
way/190701337,eabcdab74eda8bbf,NET_NEW
way/190701339,cdf82a94127c966f,NET_NEW
way/190701340,3e34f7b2fcfd1202,NET_NEW
way/190701341,3eb5f3d9f106266a,NET_NEW
way/190701342,c7cc32c8c447c1ad,NET_NEW
way/190837474,e43dee894485492c,NET_NEW
way/190837476,b7e3116082c4d1f8,NET_NEW
way/192335451,2ae6787071721a60,NET_NEW
way/192335452,0e82b35b4021d521,NET_NEW
way/192335453,a5bef4cd9c00b9dc,NET_NEW
way/192335456,6d64b803375e03a5,NET_NEW
way/192335458,538e2fdd31a2593e,NET_NEW
way/192335460,623f6df1c89ca14e,NET_NEW
way/192335461,a8de9a5a0e867596,NET_NEW
way/192335463,81af3d8d404dfd4f,NET_NEW
way/192335465,59a3e24412aef5fe,NET_NEW
way/192335466,59772724836cfada,NET_NEW
way/192335468,76c76410ff150cf9,NET_NEW
way/192335473,b2e8058dc58e0c1a,NET_NEW
way/192335475,e2786d1ddbf2ead4,NET_NEW
way/192335480,c8d9640df0302a8a,NET_NEW
way/192335481,b9b022822c2a935a,NET_NEW
way/192335484,b4e29aafef0968d3,NET_NEW
way/192335486,c0c307cdf221e242,NET_NEW
way/192335487,719cfa5ceb1e827f,NET_NEW
way/192335488,73674f4a7086fe6d,NET_NEW
way/192335489,529fecc5df9abe83,NET_NEW
way/192335490,92f378af0bd35a4b,NET_NEW
way/192335491,6674c31fc66a4fa8,NET_NEW
way/192335492,33567e5b209f26b5,NET_NEW
way/192335493,c74d1a621f3678b2,NET_NEW
way/192335494,1dd30b7900dedf5b,NET_NEW
way/192335498,3cb3855902af80b6,NET_NEW
way/204487525,bb85e0bcf77860c7,NET_NEW
way/261272596,95c2e774e71cd894,NET_NEW
way/261272597,7bbcb262b397c313,NET_NEW
way/261272598,385e0040f8ab9fa0,NET_NEW
way/261272599,ee4816471e11990f,NET_NEW
way/263494319,416acb7755045523,NET_NEW
way/263494320,db0579e630bc44ff,NET_NEW
way/288548491,5ed1017d1510f335,NET_NEW
way/288548503,7ee28e0a24aa1e6b,NET_NEW
way/288548506,41cfa99056bcb26d,NET_NEW
way/288548508,835382c231ff64c7,NET_NEW
way/288548520,5e28fd675f5418f1,NET_NEW
way/288548523,b9280afa1920f5d0,NET_NEW
way/29093390,2fdb085072a87fff,NET_NEW
