building_id,stage,blocker,detail
way/1055854775,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854776,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854777,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854778,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1055854779,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1055854780,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854781,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854782,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854783,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854785,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854786,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1055854787,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016622,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016624,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016625,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016626,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016628,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016629,base_mapping,PERIOD_STRADDLE_F_GB.04_GB.05,
way/1056016630,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016631,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016632,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016633,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016634,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016635,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016636,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016637,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056016638,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456196,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456197,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456199,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456202,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_A|L,
way/1056456203,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456204,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456205,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056456206,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056562079,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1056562080,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056562081,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056562082,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056562083,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056562084,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056562085,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1056562086,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056562087,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056562088,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056562089,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056562091,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056562092,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056576460,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
