building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,floor_area_m2
BATIMENT0000000013365727_part0,489894ba3d990787,FR.N.MFH.07.Gen.ReEx.001.001,MFH,FR.07,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,c63f1f884efb10b04288026a5a2d76bb3dd5b982a9549828adcd23bd7f67ef6d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,147.0909
BATIMENT0000000240877101_part0,15f931a2760e942c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,5f9adf8a4de60aedcfd77165033f441d66aceefb322d9ddce4cec1f79e1866a7,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,887.9243
BATIMENT0000000240877122_part0,b875712b4bd17d5c,FR.N.SFH.01.Gen.ReEx.001.001,SFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,7d37364f12032b991f5ada337b628322664c66c7fb47e3e2333a0b16434439f4,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,36.5352
BATIMENT0000000240877130_part0,5627115eb3ab450c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,ec5b4e86373c2e71812023ec6dfc3913b95f0a10da1a894d456c108874ece4e2,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,347.9591
BATIMENT0000000240877151_part0,f1b0644cda5b4bf0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,6bcd597ddb6a7ef51045836380b4ac361b0969c1f0af8100d8d80fb10c8fc0dc,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,1630.1701
BATIMENT0000000240877159_part0,7d9a087b87add75b,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,901022645c052b3ae05f52c33523bd63b1123dc2b2be8ca3cc444ab002909ba8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,296.6008
BATIMENT0000000240877169_part0,32da933d7dc2ce69,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,dc5d1ba23a00be013c79ab7f34969caa2ba3543fea40086533d677ddeeeb8648,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,267.664
BATIMENT0000000240877179_part0,ad5416ce6925106c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,fbc9861da83acfec8e82825f691431c230f1be67bf60455a18be2ebd68c1daf3,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,383.9186
BATIMENT0000000240877182_part0,627d94cf56761b9d,FR.N.SFH.01.Gen.ReEx.001.001,SFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,080cbc6e2e5fbdde22ce7497f5ee72da1454cd9077c16550aaec0c8c3851b87e,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,215.758
BATIMENT0000000240877183_part0,2ebe91c961e2ba6a,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,064760e5f1cb5c24b8805e51594d83dd482dc5ffc77ba14b54fac55ef3416782,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,528.5263
