osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/244066774,808.5515806023293,3.0,10.5,SmallOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback",3.3400061962081766,14.190234183632418,26.46510033500017,27.764777782018946,7.353091712583789,0.0,0.0,1.5105300456058788,1.5105300456058788,0.0,0.0,80.62374025504938,0.60454112151368,2.9446438759139304,5.491825900716555,5.761524567102316,1.5258547674616874,0.0,0.31345311082376714,0.0,0.0,16.64184334353194,0.0,success,,-121.48879523233059,-9.492459624557112e-06
way/376146181,477.08664617024374,2.0,7.0,SmallOffice,one_zone_per_floor,no_floors,4.395779072015557,15.24155792112785,26.465100598065217,27.764778058002882,8.023320545334524,0.0,0.0,1.9419718854371228,1.9419718854371228,0.0,0.0,83.83250807998317,0.7956360120348158,3.1628061673290824,5.49182595530571,5.761524624372294,1.6649352930034578,0.0,0.40298246989082825,0.0,0.0,17.279710521936188,5.141612325164216e-05,success,,-121.48874388438828,-5.885304863719062e-12
way/376149028,3194.259391814616,11.0,38.5,LargeOffice,perimeter_core,,8.406248598658289,23.977526725533387,26.46510017125228,44.06327538142623,33.60126088678318,9.275809613340812,2.318120565496412,0.0,2.318120565496412,0.0,0.0,148.1073419424906,1.5215309963571502,4.975624525868884,5.491825866736903,9.14365840095052,6.972664849138152,1.9248418044835784,0.41957982235485053,0.0,0.0,30.449726265890035,0.002374831906077005,success,,-121.4887438685807,2.0889457174011746e-09
way/376149029,412.6414242303697,2.0,7.0,QuickServiceRestaurant,one_zone_per_floor,"generic_tag,no_floors",5.813588363532648,64.27535757095727,93.5358800475278,562.9448758102994,43.59108521343781,0.0,80.14926410814962,0.0,80.14926410814962,475.43587511642755,0.0,1325.745926230332,1.0522594937994092,13.337908000264484,19.409817540422587,116.81781706914686,9.045673274810907,0.0,14.507016803575082,86.05389339607339,0.0,260.22438557809267,0.25366668669631176,success,,-121.48874388437898,9.436711113126888e-10
way/376149058,4453.350260858884,3.0,10.5,SuperMarket,perimeter_core,no_floors|narrow_perimeter_fallback,3.319704695219686,27.929934575139914,40.77943997665392,113.05854526138889,7.6372134459995955,0.0,0.0,2.6774614232908753,2.6774614232908753,0.0,115.94983156706374,311.35213094475665,0.6008665498347632,5.795796583556434,8.462223148435408,23.46100484428133,1.584813436606268,0.0,0.5556053748699361,0.0,24.06098144814453,64.52129138572866,0.0,success,,-121.48877138859137,6.9038247413394e-05
way/379694092,220.868514073017,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height,no_year|HOTDECK_NEIGHBOR_HIGH",17.709825309857962,18.234496930666893,26.465100598399992,44.063276092609165,9.460556863457462,0.0,17.48243592994938,0.0,17.48243592994938,0.0,0.0,133.41569172494087,3.205478381084291,3.783876927076548,5.491825955375179,9.143658548529514,1.963179075849785,0.0,3.1643209033208373,0.0,0.0,26.752339791236153,0.0,success,,-121.48874388438729,-1.7662626976980328e-12
way/388772955,3703.83970320101,4.0,14.0,LargeOffice,perimeter_core,narrow_perimeter_fallback,1.8521233001335908,18.379242612580214,26.465100260665242,44.06327553029504,26.885474713968136,6.1785718157606455,2.4401238618070287,0.0,2.4401238618070287,0.0,0.0,126.26391209520989,0.3352343173241799,3.8139133930217453,5.491825885291166,9.143658431842583,5.579058628844956,1.282127794632123,0.4416624189870722,0.0,0.0,26.087480869943825,0.0,success,,-121.48873386886802,-0.00010664245353616644
way/388772956,4985.339240116698,12.0,42.0,LargeOffice,perimeter_core,narrow_perimeter_fallback,1.9806751087663785,20.345474333798016,26.465101145345507,44.063277003250356,29.320161843832704,7.139754740266585,2.2808129775884254,0.0,2.2808129775884254,0.0,0.0,131.59525715284798,0.3585021946867145,4.221930069955094,5.491826068872937,9.143658737498487,6.084285424537412,1.4815847856621995,0.412827148943505,0.0,0.0,27.194614430156353,0.0,success,,-121.48874403518708,-6.377338124439631e-05
way/401903955,3059.3595702543735,18.0,63.0,LargeOffice,perimeter_core,no_floors,7.546074036759298,22.247549630538302,26.465099436102896,44.06327415743351,31.12153557949097,8.601567249167019,2.288314652449397,0.0,2.288314652449397,0.0,0.0,142.3334147419414,1.365839400653433,4.6166335189322645,5.491825714184584,9.143658146957343,6.458092091171331,1.7849284230091464,0.41418495209334083,0.0,0.0,29.27516224700144,0.002118571201675244,success,,-121.48868947197494,8.582094383059091e-05
way/401903957,2553.8756238239384,6.0,21.0,LargeOffice,perimeter_core,no_floors|narrow_perimeter_fallback,1.9054925206866282,19.54269087649634,26.465099918059945,44.06327495987167,29.018641129844024,6.5685869885745545,2.4298819002618313,0.0,2.4298819002618313,0.0,0.0,129.993668293795,0.3448941462442797,4.055342869163509,5.4918258141964555,9.14365831347289,6.021716258136193,1.3630606231730829,0.43980862394739145,0.0,0.0,26.860306648333804,0.0,success,,-121.48876381213672,3.792853169455752e-05
way/401904727,2039.0832201946773,9.0,31.5,RetailStandalone,perimeter_core,no_floors|narrow_perimeter_fallback,2.286777126479504,23.25999287003116,58.28211903130451,48.974689708922,10.395898565318042,0.0,0.0,2.6701024174196593,2.6701024174196593,0.0,0.0,145.86957971947487,0.41390665989279024,4.826727640445906,12.094239084424062,10.162835810877823,2.1572737030862776,0.0,0.5540782928435883,0.0,0.0,30.20906119157045,0.0,success,,-121.48879465204988,-5.7624661632803276e-05
way/401904729,3479.6225083709473,2.0,7.0,MediumOffice,perimeter_core,no_floors,11.248158825758848,18.23721316830811,26.4651007467884,44.063276339669606,39.97124422719978,0.0,3.5562123098093514,0.0,3.5562123098093514,0.0,0.0,143.5412056175341,2.0359167474623514,3.7844405789819526,5.491825986167555,9.143658599797519,8.294512832074682,0.0,0.6436744280754926,0.0,0.0,29.39402917255955,0.010141259134042168,success,,-121.48880678336195,-8.05622313984963e-05
way/401904731,668.1160592378347,3.0,10.5,SmallOffice,perimeter_core,"no_floors,no_year|HOTDECK_NEIGHBOR_MED|narrow_perimeter_fallback",4.965762134008879,15.883532792878022,26.46510070508255,27.764778170275743,8.862271583259266,0.0,0.0,1.5665522611295803,1.5665522611295803,0.0,0.0,85.50799764663405,0.8988029462556071,3.296023656915704,5.4918259775130895,5.76152464767026,1.8390277007852969,0.0,0.32507839281152145,0.0,0.0,17.612283321951477,0.0,success,,-121.48872139022504,5.992397695713762e-06
way/401904732,2348.502847930115,5.0,17.5,LargeOffice,perimeter_core,narrow_perimeter_fallback,2.418113384198204,19.89367096173496,26.465100587327477,44.06327607417389,29.94316471898354,6.797786419459411,2.5106742749276703,0.0,2.5106742749276703,0.0,0.0,132.09178642080516,0.4376785225398749,4.128175448611545,5.491825953077499,9.143658544703973,6.213565997165712,1.4106222554748613,0.4544320437619083,0.0,0.0,27.279958765335373,0.0,success,,-121.48874893869254,-0.00017930182326229515
way/401904735,1850.454098489866,3.0,10.5,MidriseApartment,one_zone_per_floor,"no_floors,no_year|HOTDECK_NEIGHBOR_HIGH",0.8490220814705592,5.039342848151422,3.9654911977271117,43.398026082513354,5.083235206135804,0.0,0.0,31.35010065794545,31.35010065794545,0.0,0.0,89.6852180739437,0.15367299674617121,1.0457241131055979,0.8228870094227484,9.00561118843451,1.0548323040956529,0.0,6.505522087731577,0.0,0.0,18.588249699536256,0.3194045586922948,success,,-121.488743882059,-1.9514613319255643e-11
way/401906095,313.3432488347066,2.0,7.0,OpenUBEMUnknown,one_zone_per_floor,no_floors,0.1913521693910897,62.42047603461336,38.80447690682176,342.12834015317986,96.97815011075336,0.01843251712524484,7.831293388114741,0.0,7.831293388114741,0.0,0.0,548.3725212799994,0.034634742659787235,12.952997822894687,8.052394611888397,70.99573612186666,20.12412988578265,0.0038249684936938074,1.417464103248768,0.0,0.0,113.58118225683464,0.18024421345631167,success,,-121.48874388439975,1.2775105886625059e-11
way/401907375,729.5753261586165,4.0,14.0,SmallOffice,perimeter_core,no_floors,8.425434710039672,17.48565511073726,26.465099739236166,27.7647771569975,10.81635757460495,0.0,0.0,1.4585253311068889,1.4585253311068889,0.0,0.0,92.41584962272243,1.5250036825171807,3.62848326333931,5.491825777088375,5.761524437402866,2.2445239930214225,0.0,0.3026615085086527,0.0,0.0,18.954022661877804,0.006627063049391665,success,,-121.48874407592535,4.3848879505106216e-08
way/401907376,957.463355993383,3.0,10.5,RetailStandalone,perimeter_core,no_floors,17.345968902862232,28.67591971305069,58.28211847599077,48.97468924228972,17.133536866909516,0.0,0.0,2.8528933792936124,2.8528933792936124,0.0,0.0,173.26512658039653,3.1396203714180637,5.950597451494574,12.094238969189798,10.162835714046025,3.5554145023261277,0.0,0.5920096109239761,0.0,0.0,35.49471661939857,0.02562513777487023,success,,-121.48874395464996,-1.9902778254650313e-08
way/401907377,889.336341775394,3.0,10.5,RetailStandalone,perimeter_core,no_floors|narrow_perimeter_fallback,6.627557419174911,24.02591760197212,58.2821206770633,48.97469109185947,12.269980010007117,0.0,0.0,2.8633173069771947,2.8633173069771947,0.0,0.0,153.0435841070541,1.199587892870659,4.985666213420439,12.09423942593876,10.162836097853942,2.5461680918365968,0.0,0.5941727010054516,0.0,0.0,31.582670422925847,0.0,success,,-121.48881128246767,-1.826946158013326e-05
way/401907378,851.7516065232096,3.0,10.5,RetailStandalone,perimeter_core,no_floors,17.226583769659396,27.323975319584893,58.28211999959893,48.97469052258354,15.83083604970681,0.0,0.0,2.8815539611718357,2.8815539611718357,0.0,0.0,170.51975962230543,3.1180116623083505,5.6700527665177,12.094239285356775,10.162835979722356,3.28508845034676,0.0,0.59795702559069,0.0,0.0,34.92818516984263,0.029895542832263828,success,,-121.488743884395,5.52421110777071e-11
way/401907379,198.16993669478302,3.0,10.5,SmallOffice,one_zone_per_floor,no_floors,6.282433258282576,17.602371490893606,26.465100598195214,27.76477805813926,9.92446750202196,0.0,0.0,2.3727536857356957,2.3727536857356957,0.0,0.0,90.41190459326832,1.1371204197491462,3.652703312818314,5.491825955332685,5.761524624400594,2.059446100279581,0.0,0.4923748628343857,0.0,0.0,18.594995275414703,3.832464358920705e-05,success,,-121.48874388438726,-2.8178431705024512e-12
