cell,osm_id,archetype_id,levels,footprint_area_m2,floor_area_m2,is_under_500m2,n_proto_geometric,has_baseline,category_geometric,category_registry_alt
nyc_urban,way/241862323,SmallOffice,3.0,74.33354812486348,223.00064437459045,True,2.0,True,taller,
nyc_urban,way/241862327,OpenUBEMUnknown,1.0,30.937946807796784,30.937946807796784,True,,False,no_baseline,
nyc_urban,way/241862328,SmallOffice,3.0,123.0281521171394,369.0844563514182,True,2.0,True,taller,
nyc_urban,way/241862330,MediumOffice,3.0,451.33205925581854,1353.9961777674557,False,3.0,True,equal,
nyc_urban,way/241862332,SmallOffice,3.0,49.7504262003567,149.2512786010701,True,2.0,True,taller,
nyc_urban,way/241862334,SmallOffice,2.0,73.21932627431356,146.43865254862712,True,2.0,True,equal,
nyc_urban,way/241862336,OpenUBEMUnknown,1.0,28.94988122513709,28.94988122513709,True,,False,no_baseline,
nyc_urban,way/241862338,SmallOffice,4.0,114.73297442254729,458.93189769018915,True,2.0,True,taller,
nyc_urban,way/241862339,SmallOffice,4.0,135.71891651399102,542.8756660559641,False,2.0,True,taller,
nyc_urban,way/241862341,SmallOffice,3.0,85.91370449849964,257.7411134954989,True,2.0,True,taller,
nyc_urban,way/241862345,OpenUBEMUnknown,2.0,59.73009399778387,119.46018799556774,True,,False,no_baseline,
nyc_urban,way/241862347,SmallOffice,2.0,71.86482669963144,143.72965339926287,True,2.0,True,equal,
nyc_urban,way/241862349,SmallOffice,2.0,73.75670807352363,147.51341614704725,True,2.0,True,equal,
nyc_urban,way/241862350,SmallOffice,3.0,87.66494474818364,262.99483424455093,True,2.0,True,taller,
nyc_urban,way/241862352,SmallOffice,2.0,168.14667263650733,336.29334527301467,True,2.0,True,equal,
nyc_urban,way/241862354,SmallOffice,3.0,53.00367416074543,159.01102248223629,True,2.0,True,taller,
nyc_urban,way/241862356,SmallOffice,3.0,56.68117959536126,170.0435387860838,True,2.0,True,taller,
nyc_urban,way/241862357,OpenUBEMUnknown,1.0,30.398823414421148,30.398823414421148,True,,False,no_baseline,
nyc_urban,way/241862359,MediumOffice,1.0,926.132774442035,926.132774442035,False,3.0,True,shorter,
nyc_urban,way/241862361,SmallOffice,3.0,115.63403378858892,346.9021013657668,True,2.0,True,taller,
nyc_urban,way/241862363,SmallOffice,3.0,84.01427584054653,252.0428275216396,True,2.0,True,taller,
nyc_urban,way/241862365,MediumOffice,2.0,368.8046834153504,737.6093668307008,False,3.0,True,shorter,
nyc_urban,way/241862367,SmallOffice,3.0,101.68109466922468,305.04328400767406,True,2.0,True,taller,
nyc_urban,way/241862369,OpenUBEMUnknown,1.0,21.54242968660425,21.54242968660425,True,,False,no_baseline,
nyc_urban,way/241862370,OpenUBEMUnknown,1.0,34.91685985430111,34.91685985430111,True,,False,no_baseline,
nyc_urban,way/241862373,SmallOffice,3.0,117.09714827683862,351.29144483051584,True,2.0,True,taller,
nyc_urban,way/241862376,SmallOffice,4.0,111.49737091084852,445.98948364339407,True,2.0,True,taller,
nyc_urban,way/241862377,SmallOffice,3.0,162.84140773296966,488.524223198909,True,2.0,True,taller,
nyc_urban,way/241862378,SmallOffice,3.0,75.1394264241639,225.4182792724917,True,2.0,True,taller,
nyc_urban,way/241862379,SmallOffice,3.0,61.593799279857365,184.7813978395721,True,2.0,True,taller,
nyc_urban,way/241862381,SmallOffice,3.0,109.18061828577687,327.54185485733063,True,2.0,True,taller,
