osm_id,archetype_id,variant,build_status,run_status,n_warnings,n_severe,error_summary,floor_area_m2,heating_eui,cooling_eui,lighting_eui,equipment_eui,fans_eui,pumps_eui,dhw_eui,cooking_eui,refrig_eui,total_eui
way/1014146287,MidriseApartment,before_B08b,success,success,49,0,,22.988889613669603,873.5389079190811,31.009405529091296,20.29086123246359,149.64309019365015,65.73112491633859,0.0,157.53606363894414,0.0,0.0,1297.749453429569
way/1014146287,MidriseApartment,after_B08b,success,success,49,0,,22.988889613669603,873.538909036989,31.00940570510664,20.29086123246359,149.64309019365015,65.73112476006357,0.0,157.5360636328561,0.0,0.0,1297.749454561129
way/1108091110,MidriseApartment,before_B08b,success,success,46,0,,79.15023007957053,431.0596880765799,27.97324343915163,20.290862545516458,149.64309019364498,48.291953477763954,0.0,157.40447064453312,0.0,0.0,834.6633083771899
way/1108091110,MidriseApartment,after_B08b,success,success,46,0,,79.15023007957053,431.0596879619198,27.97324380741267,20.290862545516436,149.64309019364498,48.29195402927996,0.0,157.4044706753386,0.0,0.0,834.6633092131124
way/1108091236,MidriseApartment,before_B08b,success,success,46,0,,85.81118429693917,411.24705003792536,27.676274339425927,20.29086254551457,149.64309019365152,47.131614913242295,0.0,157.39547335511799,0.0,0.0,813.3843653848777
way/1108091236,MidriseApartment,after_B08b,success,success,46,0,,85.81118429693917,411.2470497440104,27.67627435672293,20.29086254551457,149.64309019365152,47.131614643325655,0.0,157.39547335762344,0.0,0.0,813.3843648408484
way/1108092667,MidriseApartment,before_B08b,success,success,46,0,,93.13235756964445,390.78163898098103,27.569726683057695,20.290862545513946,149.64309019365496,46.03263351447591,0.0,157.38432385295084,0.0,0.0,791.7022757706345
way/1108092667,MidriseApartment,after_B08b,success,success,46,0,,93.13235756964445,390.78163872032087,27.569726915967422,20.290862545513946,149.64309019366348,46.03263469941646,0.0,157.38432384898596,0.0,0.0,791.7022769238682
way/1108092665,MidriseApartment,before_B08b,success,success,45,0,,100.37066269491308,373.37699498581827,27.3977462893191,20.290862545504513,149.6430901936343,45.058565885206356,0.0,157.37449174673168,0.0,0.0,773.1417516462144
way/1108092665,MidriseApartment,after_B08b,success,success,45,0,,100.37066269491308,373.3769952931693,27.397745812129248,20.290862545504513,149.6430901936343,45.05856581101035,0.0,157.37449174880467,0.0,0.0,773.1417514042524
way/1108091399,MidriseApartment,before_B08b,success,success,45,0,,107.5864710142631,357.8924322629928,27.22727157404833,20.290862545512443,149.64309019361508,44.18290966584694,0.0,157.36602082206957,0.0,0.0,756.6025870640851
way/1108091399,MidriseApartment,after_B08b,success,success,45,0,,107.5864710142631,357.892433267281,27.227271648894114,20.290862545512443,149.64309019361508,44.182910567495085,0.0,157.36602082529475,0.0,0.0,756.6025890480925
way/1108091564,MidriseApartment,before_B08b,success,success,45,0,,129.49407958814152,319.35503618554344,26.82644092950276,20.290862545509786,149.64309019362446,42.00892764695048,0.0,157.34052415243266,0.0,0.0,715.4648816535636
way/1108091564,MidriseApartment,after_B08b,success,success,45,0,,129.49407958814152,319.3550351916404,26.82644089341413,20.290862545507743,149.64309019362446,42.00892732378212,0.0,157.34052415499102,0.0,0.0,715.46488030296
way/845749027,MidriseApartment,before_B08b,success,success,47,0,,153.20775785577055,287.628971062167,26.597292156093378,20.290862545517616,149.64309019363097,40.20698649226041,0.0,157.3171042120046,0.0,0.0,681.684306661674
way/845749027,MidriseApartment,after_B08b,success,success,47,0,,153.20775785577055,287.62897166123093,26.59729245696093,20.290862545517616,149.64309019363097,40.20698715056811,0.0,157.31710421045474,0.0,0.0,681.6843082183633
way/1108091546,SmallOffice,before_B08b,success,success,153458,0,,29.633214834475353,74.50262201888191,10.03054765397284,9.626946794240313,24.863415804295304,21.713849655587225,1.211911266586126e-10,12.920522808947846,0.0,0.0,153.65790473604662
way/1108091546,SmallOffice,after_B08b,success,success,153458,0,,29.633214834475353,74.50262202074903,10.030547653879287,9.626946794240313,24.863415804295304,21.713849653333014,1.211911266586126e-10,12.920522808949533,0.0,0.0,153.6579047355677
way/815835740,SmallOffice,before_B08b,success,success,162624,0,,113.13544268474055,34.34111658196111,6.328159615591954,9.648913887914064,24.863415804289758,12.787083977412966,1.2119110970695863e-10,12.919819422976113,0.0,0.0,100.88850929026717
way/815835740,SmallOffice,after_B08b,success,success,162624,0,,113.13544268474055,34.34111658110314,6.328159614811046,9.648913887914064,24.863415804289758,12.78708398020218,1.2119110970695863e-10,12.91981942297234,0.0,0.0,100.88850929141371
