building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,floor_area_m2
relation/12582232,c0469f277749f93e,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,f0ba74575a6af068cb11c27cd2a58c444056690192a6a92097ec01ac8d119698,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1089.2873
relation/12582233,c6e90803c98dba87,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,9f7b4034eafce747f3e35ead9a632c4238d5d2f628aefbbd5ba8b8469c3e9a46,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1445.2801
relation/12582234,a776387b1281ccea,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,b3561f645c019d3b0531354f5b398527c5aa609a459129035148d61201f7f341,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1696.2899
relation/12586384,f37e1223ce23033c,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,4d0e47e834e7690785745c685926e0eacdd17f40d00fbb50506ba78605d9e249,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,2208.1458
relation/12628570,19f9bca61b89709d,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,d1e4a94dfa0e618dbf3a1c29bb97f615a7060a66ae4523bac8a7a1d25955540d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1732.358
relation/12628571,185b31a856fe0fac,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,ad88927c5b34928156e5487cd799f785fdb30bb72accac82b40271ad8cfdbba5,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1785.3522
relation/12638102,c618dfeb21e06f07,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,becbbd5bc1a08518acd6ca9d273442edc63930fd14e4f3f1758d4cf1ff83bb2c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1467.115
relation/12638103,81c43893177d0d80,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,a6f93103c4c853af794a4147909b7022f62f7c1ea558dd715a15e9033a55fcc5,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1959.6288
relation/12700585,446f5434568f28e3,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,b0ebcb994ad813a7d233048196c53a5dba2180006912a311015feacb2dcb7fbe,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,2740.6687
relation/12700645,c71e82e57d99bed1,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,470cca583468e1f9dafdf65c169ffa0a27c38edd1d06218d15c681a9c66acc76,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1954.8622
