Time,BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Latent Heat Load [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Latent Cool Load [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Latent Heat Mass Flow [kg/s],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Latent Cool Mass Flow [kg/s],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Heat Load No DOAS [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Sens Cool Load No DOAS [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Latent Heat Load No DOAS [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0::Des Latent Cool Load No DOAS [W],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BATIMENT0000000240877538_PART0_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,4.622535E+03,0.000000E+00,1.510799E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999462E+01,4.555043E+01,2.835252E+01,4.712923E+01
00:20:00,4.684350E+03,0.000000E+00,1.530999E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.555968E+01,2.817426E+01,4.801542E+01
00:30:00,4.751535E+03,0.000000E+00,1.552955E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,4.557371E+01,2.799705E+01,4.890580E+01
00:40:00,4.824208E+03,0.000000E+00,1.576704E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999453E+01,4.559192E+01,2.782031E+01,4.979660E+01
00:50:00,4.902391E+03,0.000000E+00,1.602253E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999450E+01,4.561297E+01,2.764354E+01,5.068749E+01
01:00:00,4.986110E+03,0.000000E+00,1.629612E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999448E+01,4.563564E+01,2.746647E+01,5.157848E+01
01:10:00,5.022847E+03,0.000000E+00,1.641618E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999446E+01,4.565910E+01,2.728903E+01,5.246901E+01
01:20:00,5.056676E+03,0.000000E+00,1.652673E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999445E+01,4.568121E+01,2.712123E+01,5.332739E+01
01:30:00,5.087636E+03,0.000000E+00,1.662790E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999444E+01,4.570078E+01,2.696446E+01,5.414757E+01
01:40:00,5.115666E+03,0.000000E+00,1.671950E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999444E+01,4.571791E+01,2.681424E+01,5.494232E+01
01:50:00,5.140759E+03,0.000000E+00,1.680151E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999443E+01,4.573316E+01,2.666673E+01,5.572346E+01
02:00:00,5.162902E+03,0.000000E+00,1.687387E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999442E+01,4.574705E+01,2.652023E+01,5.649632E+01
02:10:00,5.184953E+03,0.000000E+00,1.694594E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999441E+01,4.575994E+01,2.637437E+01,5.726207E+01
