osm_id,archetype_id,variant,build_status,run_status,n_warnings,n_severe,error_summary,floor_area_m2,heating_eui,cooling_eui,lighting_eui,equipment_eui,fans_eui,pumps_eui,dhw_eui,cooking_eui,refrig_eui,total_eui
way/1014146287,MidriseApartment,before_B05,success,success,50,0,,22.988889613669603,873.5389091940993,31.00940585786264,20.29086123246359,149.64309019365015,65.73112505889856,0.0,157.5360636322411,0.0,0.0,1297.7494551692153
way/1014146287,MidriseApartment,after_B05,success,success,49,0,,22.988889613669603,873.5389079190811,31.009405529091296,20.29086123246359,149.64309019365015,65.73112491633859,0.0,157.53606363894414,0.0,0.0,1297.749453429569
way/1108091110,MidriseApartment,before_B05,success,success,47,0,,79.15023007957053,431.0596888427216,27.973243439897654,20.290862545516458,149.64309019364498,48.291953291920635,0.0,157.4044706674911,0.0,0.0,834.6633089811925
way/1108091110,MidriseApartment,after_B05,success,success,46,0,,79.15023007957053,431.0596880765799,27.97324343915163,20.290862545516458,149.64309019364498,48.291953477763954,0.0,157.40447064453312,0.0,0.0,834.6633083771899
way/1108091236,MidriseApartment,before_B05,success,success,47,0,,85.81118429693917,411.2470482468997,27.67627453549544,20.29086254551457,149.64309019365152,47.1316158166613,0.0,157.39547335497426,0.0,0.0,813.3843646931967
way/1108091236,MidriseApartment,after_B05,success,success,46,0,,85.81118429693917,411.24705003792536,27.676274339425927,20.29086254551457,149.64309019365152,47.131614913242295,0.0,157.39547335511799,0.0,0.0,813.3843653848777
way/1108092667,MidriseApartment,before_B05,success,success,47,0,,93.13235756964445,390.7816388093783,27.569726727955675,20.29086254551296,149.64309019365496,46.032634779966294,0.0,157.3843238525942,0.0,0.0,791.7022769090624
way/1108092667,MidriseApartment,after_B05,success,success,46,0,,93.13235756964445,390.78163898098103,27.569726683057695,20.290862545513946,149.64309019365496,46.03263351447591,0.0,157.38432385295084,0.0,0.0,791.7022757706345
way/1108092665,MidriseApartment,before_B05,success,success,46,0,,100.37066269491308,373.37699489957026,27.397745858083773,20.290862545504513,149.6430901936343,45.058565592555745,0.0,157.37449174943512,0.0,0.0,773.1417508387837
way/1108092665,MidriseApartment,after_B05,success,success,45,0,,100.37066269491308,373.37699498581827,27.3977462893191,20.290862545504513,149.6430901936343,45.058565885206356,0.0,157.37449174673168,0.0,0.0,773.1417516462144
way/1108091399,MidriseApartment,before_B05,success,success,46,0,,107.5864710142631,357.8924319454922,27.227271949446166,20.290862545512443,149.64309019361508,44.18291025010736,0.0,157.3660208320385,0.0,0.0,756.6025877162117
way/1108091399,MidriseApartment,after_B05,success,success,45,0,,107.5864710142631,357.8924322629928,27.22727157404833,20.290862545512443,149.64309019361508,44.18290966584694,0.0,157.36602082206957,0.0,0.0,756.6025870640851
way/1108091564,MidriseApartment,before_B05,success,success,46,0,,129.49407958814152,319.35503447667435,26.82644062738644,20.290862545507743,149.64309019362446,42.00892664618694,0.0,157.34052415454968,0.0,0.0,715.4648786439296
way/1108091564,MidriseApartment,after_B05,success,success,45,0,,129.49407958814152,319.35503618554344,26.82644092950276,20.290862545509786,149.64309019362446,42.00892764695048,0.0,157.34052415243266,0.0,0.0,715.4648816535636
way/845749027,MidriseApartment,before_B05,success,success,48,0,,153.20775785577055,287.62897187015164,26.597292035167627,20.290862545517616,149.64309019363097,40.206986514550394,0.0,157.3171042104739,0.0,0.0,681.6843073694921
way/845749027,MidriseApartment,after_B05,success,success,47,0,,153.20775785577055,287.628971062167,26.597292156093378,20.290862545517616,149.64309019363097,40.20698649226041,0.0,157.3171042120046,0.0,0.0,681.684306661674
way/1108091546,SmallOffice,before_B05,success,success,153458,0,,29.633214834475353,74.50262201888191,10.03054765397284,9.626946794240313,24.863415804295304,21.713849655587225,1.211911266586126e-10,12.920522808947846,0.0,0.0,153.65790473604662
way/1108091546,SmallOffice,after_B05,success,success,153458,0,,29.633214834475353,74.50262201888191,10.03054765397284,9.626946794240313,24.863415804295304,21.713849655587225,1.211911266586126e-10,12.920522808947846,0.0,0.0,153.65790473604662
way/815835740,SmallOffice,before_B05,success,success,162624,0,,113.13544268474055,34.34111658196111,6.328159615591954,9.648913887914064,24.863415804289758,12.787083977412966,1.2119110970695863e-10,12.919819422976113,0.0,0.0,100.88850929026717
way/815835740,SmallOffice,after_B05,success,success,162624,0,,113.13544268474055,34.34111658196111,6.328159615591954,9.648913887914064,24.863415804289758,12.787083977412966,1.2119110970695863e-10,12.919819422976113,0.0,0.0,100.88850929026717
