cell,osm_id,archetype,after_bbox_x,after_bbox_y,pre_bbox_x,pre_bbox_y,bbox_differs,byte_identical
nyc_suburban,way/610017064,MidriseApartment,16.56530083673373,6.048514263055031,38.88683060970385,12.020502540586172,True,False
nyc_suburban,way/813293017,MidriseApartment,14.99770389357008,5.476135133759584,38.49493138237229,11.762674111347287,True,False
nyc_suburban,way/813293018,MidriseApartment,15.122702683911845,5.521776138031008,38.52618107928319,11.783233121691831,True,False
nyc_suburban,way/605951159,SmallOffice,17.800869253457723,12.113710250049637,17.800869253457723,12.113710250049637,False,True
nyc_suburban,way/610017055,SmallOffice,12.90784104803615,8.783944444596425,12.90784104803615,8.783944444596425,False,True
nyc_suburban,way/610017056,SmallOffice,14.664802715954865,9.979578462923284,14.664802715954865,9.979578462923284,False,True
nyc_suburban,way/610130144,MediumOffice,87.74373502878126,58.495471751731316,87.74373502878126,58.495471751731316,False,True
nyc_suburban,way/610017115,QuickServiceRestaurant,11.568537456390585,11.568537456390585,11.568537456390585,11.568537456390585,False,True
la_suburban,way/442340493,MidriseApartment,21.02343668268638,7.676320393269469,40.001364547134216,12.753748524197112,True,False
la_suburban,way/442340494,MidriseApartment,29.49505675535701,10.769576310910566,42.11926951958578,14.147107005770298,True,False
la_suburban,way/442340495,MidriseApartment,25.04353021000871,9.14418344498684,41.006387907270835,13.414948078115046,True,False
la_suburban,way/285843827,SmallOffice,40.18404900347048,27.34573913174787,40.18404900347048,27.34573913174787,False,True
la_suburban,way/286205457,SmallOffice,47.71922015798302,32.473515697884636,47.71922015798302,32.473515697884636,False,True
la_suburban,way/286205459,SmallOffice,47.6451010479937,32.423076712434074,47.6451010479937,32.423076712434074,False,True
la_suburban,way/286205460,MediumOffice,49.180330122166694,32.78668967600229,49.180330122166694,32.78668967600229,False,True
la_suburban,way/286205462,MediumOffice,49.3642446760771,32.909298641639204,49.3642446760771,32.909298641639204,False,True
la_suburban,way/442634133,MediumOffice,39.63161925500097,26.42092069417666,39.63161925500097,26.42092069417666,False,True
la_suburban,way/442763862,RetailStandalone,36.34569171561836,28.309054520346194,45.96840632526382,39.95803836390876,True,False
la_suburban,way/442763908,RetailStandalone,41.255582538599754,32.13328678656001,48.24240864395992,40.59133918868986,True,False
la_suburban,way/1016738377,RetailStandalone,19.726873882995864,15.364933831476602,38.27144693291139,37.81446503005291,True,False
