osm_id,cell,archetype,planar_k,local_centroid_x,local_centroid_y,predicted_offset,measured_offset
way/605951159,nyc_suburban,SmallOffice,0.6161602405239809,8.530738526728863,5.687159025024818,10.252671729229283,10.252567888540659
way/610017055,nyc_suburban,SmallOffice,0.44679269809747846,6.1858449051595885,4.123896603439726,7.434460329206858,7.434300243376155
way/610017056,nyc_suburban,SmallOffice,0.5076082596358961,7.0278363579774314,4.685224231461642,8.446408110764292,8.44634605985218
way/610017057,nyc_suburban,SmallOffice,0.5185176089848068,7.178876298991951,4.785917527033814,8.627935528954643,8.62819560779073
way/610017058,nyc_suburban,SmallOffice,0.8014397301550431,11.095933061137814,7.397288713619183,13.335651870451962,13.33549551399855
way/610017059,nyc_suburban,SmallOffice,0.6262009879539183,8.669752678764409,5.779835118001048,10.419745942306887,10.419564580839827
way/610017060,nyc_suburban,SmallOffice,0.5051193313709894,6.993377142919709,4.662251428421691,8.404993292378759,8.404901685612238
way/610017061,nyc_suburban,SmallOffice,0.8954985381297372,12.398177258689302,8.265451509512836,14.90075461156208,14.90070128227897
way/610017062,nyc_suburban,SmallOffice,1.1532525863511307,15.966782061647855,10.644521366596255,19.189683804796886,19.189952147005226
way/610017063,nyc_suburban,SmallOffice,0.624727926992839,8.649358152503224,5.766238761212848,10.395234768950024,10.39547727675313
way/610017064,nyc_suburban,MidriseApartment,0.35757072344673807,8.282650377287553,3.024257131527516,8.81750693053182,8.817792059579684
way/610017065,nyc_suburban,SmallOffice,0.8535634991321127,11.817586645523178,7.878391096930779,14.202971534177133,14.202971465451586
way/610017066,nyc_suburban,SmallOffice,0.40261906907596234,5.574261008246342,3.716174012236665,6.6994279664221095,6.699415972896716
way/610017067,nyc_suburban,SmallOffice,0.8956653535047528,12.400486818365023,8.266991214211286,14.903530355868414,14.903180616287367
way/610017069,nyc_suburban,SmallOffice,0.8989279855845559,12.445657961067274,8.297105305971801,14.9578193110581,14.957583904337804
way/610017070,nyc_suburban,SmallOffice,0.5408160369934312,7.487598030508312,4.991732023947983,8.998972878355605,8.99866024503553
way/610017071,nyc_suburban,SmallOffice,0.6919603583927898,9.580191160819796,6.386794109658018,11.513956821050359,11.513765520685409
way/610017072,nyc_suburban,SmallOffice,0.923058338555246,12.779742697062247,8.519828465217618,15.359339194114057,15.359360945058969
way/610017073,nyc_suburban,SmallOffice,0.4173571764178812,5.778310107066487,3.8522067389956605,6.94466445938105,6.944267130325704
way/610017074,nyc_suburban,SmallOffice,0.6657281329176529,9.217006001764556,6.144670664550456,11.077462580047417,11.077513651082086
way/610017075,nyc_suburban,SmallOffice,0.6687997507819533,9.259532553293269,6.173021694141736,11.128573131441527,11.128550894284883
way/610017076,nyc_suburban,SmallOffice,0.47368803782490004,6.558210881982559,4.372140591678599,7.881988538811646,7.88198886666106
way/610017077,nyc_suburban,SmallOffice,0.46284199196523734,6.408047379120499,4.272031585296456,7.70151446657238,7.701753515449596
way/610017078,nyc_suburban,SmallOffice,0.3429461223030714,4.748089065283629,3.1653927058609392,5.706492859382513,5.7065497094568505
way/610017079,nyc_suburban,SmallOffice,0.6564299908936669,9.088273224332857,6.058848815333485,10.922745038093378,10.922901083872494
way/610017080,nyc_suburban,SmallOffice,0.7035123745682784,9.740128825897814,6.493419217265209,11.706177970466477,11.70655814017606
way/610017081,nyc_suburban,SmallOffice,0.9076294117492453,12.566129205668298,8.377419470445533,15.102607728380875,15.10261063738711
way/610017082,nyc_suburban,SmallOffice,0.5326746155714536,7.374880054887492,4.916586698273438,8.863502726666058,8.863222313956829
way/610017083,nyc_suburban,SmallOffice,0.5925181532673455,8.203413832589742,5.46894255375258,9.859276401692496,9.85963446244699
way/610017084,nyc_suburban,SmallOffice,0.5403238272173486,7.480783388099582,4.98718892480304,8.990782695146445,8.99047036712415
way/610017085,nyc_suburban,SmallOffice,0.4449213438812017,6.1599360055602865,4.106624004735916,7.403321707778966,7.403520367466065
way/610017086,nyc_suburban,SmallOffice,0.6482695106317936,8.975291374218452,5.983527583849549,10.786957754566789,10.787222460203921
way/610017087,nyc_suburban,SmallOffice,0.8457049615852056,11.708785194876913,7.805856792836831,14.07220846242855,14.072256257965767
way/610017088,nyc_suburban,SmallOffice,0.8529762454465851,11.809456114660664,7.872970750792938,14.193199856513585,14.193391702442389
way/610017090,nyc_suburban,SmallOffice,0.7680039091948518,10.633014119386825,7.088676086992327,12.779292544165989,12.779000325516515
way/610017091,nyc_suburban,SmallOffice,0.6116383013624663,8.468132283802932,5.645421519416184,10.177428383824314,10.177270241132078
