osm_id,archetype_id,after_B05,before_B05,delta_eui,delta_pct
way/1014146287,MidriseApartment,1297.749453429569,1297.7494551692153,-1.7396462226315634e-06,-1.3405100774284113e-07
way/1108091110,MidriseApartment,834.6633083771899,834.6633089811925,-6.040025937181781e-07,-7.236481910956843e-08
way/1108091236,MidriseApartment,813.3843653848777,813.3843646931967,6.916809525137069e-07,8.503740452087549e-08
way/1108091399,MidriseApartment,756.6025870640851,756.6025877162117,-6.521265731862513e-07,-8.619142780818145e-08
way/1108091546,SmallOffice,153.65790473604662,153.65790473604662,0.0,0.0
way/1108091564,MidriseApartment,715.4648816535636,715.4648786439296,3.0096339287410956e-06,4.2065432120797655e-07
way/1108092665,MidriseApartment,773.1417516462144,773.1417508387837,8.074307515926193e-07,1.0443502122562072e-07
way/1108092667,MidriseApartment,791.7022757706345,791.7022769090624,-1.1384279332560254e-06,-1.4379495505566028e-07
way/815835740,SmallOffice,100.88850929026717,100.88850929026717,0.0,0.0
way/845749027,MidriseApartment,681.684306661674,681.6843073694921,-7.078181170072639e-07,-1.0383371149302496e-07
