archetype_id,idf_class,object_name,field,s1_measured_value,unit,source_run
HighriseApartment,BOILER:HOTWATER,Central Boiler,Nominal_Capacity,441215.66021,W,b06_s1ref/b06_s1ref_ApartmentHighRise.eio
Hospital,BOILER:HOTWATER,HeatSys1 Boiler,Nominal_Capacity,1797047.83526,W,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,CHILLER:ELECTRIC:EIR,Heat Recovery Chiller,Reference_Capacity,182015.03827,W,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,CHILLER:ELECTRIC:REFORMULATEDEIR,CoolSys1 Chiller1,Reference_Capacity,849070.49546,W,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,CHILLER:ELECTRIC:REFORMULATEDEIR,CoolSys1 Chiller2,Reference_Capacity,849070.49546,W,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,HUMIDIFIER:STEAM:ELECTRIC,VAV_ER Humidifier,Rated_Capacity,4.78029e-05,m3/s,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,HUMIDIFIER:STEAM:ELECTRIC,VAV_OR Humidifier,Rated_Capacity,9.4186e-05,m3/s,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,HUMIDIFIER:STEAM:ELECTRIC,VAV_ICU Humidifier,Rated_Capacity,5.33921e-05,m3/s,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,HUMIDIFIER:STEAM:ELECTRIC,VAV_PATRMS Humidifier,Rated_Capacity,0.000115707,m3/s,b06_s1ref/b06_s1ref_Hospital.eio
Hospital,HUMIDIFIER:STEAM:ELECTRIC,VAV_LABS Humidifier,Rated_Capacity,1.82696e-05,m3/s,b06_s1ref/b06_s1ref_Hospital.eio
LargeHotel,BOILER:HOTWATER,HeatSys1 Boiler,Nominal_Capacity,479971.8465,W,b06_s1ref/b06_s1ref_HotelLarge.eio
LargeHotel,CHILLER:ELECTRIC:EIR,CoolSys1 Chiller1,Reference_Capacity,796861.11592,W,b06_s1ref/b06_s1ref_HotelLarge.eio
LargeOffice,BOILER:HOTWATER,HeatSys1 Boiler,Nominal_Capacity,2658869.69789,W,b06_s1ref/b06_s1ref_OfficeLarge.eio
LargeOffice,BOILER:HOTWATER,Central Boiler,Nominal_Capacity,569924.83659,W,b06_s1ref/b06_s1ref_OfficeLarge.eio
LargeOffice,CHILLER:ELECTRIC:REFORMULATEDEIR,CoolSys1 Chiller1,Reference_Capacity,1195339.9923,W,b06_s1ref/b06_s1ref_OfficeLarge.eio
LargeOffice,CHILLER:ELECTRIC:REFORMULATEDEIR,CoolSys1 Chiller2,Reference_Capacity,1195339.9923,W,b06_s1ref/b06_s1ref_OfficeLarge.eio
LargeOffice,HUMIDIFIER:STEAM:ELECTRIC,DataCenter_basement_ZN_6 Humidifier,Rated_Capacity,0.000186408,m3/s,b06_s1ref/b06_s1ref_OfficeLarge.eio
LargeOfficeDetailed,(same as LargeOffice - shares baseline file),,,,,
Outpatient,BOILER:HOTWATER,HeatSys1 Boiler,Nominal_Capacity,142453.93499,W,b06_s1ref/b06_s1ref_OutPatientHealthCare.eio
Outpatient,HUMIDIFIER:STEAM:ELECTRIC,AHU-1 Humidifier,Rated_Capacity,4.36368e-05,m3/s,b06_s1ref/b06_s1ref_OutPatientHealthCare.eio
PrimarySchool,BOILER:HOTWATER,HeatSys1 Boiler,Nominal_Capacity,264869.13019,W,b06_s1ref/b06_s1ref_SchoolPrimary.eio
SecondarySchool,BOILER:HOTWATER,HeatSys1 Boiler,Nominal_Capacity,609350.19759,W,b06_s1ref/b06_s1ref_SchoolSecondary.eio
SecondarySchool,CHILLER:ELECTRIC:EIR,CoolSys1 Chiller1,Reference_Capacity,910251.18154,W,b06_s1ref/b06_s1ref_SchoolSecondary.eio
