model,num_floors,multiplier,planar_k,conditioned_area_m2,fatal_count,severe_count,severe_lines,heating_eui,cooling_eui,lighting_eui,equipment_eui,fans_eui,pumps_eui,total_eui,acceptance_test
Model (i) Today,3,1,1.0974,0.0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A (unmatched control)
Model (ii) Storey-Matched,6,4,0.776,0.0,0,87227,** Severe  ** Transformer Overloaded; *************  ** Severe  ** Transformer Overloaded: Entered in ElectricLoadCenter:Transformer =TRANSFORMER 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID
