primary_archetype,idf_filename,total_zone_count,num_modelled_storeys,floor_band_convention,zones_by_band,has_multiplier_gt_1,avg_storey_plate_area_m2,recomputed_floor_area_m2,registry_baseline_area_m2,area_diff_pct,disagreements
HighriseApartment,ASHRAE901_ApartmentHighRise_STD2022_Buffalo.idf,27,3,G/M/T,Z=0.0m:9z(783.6m2); Z=12.19m:9z(783.6m2); Z=27.43m:9z(783.6m2),False,783.65,2350.94,7835.0,-69.99,None
MidriseApartment,ASHRAE901_ApartmentMidRise_STD2022_Buffalo.idf,27,3,G/M/T,Z=0.0m:9z(783.7m2); Z=3.05m:9z(783.7m2); Z=9.14m:9z(783.7m2),False,783.65,2350.96,3135.0,-25.01,None
LargeDataCenterHighITE,ASHRAE901_DataCenterLargeHighITE_STD2019.idf,1,1,single-storey,Z=0.0m:1z(557.4m2),False,557.42,557.42,557.4,0.0,None
LargeDataCenterLowITE,ASHRAE901_DataCenterLargeLowITE_STD2019.idf,1,1,single-storey,Z=0.0m:1z(557.4m2),False,557.42,557.42,557.4,0.0,None
Hospital,ASHRAE901_Hospital_STD2022_Buffalo.idf,55,6,F1/F2/...,Z=-2.44m:1z(3739.3m2); Z=0.0m:9z(3739.3m2); Z=4.27m:11z(3739.4m2); Z=8.54m:13z(3739.4m2); Z=12.8m:13z(3739.4m2); Z=17.07m:8z(3739.4m2),True,3739.36,22436.18,22422.0,0.06,None
LargeHotel,ASHRAE901_HotelLarge_STD2022_Buffalo.idf,22,4,F1/F2/...,Z=-2.44m:1z(1978.8m2); Z=0.0m:7z(1978.8m2); Z=7.01m:7z(5910.1m2); Z=16.15m:7z(1477.6m2),True,2836.32,11345.29,11345.0,0.0,None
SmallHotel,ASHRAE901_HotelSmall_STD2022_Buffalo.idf,67,4,F1/F2/...,Z=0.0m:19z(1003.4m2); Z=3.35m:16z(1003.4m2); Z=6.1m:16z(1003.4m2); Z=8.84m:16z(1003.4m2),False,1003.4,4013.58,4013.0,0.01,None
LargeOffice,ASHRAE901_OfficeLarge_STD2022_Buffalo.idf,23,4,F1/F2/...,Z=-2.44m:2z(3563.1m2); Z=0.0m:6z(3563.1m2); Z=16.77m:6z(35631.1m2); Z=33.54m:6z(3563.1m2),True,11580.09,46320.38,46320.0,0.0,None
MediumOffice,ASHRAE901_OfficeMedium_STD2022_Buffalo.idf,18,3,F1/F2/...,Z=0.0m:5z(1660.7m2); Z=3.96m:5z(1660.7m2); Z=7.92m:5z(1660.7m2),False,1660.73,4982.19,4982.0,0.0,None
SmallOffice,ASHRAE901_OfficeSmall_STD2022_Buffalo.idf,6,2,other,Z=0.0m:5z(511.2m2); Z=3.05m:1z(568.0m2),False,539.57,1079.13,511.0,111.18,None
