building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
way/289387276,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,240.9534,241.0101,0.023531521032700273
way/289387277,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,5.0,16.0,16.0,1702.6484,1702.6577,0.0005462078958838035
way/289387278,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,5.0,15.0,15.0,1496.2623,1495.3834,-0.05873970092009655
way/289387279,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,3.0,15.0,15.0,833.1201,833.4899,0.04438735783712994
way/289387281,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,3.0,11.0,11.0,623.4118,623.3437,-0.010923758581399731
way/289434329,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,8.0,8.0,8.0,478.405,478.405,0.0
way/289434331,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,4.0,4.0,319.0098,319.2682,0.08100064637512536
way/289434333,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,2.0,2.0,2.0,188.4001,188.4639,0.0338641009213829
way/289434335,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,4.0,4.0,4.0,296.4578,296.4578,0.0
way/289434336,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,2.0,2.0,2.0,181.4178,181.4178,0.0
way/289434337,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,3.0,3.0,0.0,984.8409,984.8409,0.0
way/289434338,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,7.0,7.0,7.0,221.1806,221.1806,0.0
way/289434339,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,3.0,5.0,5.0,565.4467,565.6889,0.04283339172375138
way/289510893,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,Y,3.0,3.0,0.0,595.3356,595.3356,0.0
way/289510894,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,167.0237,167.0237,0.0
