building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
relation/12891868,18,2,collinear,179.959095,4.39283929,Y,N
relation/12931517,22,2,collinear,179.907616,5.19976894,Y,N
relation/12931518,106,24,proximity,,0.00447214,N,N
relation/12993356,112,8,collinear,179.952636,7.67190622,Y,N
relation/13005466,22,2,collinear,179.981179,7.51438993,Y,N
relation/5662801,383,70,collinear,179.991794,1.2995403,Y,N
relation/5662802,224,44,collinear,179.978854,3.5321887,Y,N
relation/5662803,36,8,collinear,179.945655,8.98676855,Y,N
relation/5808693,63,14,collinear,179.937575,8.56617447,Y,N
relation/5808694,94,0,,,,,
relation/5808695,112,8,collinear,179.958333,0.22537524,Y,N
relation/5808697,80,0,,,,,
relation/5808698,90,0,,,,,
way/287696588,8,0,,,,,
way/287696589,9,2,collinear,179.994673,3.08594264,Y,N
way/287696590,65,0,,,,,
way/287696591,24,0,,,,,
way/287696594,16,0,,,,,
way/287696595,8,0,,,,,
way/287696596,10,0,,,,,
way/287938551,36,0,,,,,
way/287496598,60,0,,,,,
way/287696580,39,0,,,,,
way/287696581,49,0,,,,,
way/287696583,28,0,,,,,
way/287696584,32,0,,,,,
way/287696585,9,2,collinear,180.0,4.90740033,Y,N
way/287696586,10,2,collinear,179.972761,2.87543562,Y,N
way/287696587,33,0,,,,,
way/287939452,12,0,,,,,
way/287939453,7,0,,,,,
way/287939454,21,2,collinear,179.919387,0.83419482,Y,N
way/287939455,55,0,,,,,
way/287943062,73,2,collinear,179.995996,2.88578256,Y,N
way/287943064,30,0,,,,,
way/287943067,54,2,collinear,179.981168,5.18247209,Y,N
way/287943069,8,0,,,,,
way/287225519,52,0,,,,,
way/287225521,24,0,,,,,
way/287225523,22,0,,,,,
way/287225524,26,0,,,,,
way/287356953,84,0,,,,,
way/287496586,92,0,,,,,
way/287496588,27,0,,,,,
way/287496591,44,0,,,,,
way/286376568,56,0,,,,,
way/286376569,9,2,collinear,179.916384,3.03947512,Y,N
way/286376571,24,0,,,,,
way/286376572,14,2,collinear,179.963703,5.39188288,Y,N
way/286376573,14,0,,,,,
way/286376574,24,0,,,,,
way/286376575,8,2,collinear,179.975442,7.78387166,Y,N
way/286417117,213,0,,,,,
way/287938553,24,0,,,,,
way/287938556,21,0,,,,,
way/287939446,33,0,,,,,
way/287939447,68,0,,,,,
way/287939448,63,0,,,,,
way/287939449,10,2,collinear,179.965555,2.16106131,Y,N
way/287939450,12,2,collinear,179.915123,6.45550447,Y,N
way/287939451,7,0,,,,,
way/288276172,24,0,,,,,
way/288276173,56,0,,,,,
way/288276174,36,0,,,,,
way/288276175,31,0,,,,,
way/288276176,34,0,,,,,
way/288276177,46,2,collinear,179.916355,5.48043766,Y,N
way/288276178,21,0,,,,,
