building_id,district,population,surface_name,vertex_index,defect_kind,interior_angle_deg,edge1_m,edge2_m,perp_dist_to_chord_m,abs_area_change_m2,ring_area_m2,relative_area_change,admitted_1e6
relation/3730743,ES-MAD-BERRUGUETE,173_undivided,Block b56bda9013da5b2d_whole Storey 0 Floor 0001,2,collinear,179.9930905708117,11.437908243641306,11.43822036032171,0.0006896718386364605,0.007888510823249817,2424.2571389973164,3.2539909633977773e-06,False
relation/3730743,ES-MAD-BERRUGUETE,173_undivided,Block b56bda9013da5b2d_whole Storey 0 Floor 0001,6,collinear,179.99657444690678,22.849655161579495,19.96901159285416,0.000637104681438955,0.013639986515045166,2424.2571389973164,5.6264602857627244e-06,False
relation/3730743,ES-MAD-BERRUGUETE,173_undivided,Block b56bda9013da5b2d_whole Storey 0 Floor 0001,7,collinear,179.97985791060253,19.96901159285416,20.348655876866456,0.003543062533202174,0.07142400741577148,2424.2571389973164,2.94622242281249e-05,False
relation/3730743,ES-MAD-BERRUGUETE,173_undivided,Block b56bda9013da5b2d_whole Storey 0 Floor 0001,8,collinear,179.9934752593561,20.348655876866456,20.672622765704297,0.0011677845315952171,0.023952007293701172,2424.2571389973164,9.880143037799955e-06,False
relation/13160791,ES-MAD-BERRUGUETE,173_undivided,Block 117eaf493c1eb230_whole Storey 0 Floor 0001,9,collinear,179.93955045640462,12.478282133316803,8.312185813216244,0.005263517808200477,0.05471549183130264,597.5707935020328,9.156319623762957e-05,False
relation/13160791,ES-MAD-BERRUGUETE,173_undivided,Block 117eaf493c1eb230_whole Storey 0 Floor 0001,11,collinear,179.90560130453727,6.895259386266142,4.563393912446543,0.004524268216458389,0.02592100203037262,597.5707935020328,4.337729071138823e-05,False
relation/13113581,ES-MAD-BERRUGUETE,173_undivided,Block 97669cf3c31f9c97_whole Storey 0 Floor 0001,4,collinear,179.91838931209148,8.304352653618162,0.8171780715719403,0.0010596905993641497,0.0048329997807741165,325.0129560055211,1.4870175762137976e-05,False
relation/13113581,ES-MAD-BERRUGUETE,173_undivided,Block 97669cf3c31f9c97_whole Storey 0 Floor 0001,5,collinear,179.98968605795864,0.8171780715719403,25.87321305873991,0.00014259822650467574,0.001903001219034195,325.0129560055211,5.855154952659388e-06,False
relation/13113581,ES-MAD-BERRUGUETE,173_undivided,Block 97669cf3c31f9c97_whole Storey 0 Floor 0001,7,collinear,179.97807863584478,7.6418335496262895,1.8312009721769458,0.0005651818607579119,0.0026769936084747314,325.0129560055211,8.236575062654599e-06,False
relation/12707194,ES-MAD-BERRUGUETE,173_undivided,Block ef9158b002b048ed_whole Storey 0 Floor 0001,1,collinear,179.964157469844,7.812760396146017,7.798577433890325,0.002441494098275991,0.019057493656873703,297.55136550962925,6.404774390543663e-05,False
relation/12707195,ES-MAD-BERRUGUETE,173_undivided,Block 4a3cf6b3b80ba8ee_whole Storey 0 Floor 0001,1,collinear,179.91187464137548,5.826394596634373,3.9397669981817134,0.003615136707229145,0.017652999609708786,145.6155204884708,0.00012123020644016085,False
relation/13307655,ES-MAD-BERRUGUETE,173_undivided,Block c77aa0929b820add_whole Storey 0 Floor 0001,0,collinear,179.92283935140443,3.1221082619143683,7.669758927136208,0.002988175801035034,0.016123995184898376,229.0280789937824,7.040182695387367e-05,False
relation/13307655,ES-MAD-BERRUGUETE,173_undivided,Block c77aa0929b820add_whole Storey 0 Floor 0001,17,collinear,179.9845178535179,1.988095822118038,9.716843366231444,0.00044596523897885465,0.0026099979877471924,229.0280789937824,1.1395973800304406e-05,False
relation/12877779,ES-MAD-BERRUGUETE,173_undivided,Block d342db5179c1ac49_whole Storey 0 Floor 0001,1,collinear,179.99971911366055,14.439271450271338,13.053214814437839,3.360886296038488e-05,0.00046199560165405273,1475.3247705101967,3.131484069736628e-07,True
relation/12877779,ES-MAD-BERRUGUETE,173_undivided,Block d342db5179c1ac49_whole Storey 0 Floor 0001,3,collinear,179.9769582375889,26.623551866787494,29.398368151837502,0.005618549719601997,0.15738096833229065,1475.3247705101967,0.00010667547341312868,False
relation/12882209,ES-MAD-BERRUGUETE,173_undivided,Block 5c52d86539f5f682_whole Storey 0 Floor 0001,1,collinear,179.9953265022497,5.989641892513785,10.866571722159929,0.0003149580763932265,0.0026545003056526184,512.0874035432935,5.1836860022045016e-06,False
relation/4169236,ES-MAD-BERRUGUETE,173_undivided,Block 5ebd49cba0ddc651_whole Storey 0 Floor 0001,13,collinear,179.90564872261695,9.332201990804629,9.8577488811841,0.007894290796845223,0.07574550062417984,507.7586159724742,0.00014917619955913468,False
