building_id,district,stem,geometry_outcome,has_whole_zone,census_k,census_drawn_per_floor,census_status,census_spread,census_verdict,storeys,area_m2,recoverable
relation/12707195,ES-MAD-BERRUGUETE,4a3cf6b3b80ba8ee,FALLBACK_PENDING_LAYOUT,Y,3,3,direct,0.9856,FAIL,2,142,Y
relation/12713025,ES-MAD-BERRUGUETE,77bd02d23440ce54,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.9999,PASS,3,444,N
relation/12713026,ES-MAD-BERRUGUETE,452f921168d22895,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.3942,PASS,3,501,N
relation/13303818,ES-MAD-BERRUGUETE,10f7ce2d005e825f,DWELLING_LAYOUT_EMITTED,N,2,,GENERIC_NO_CENSUS,,GENERIC,3,164,N
relation/13306447,ES-MAD-BERRUGUETE,6bbac3cd74491459,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.5037,PASS,4,348,N
relation/13306448,ES-MAD-BERRUGUETE,1713fe07d5da67fa,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.9999,PASS,4,352,N
relation/13307655,ES-MAD-BERRUGUETE,c77aa0929b820add,FALLBACK_PENDING_LAYOUT,Y,2,2,direct,0.0928,PASS,4,225,Y
relation/13307656,ES-MAD-BERRUGUETE,5a27616175fd74e9,DWELLING_LAYOUT_EMITTED,N,2,,GENERIC_NO_CENSUS,,GENERIC,3,159,N
relation/13340529,ES-MAD-BERRUGUETE,2569190f181f9d28,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,1,1,direct,1.0,PASS,3,272,N
relation/13340530,ES-MAD-BERRUGUETE,9bf7e39352e8a8cd,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,276,N
relation/13380999,ES-MAD-BERRUGUETE,aecc715c1206ccb2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,2,,GENERIC_NO_CENSUS,,GENERIC,3,120,N
relation/12720242,ES-MAD-BERRUGUETE,0ca1486e737f8809,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,100,N
relation/12725306,ES-MAD-BERRUGUETE,cf6d326094b66d37,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.9587,PASS,3,307,N
