building_id,building_type,archetype_id,year_built,observed_dwellings,observed_storeys,units_per_floor,footprint_area_m2,is_convex,has_courtyard,shape_class,zone_source,zone_count,layout_status,layout_reason,eplus_status,eplus_first_severe,runtime_s,notes
BATIMENT0000000240877122_part0,SFH,FR.N.SFH.01.Gen.ReEx.001.001,1800,1,1,1,36.535,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,1,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.606,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240877182_part0,SFH,FR.N.SFH.01.Gen.ReEx.001.001,1860,1,2,1,107.879,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,2,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.68,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240879451_part0,SFH,FR.N.SFH.01.Gen.ReEx.001.001,1805,1,1,1,69.111,True,False,simple,FALLBACK_ONE_ZONE_PER_FLOOR,1,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,EPLUS_COMPLETED,,0.485,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240879618_part0,TH,FR.N.TH.01.Gen.ReEx.001.001,1900,1,2,1,57.676,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,2,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.49,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240879754_part0,TH,FR.N.TH.01.Gen.ReEx.001.001,1880,1,4,1,155.926,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,4,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.542,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240880050_part0,TH,FR.N.TH.01.Gen.ReEx.001.001,1720,1,4,1,76.84,True,False,simple,FALLBACK_ONE_ZONE_PER_FLOOR,4,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,EPLUS_COMPLETED,,0.522,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240877101_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1860,10,4,3,221.981,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,4,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.64,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240877183_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1890,5,4,2,132.132,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,4,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.736,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000013365727_part0,MFH,FR.N.MFH.07.Gen.ReEx.001.001,1998,2,3,1,49.03,True,False,simple,FALLBACK_ONE_ZONE_PER_FLOOR,3,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,EPLUS_COMPLETED,,0.54,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240877151_part0,AB,FR.N.AB.01.Gen.ReEx.001.001,1900,17,6,3,271.695,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,6,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,0.715,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240877527_part0,AB,FR.N.AB.01.Gen.ReEx.001.001,1860,15,5,3,276.073,False,False,irregular,FALLBACK_ONE_ZONE_PER_FLOOR,5,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT,EPLUS_COMPLETED,,1.404,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon"
BATIMENT0000000240879449_part0,AB,FR.N.AB.07.Gen.ReEx.001.001,1999,28,6,5,544.206,True,False,simple,EUROPEAN_DWELLING_LAYOUT,5,DWELLING_LAYOUT_EMITTED,NONE,EPLUS_COMPLETED,,0.634,"floor_to_floor_m=3.0 pinned geometry-smoke constant, not a physical claim about Lyon; CRS_NATIVE_32631_REQUIRED_SEE_DEBUGREF_CH5; party_wall_audit: passed=True party_face_count=8 reciprocal_pair_count=4"
