neighbourhood_id,building_id,building_type,archetype_id,year_built,observed_dwellings,observed_storeys,units_per_floor,allocated_dwellings,footprint_area_m2,is_convex,has_courtyard,layout_status,layout_reason
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000013365727_part0,MFH,FR.N.MFH.07.Gen.ReEx.001.001,1998.0,2,3,1,2,49.03,True,False,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877101_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1860.0,10,4,3,10,221.981,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877122_part0,SFH,FR.N.SFH.01.Gen.ReEx.001.001,1800.0,1,1,1,1,36.535,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877130_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1900.0,11,4,3,11,86.99,True,False,DWELLING_LAYOUT_EMITTED,
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877151_part0,AB,FR.N.AB.01.Gen.ReEx.001.001,1900.0,17,6,3,17,271.695,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877159_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1850.0,6,3,2,6,98.867,True,False,FALLBACK_PENDING_LAYOUT,PARTITION_AUDIT_FAILED
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877169_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1850.0,5,4,2,5,66.916,True,False,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877179_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1900.0,3,3,1,3,127.973,True,False,FALLBACK_PENDING_LAYOUT,PARTITION_AUDIT_FAILED
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877182_part0,SFH,FR.N.SFH.01.Gen.ReEx.001.001,1860.0,1,2,1,1,107.879,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877183_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1890.0,5,4,2,5,132.132,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877518_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1910.0,4,3,2,4,2543.716,False,True,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT;COURTYARD_HOLE
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877519_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1880.0,3,4,1,3,219.201,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877522_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1900.0,5,3,2,5,159.616,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877523_part0,MFH,FR.N.MFH.01.Gen.ReEx.001.001,1882.0,2,2,1,2,158.472,False,False,REFUSED_BY_LAYOUT_CONTRACT,NON_CONVEX_FOOTPRINT
