building_id,building_type,year_built,native_layout_status,native_layout_reason,centroid_translated_layout_status,centroid_translated_layout_reason,status_changed_under_translation,exterior_vertex_count,exceeds_energyplus_idd_vertex_budget_approx_120,geometry_simplified_for_energyplus,geometry_original_vertex_count,geometry_simplified_vertex_count,geometry_simplification_delta_area_m2,geometry_simplification_hausdorff_m
BATIMENT0000000240877518_part0,MFH,1910.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,False,45,False,False,45,45,0.0,0.0
BATIMENT0000000240877519_part0,MFH,1880.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240877522_part0,MFH,1900.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,14,False,False,14,14,0.0,0.0
BATIMENT0000000240877523_part0,MFH,1882.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,15,False,False,15,15,0.0,0.0
BATIMENT0000000240877524_part0,MFH,1906.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240877527_part0,AB,1860.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,173,True,True,173,119,0.014600802877168917,0.017042320498220666
BATIMENT0000000240877538_part0,MFH,1914.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240878030_part0,MFH,1720.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,54,False,False,54,54,0.0,0.0
BATIMENT0000000240878034_part0,MFH,1880.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879409_part0,AB,1830.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879419_part0,AB,2002.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879449_part0,AB,1999.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879451_part0,SFH,1805.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879459_part0,AB,1999.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,10,False,False,10,10,0.0,0.0
BATIMENT0000000240879467_part0,AB,1810.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879470_part0,MFH,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879486_part0,MFH,1900.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240879492_part0,AB,1800.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879510_part0,MFH,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879511_part0,MFH,1780.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,11,False,False,11,11,0.0,0.0
BATIMENT0000000240879534_part0,AB,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879546_part0,AB,1990.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879558_part0,AB,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879564_part0,AB,1870.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879572_part0,AB,1984.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240879577_part0,MFH,1990.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240879604_part0,MFH,1870.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879614_part0,MFH,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879618_part0,TH,1900.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879627_part0,MFH,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879632_part0,MFH,1870.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879635_part0,MFH,1810.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,10,False,False,10,10,0.0,0.0
BATIMENT0000000240879644_part0,AB,1992.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879650_part0,MFH,1670.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879660_part0,MFH,1850.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879669_part0,AB,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879681_part0,MFH,1950.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879754_part0,TH,1880.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,18,False,False,18,18,0.0,0.0
BATIMENT0000000240879755_part0,MFH,1875.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879756_part0,MFH,1880.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879758_part0,MFH,1850.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879759_part0,MFH,1840.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879761_part0,MFH,1880.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879768_part0,MFH,1860.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240879789_part0,AB,1981.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879897_part0,MFH,1820.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879902_part0,MFH,1870.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,25,False,False,25,25,0.0,0.0
BATIMENT0000000240879934_part0,SFH,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,40,False,False,40,40,0.0,0.0
BATIMENT0000000240879957_part0,AB,1820.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879959_part0,MFH,1850.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879966_part0,TH,1850.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879968_part0,SFH,1805.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240879972_part0,AB,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879975_part0,AB,1850.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879977_part0,AB,1820.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240879979_part0,AB,1800.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240879981_part0,MFH,1900.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879983_part0,AB,1860.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,10,False,False,10,10,0.0,0.0
BATIMENT0000000240879984_part0,MFH,1890.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240879985_part0,MFH,1910.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,12,False,False,12,12,0.0,0.0
BATIMENT0000000240879986_part0,AB,1830.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,23,False,False,23,23,0.0,0.0
BATIMENT0000000240879992_part0,AB,1810.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,False,29,False,False,29,29,0.0,0.0
BATIMENT0000000240879995_part0,AB,1985.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,38,False,False,38,38,0.0,0.0
