building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds
BATIMENT0000000240879934_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,59e8338a77e65d76909d61e93ab7201920898be53d56574e9463f87212a86de8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,32167.866582,282.9548,113.685545,8.242
BATIMENT0000000240879966_part0,FR.N.TH.01.Gen.ReEx.001.001,TH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,3a77341c2ea026b811c0a24387eded780cacb045c9770331e7e9cabd86b3e316,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,18237.815738,102.7235,177.542765,2.042
BATIMENT0000000240879968_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,93597464021cb862f5a4a072dd5420224b4e875553abd3bc51214e1348d2b1c6,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,19677.119064,159.5214,123.350941,1.404
BATIMENT0000000240880001_part0,FR.N.MFH.06.Gen.ReEx.001.001,MFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,855392f21fe1d47d0b87ee96db0e4d0f016b992ecdf8aacf3c7a874ddaf59581,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,40490.818622,794.7939,50.945057,5.917
BATIMENT0000000240880024_part0,FR.N.TH.08.Gen.ReEx.001.001,TH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,2c4dc4c19c7ead15b4b15f42a3caf02c848e5d3b167a1f984c39dcbb6196f012,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,6614.358781,193.431,34.194921,2.142
BATIMENT0000000240880049_part0,FR.N.TH.01.Gen.ReEx.001.001,TH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,a283c4ffc52b7d6ba34fe696b8a51c73888134b73ee58d5405f72583b039b84e,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,32965.846341,235.9692,139.704027,3.045
BATIMENT0000000240880071_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,4410eca67b900fd0e9a910db96a4c8e0c518875366c1304180ade18fa1b77517,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,8687.494777,55.3993,156.816024,1.907
BATIMENT0000000240880079_part0,FR.N.TH.06.Gen.ReEx.001.001,TH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,bebb5f253195f368234e65c8d7e20894d54506aecf599c570f81a1e6626a2456,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,6948.917376,113.7508,61.088974,1.758
BATIMENT0000000240880094_part0,FR.N.TH.03.Gen.ReEx.001.001,TH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,d48c4f2885e0fd07cb56a4134be65e8194215a737dc4650333475f11f4b0a49e,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,15768.703214,112.2539,140.473514,2.342
BATIMENT0000000240881546_part0,FR.N.TH.07.Gen.ReEx.001.001,TH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,78123100ba7050eb998a3322aa10dab52fba167ef4adffd32ec9b574a031ca98,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,17648.637497,391.908,45.032603,2.344
BATIMENT0000000357175643_part0,FR.N.SFH.09.Gen.ReEx.001.001,SFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,3b8cecc0ac1a2e333f545dd316168b6211263248b4840e8ebcdaaabe54e27c70,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,7777.033472,221.429,35.122015,2.23
