building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds
BATIMENT0000000013365727_part0,FR.N.MFH.07.Gen.ReEx.001.001,MFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,d8a872eb5db2c7a7c2e5a757f84548c712c9f2f978822872890fe51b2a18626d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,8530.304865,147.0909,57.993418,2.301
BATIMENT0000000240877101_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,64caf34542d6316d276ffe362c1ebcb8d8cbd2ad49b15f32561bfe45cc8d6bbb,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,50889.274383,887.9243,57.312626,3.194
BATIMENT0000000240877122_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,bd00278c184c7c1201e63dec1a463668ffabe3bdf26ea597240afaf636c0ed02,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,5289.665379,36.5352,144.782771,1.448
BATIMENT0000000240877130_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,f135264dfac4ff5d6f768a28aa43064d2071d1d37df3573d7a78cfced366482f,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,9522.821794,86.9898,109.470589,2.31
BATIMENT0000000240877151_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,55246e582316d050b6073983bc6e63effd114f49e94316949bb86c31e03f57ce,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,116123.808955,1630.1701,71.234168,4.636
BATIMENT0000000240877159_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,fa00222afa95822a172c4e654c0e9baa18ce4f5e6fef4b8f3f903cdeeb2377b2,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,10274.030018,98.8669,103.917743,1.878
BATIMENT0000000240877169_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,35589be20456efd804b5b75d63d905437e2eb8b97ed494119a60c7a4ba462af3,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,20867.993851,267.664,77.963392,2.941
BATIMENT0000000240877182_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,133b68942daa99aa381f838d84a39c964e4d8c8473f7f25ff74b72fa5db5b6f6,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,22051.654376,215.758,102.205497,2.159
BATIMENT0000000240877527_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,a6419549d803b89a48ece4d54b785710f526c39bdd9dfbfb8268a22001892aaa,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,101075.296161,1380.2906,73.227548,53.082
BATIMENT0000000240879409_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,ff3b3acc701dea524afb0e4e9cc9b68a0701df0b8844d11f540fadbe6d7642a8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,131787.666224,1851.148,71.1924,3.673
