building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds
BATIMENT0000000013365727_part0,FR.N.MFH.07.Gen.ReEx.001.001,MFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,f79d45743807beaf7944ac5f4df9fed4f5f2af80ab44c3bcb786b76b27553421,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,4949.235243,147.0909,33.647457,2.247
BATIMENT0000000240877101_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,7144a2466645cf48ca0154c3236cbddb9dd94610267423ed22a1ec113e45f70d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,35858.207276,887.9243,40.384306,3.234
BATIMENT0000000240877122_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,bb9eed0c876c000f017eb36a272cc36ba1a9f485f4bcfccd71c01d66d2e60b20,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,4700.842108,36.5352,128.666162,1.446
BATIMENT0000000240877130_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,0fbc0f29e08d3293b818c5365f0c8305dc92828f400c2a2b495f7443d5e9a7a1,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,9517.027117,86.9898,109.403976,2.322
BATIMENT0000000240877151_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,368557c5335d08dee77b6520528e15e4d0eeecf35a35921a1748aa1b7910794c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,61963.907183,1630.1701,38.010701,4.365
BATIMENT0000000240877159_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,a4faee30e8fb465dba2f3e681887e046cee11c1d69c65b6e99f84124cc855cb3,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,10077.112981,98.8669,101.926005,2.09
BATIMENT0000000240877169_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,3c7ff9cd1458445d3907fe6b27a61022173c5314e0e8524d88c066e74b7855cb,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,17453.659025,267.664,65.207344,2.87
BATIMENT0000000240877182_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,82bd2f8539408a0dcbf1744a69e2cb03ef1b8e44bc04f53a3518f4449e51f2b6,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,16482.871639,215.758,76.395179,2.084
BATIMENT0000000240877527_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,417c964058ef192966bd1342e9b31f1839ef5c2fbb9eeaac775799b79cfcf093,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,55880.527024,1380.2906,40.48461,57.188
BATIMENT0000000240879409_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,011f041a8e5d5b9e34f873322303ac3b61dc106a9de70520d2b18a1f9510ab99,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,69999.285951,1851.148,37.813987,3.503
BATIMENT0000000240879419_part0,FR.N.AB.08.Gen.ReEx.001.001,AB,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,7a5c3d857db268de8ad381484f6c8b6925fca08bd54b49f3357f3225cbca2259,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,13990.377884,2835.3088,4.93434,5.809
