Time,6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_0::Des Latent Heat Load [W],6C5C4A7F558C79FB_F0_DWELLING_0::Des Latent Cool Load [W],6C5C4A7F558C79FB_F0_DWELLING_0::Des Latent Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_0::Des Latent Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_0::Des Heat Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_0::Des Sens Cool Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_0::Des Latent Heat Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_0::Des Latent Cool Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],6C5C4A7F558C79FB_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F1_DWELLING_0::Des Latent Heat Load [W],6C5C4A7F558C79FB_F1_DWELLING_0::Des Latent Cool Load [W],6C5C4A7F558C79FB_F1_DWELLING_0::Des Latent Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F1_DWELLING_0::Des Latent Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F1_DWELLING_0::Des Heat Load No DOAS [W],6C5C4A7F558C79FB_F1_DWELLING_0::Des Sens Cool Load No DOAS [W],6C5C4A7F558C79FB_F1_DWELLING_0::Des Latent Heat Load No DOAS [W],6C5C4A7F558C79FB_F1_DWELLING_0::Des Latent Cool Load No DOAS [W],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],6C5C4A7F558C79FB_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F2_DWELLING_0::Des Latent Heat Load [W],6C5C4A7F558C79FB_F2_DWELLING_0::Des Latent Cool Load [W],6C5C4A7F558C79FB_F2_DWELLING_0::Des Latent Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F2_DWELLING_0::Des Latent Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F2_DWELLING_0::Des Heat Load No DOAS [W],6C5C4A7F558C79FB_F2_DWELLING_0::Des Sens Cool Load No DOAS [W],6C5C4A7F558C79FB_F2_DWELLING_0::Des Latent Heat Load No DOAS [W],6C5C4A7F558C79FB_F2_DWELLING_0::Des Latent Cool Load No DOAS [W],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],6C5C4A7F558C79FB_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F3_DWELLING_0::Des Latent Heat Load [W],6C5C4A7F558C79FB_F3_DWELLING_0::Des Latent Cool Load [W],6C5C4A7F558C79FB_F3_DWELLING_0::Des Latent Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F3_DWELLING_0::Des Latent Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F3_DWELLING_0::Des Heat Load No DOAS [W],6C5C4A7F558C79FB_F3_DWELLING_0::Des Sens Cool Load No DOAS [W],6C5C4A7F558C79FB_F3_DWELLING_0::Des Latent Heat Load No DOAS [W],6C5C4A7F558C79FB_F3_DWELLING_0::Des Latent Cool Load No DOAS [W],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],6C5C4A7F558C79FB_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Load [W],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_1::Des Latent Heat Load [W],6C5C4A7F558C79FB_F0_DWELLING_1::Des Latent Cool Load [W],6C5C4A7F558C79FB_F0_DWELLING_1::Des Latent Heat Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_1::Des Latent Cool Mass Flow [kg/s],6C5C4A7F558C79FB_F0_DWELLING_1::Des Heat Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_1::Des Sens Cool Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_1::Des Latent Heat Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_1::Des Latent Cool Load No DOAS [W],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],6C5C4A7F558C79FB_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,2.700430E+03,0.000000E+00,8.826048E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.884643E+01,2.567049E+01,5.814705E+01,2.748100E+03,0.000000E+00,8.981903E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999547E+01,3.896803E+01,2.952351E+01,3.793486E+01,2.850751E+03,0.000000E+00,9.317392E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.931053E+01,2.974596E+01,3.745325E+01,5.226271E+03,0.000000E+00,1.708120E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999481E+01,4.462348E+01,2.814260E+01,4.108553E+01,4.532828E+03,0.000000E+00,1.481474E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999472E+01,4.338324E+01,2.425244E+01,5.167625E+01
00:10:00,2.691801E+03,0.000000E+00,8.797845E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.884981E+01,2.562061E+01,5.854589E+01,2.738215E+03,0.000000E+00,8.949594E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.897192E+01,2.950665E+01,3.813129E+01,2.840127E+03,0.000000E+00,9.282670E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.931416E+01,2.972976E+01,3.764576E+01,5.203528E+03,0.000000E+00,1.700686E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999480E+01,4.462263E+01,2.812498E+01,4.130026E+01,4.510869E+03,0.000000E+00,1.474297E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999471E+01,4.337845E+01,2.423746E+01,5.193837E+01
00:15:00,2.682525E+03,0.000000E+00,8.767526E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.885271E+01,2.557928E+01,5.889961E+01,2.727739E+03,0.000000E+00,8.915350E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.897548E+01,2.948170E+01,3.834474E+01,2.828920E+03,0.000000E+00,9.246039E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.931759E+01,2.970525E+01,3.785549E+01,5.180031E+03,0.000000E+00,1.693006E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999480E+01,4.462284E+01,2.809013E+01,4.155573E+01,4.488302E+03,0.000000E+00,1.466921E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.337530E+01,2.420224E+01,5.226281E+01
00:20:00,2.672586E+03,0.000000E+00,8.735040E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.885508E+01,2.554531E+01,5.921112E+01,2.716650E+03,0.000000E+00,8.879106E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.897871E+01,2.945000E+01,3.857148E+01,2.817105E+03,0.000000E+00,9.207420E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.932080E+01,2.967381E+01,3.807868E+01,5.155736E+03,0.000000E+00,1.685066E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999479E+01,4.462412E+01,2.804152E+01,4.184320E+01,4.465077E+03,0.000000E+00,1.459330E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.337392E+01,2.414958E+01,5.264053E+01
00:25:00,2.662006E+03,0.000000E+00,8.700459E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.885694E+01,2.551652E+01,5.948839E+01,2.704968E+03,0.000000E+00,8.840925E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.898158E+01,2.941384E+01,3.880624E+01,2.804698E+03,0.000000E+00,9.166868E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.932377E+01,2.963778E+01,3.831010E+01,5.130659E+03,0.000000E+00,1.676869E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999479E+01,4.462623E+01,2.798460E+01,4.214958E+01,4.441115E+03,0.000000E+00,1.451498E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999469E+01,4.337396E+01,2.408453E+01,5.305614E+01
00:30:00,2.650772E+03,0.000000E+00,8.663743E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.885841E+01,2.549100E+01,5.973907E+01,2.692682E+03,0.000000E+00,8.800768E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.898421E+01,2.937502E+01,3.904499E+01,2.791690E+03,0.000000E+00,9.124353E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.932658E+01,2.959901E+01,3.854556E+01,5.104789E+03,0.000000E+00,1.668414E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999479E+01,4.462895E+01,2.792339E+01,4.246511E+01,4.416475E+03,0.000000E+00,1.443445E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999469E+01,4.337489E+01,2.401099E+01,5.349778E+01
00:35:00,2.638815E+03,0.000000E+00,8.624662E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.885957E+01,2.546747E+01,5.996846E+01,2.679738E+03,0.000000E+00,8.758460E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.898661E+01,2.933448E+01,3.928552E+01,2.778043E+03,0.000000E+00,9.079749E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.932924E+01,2.955870E+01,3.878238E+01,5.078107E+03,0.000000E+00,1.659693E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999478E+01,4.463213E+01,2.785996E+01,4.278467E+01,4.391221E+03,0.000000E+00,1.435191E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999469E+01,4.337651E+01,2.393095E+01,5.395946E+01
00:40:00,2.626170E+03,0.000000E+00,8.583334E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.886021E+01,2.544524E+01,6.017985E+01,2.666157E+03,0.000000E+00,8.714073E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.898865E+01,2.929250E+01,3.952699E+01,2.763764E+03,0.000000E+00,9.033080E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.933164E+01,2.951745E+01,3.901899E+01,5.050588E+03,0.000000E+00,1.650699E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999478E+01,4.463561E+01,2.779520E+01,4.310593E+01,4.365289E+03,0.000000E+00,1.426716E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999468E+01,4.337886E+01,2.384523E+01,5.443872E+01
00:45:00,2.612854E+03,0.000000E+00,8.539813E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.886037E+01,2.542395E+01,6.037524E+01,2.651952E+03,0.000000E+00,8.667647E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.899034E+01,2.924954E+01,3.976821E+01,2.748863E+03,0.000000E+00,8.984379E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.933378E+01,2.947555E+01,3.925458E+01,5.022241E+03,0.000000E+00,1.641434E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999478E+01,4.463925E+01,2.772942E+01,4.342787E+01,4.338681E+03,0.000000E+00,1.418019E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999468E+01,4.338180E+01,2.375601E+01,5.492855E+01
00:50:00,2.598885E+03,0.000000E+00,8.494158E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999530E+01,3.886021E+01,2.540336E+01,6.055614E+01,2.637138E+03,0.000000E+00,8.619229E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999546E+01,3.899178E+01,2.920619E+01,4.000766E+01,2.733355E+03,0.000000E+00,8.933693E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.933573E+01,2.943333E+01,3.948823E+01,4.993079E+03,0.000000E+00,1.631903E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999478E+01,4.464300E+01,2.766279E+01,4.374993E+01,4.311405E+03,0.000000E+00,1.409105E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999468E+01,4.338516E+01,2.366489E+01,5.542366E+01
