Date/Time,BATIMENT0000000240879419_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F6_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F7_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2129552.754057545,1385518.2254549146,1366631.8303620415,1407595.1778385874,1446180.639397909,1461206.1574541323,1524311.900142688,4446925.005240788 
 01/01  02:00:00,2526369.3327123676,1786809.1903274036,1769389.4408535622,1811871.8033446088,1852799.179170534,1877924.2427559835,1970373.2877466506,5121999.812768979 
 01/01  03:00:00,2720600.578231883,1986270.5783321261,1969542.430182168,2012078.9597517578,2053765.310445393,2085980.7122273375,2200886.229744286,5443032.928692066 
 01/01  04:00:00,2818590.4080693293,2089270.1056302118,2073375.355798082,2116212.7472969703,2158821.1625068393,2197590.284002686,2332289.5349128377,5654059.982991696 
 01/01  05:00:00,2889799.870047512,2165233.152288641,2149910.0608131005,2192683.278077783,2235804.348362703,2279895.579028313,2431240.15015061,5798978.810516339 
 01/01  06:00:00,3042327.1959228995,2322303.277153359,2307650.456410315,2350488.5339457574,2394220.766102712,2443427.886336166,2610914.527139749,6050106.214156777 
 01/01  07:00:00,3088340.826844576,2372901.4364968664,2358978.9173524277,2401981.9601590135,2446345.6179841626,2500169.2471112185,2681594.5170054883,6173966.233855174 
 01/01  08:00:00,3167539.7388113257,2456360.5168137522,2443242.628712967,2486586.6178477793,2531775.784782227,2590389.7549943943,2785465.726503107,6343553.837117784 
 01/01  09:00:00,3397752.3359335465,2690571.823931375,2678265.7811656245,2721795.0647321185,2767564.1053983592,2829850.624484095,3037564.309803825,6700774.819773311 
 01/01  10:00:00,3589387.048095209,2889312.9331969484,2877223.9226216595,2918395.772248306,2961592.619156238,3019645.604673177,3221874.0353802457,6915571.07696265 
 01/01  11:00:00,3038086.590629499,2357693.0350071983,2347170.860358092,2382944.866675962,2418844.4242579895,2445111.360091195,2476893.0095836753,5834152.995907056 
 01/01  12:00:00,1905677.5157265977,1249525.899101916,1246372.5522637716,1284705.6776903018,1317186.8359744027,1206928.3025079903,940693.6876718567,3934755.9672433045 
 01/01  13:00:00,961987.2368543671,323645.8637230651,326829.3277372403,368761.1829081201,397360.54749366303,175681.83707152493,10319.443020131439,2385091.8247753377 
 01/01  14:00:00,336208.8523546583,0.0,0.0,0.0,1491.0172553441955,0.0,0.0,1176540.5039180245 
 01/01  15:00:00,26128.154746282962,0.0,0.0,0.0,0.0,0.0,0.0,484220.54501828394 
 01/01  16:00:00,133989.84567868468,0.0,0.0,0.0,0.0,0.0,0.0,645592.0052145899 
 01/01  17:00:00,522213.2828416623,0.0,0.0,0.0,0.0,0.0,0.0,1627346.4794312227 
 01/01  18:00:00,1034382.328635495,217368.89374323073,197874.34910092852,242930.2537968848,283392.49341230316,223508.9999307529,92262.02140034584,2638704.246661012 
 01/01  19:00:00,1435187.5772790196,649675.6425982778,629856.0764587484,675663.8949994755,713290.5120609677,670683.6254969618,540845.6963374454,3192342.0511047654 
